EMM State,GUTI M-TMSI,label
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_REGISTERED,0x1f55afc2,airbnb
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,Amazon Shopping
EMM_REGISTERED,0x1f55afc2,Amazon Shopping
EMM_REGISTERED,0x1f55afc2,Amazon Shopping
EMM_REGISTERED,0x1f55afc2,Amazon Shopping
EMM_REGISTERED,0x1f55afc2,Amazon Shopping
EMM_REGISTERED,0x1f55afc2,Amazon Shopping
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_REGISTERED,0x3251adc2,doordash
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,doordash
EMM_REGISTERED,0x8b25a0c2,Google Maps
EMM_REGISTERED,0x8b25a0c2,Google Maps
EMM_SERVICE_REQUEST_INITIATED,0x8b25a0c2,Google Maps
EMM_REGISTERED,0x8b25a0c2,Google Maps
EMM_REGISTERED,0x8b25a0c2,Google Maps
EMM_REGISTERED,0x8b25a0c2,Google Maps
EMM_SERVICE_REQUEST_INITIATED,0x8b25a0c2,Google Maps
EMM_REGISTERED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_SERVICE_REQUEST_INITIATED,0x3251adc2,Macys
EMM_REGISTERED,0x3251adc2,Macys
EMM_REGISTERED,0xfdc2b7c2,New York Post
EMM_REGISTERED,0xfdc2b7c2,New York Post
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,Pinterest
EMM_REGISTERED,0x1f55afc2,Pinterest
EMM_REGISTERED,0x1f55afc2,Starbucks
EMM_REGISTERED,0x1f55afc2,Starbucks
EMM_REGISTERED,0x1f55afc2,Starbucks
EMM_REGISTERED,0x1f55afc2,Starbucks
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,Starbucks
EMM_REGISTERED,0x1f55afc2,Starbucks
EMM_REGISTERED,0x1f55afc2,Twitch
EMM_REGISTERED,0x1f55afc2,Twitch
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,Twitch
EMM_REGISTERED,0x1f55afc2,Twitch
EMM_REGISTERED,0x1f55afc2,Walmart
EMM_REGISTERED,0x1f55afc2,Walmart
EMM_SERVICE_REQUEST_INITIATED,0x1f55afc2,Walmart
EMM_REGISTERED,0x1f55afc2,Walmart
EMM_SERVICE_REQUEST_INITIATED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_SERVICE_REQUEST_INITIATED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_SERVICE_REQUEST_INITIATED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
EMM_SERVICE_REQUEST_INITIATED,0x8b25a0c2,Youtube
EMM_REGISTERED,0x8b25a0c2,Youtube
