log_msg_len,PDU Size,label
80,7,airbnb
80,7,airbnb
84,9,airbnb
80,8,airbnb
80,8,airbnb
84,9,airbnb
80,7,airbnb
104,30,airbnb
80,7,airbnb
104,30,airbnb
80,7,airbnb
80,7,airbnb
80,8,airbnb
84,9,airbnb
80,7,airbnb
88,13,airbnb
80,7,airbnb
80,7,airbnb
80,7,airbnb
84,9,airbnb
80,8,airbnb
80,7,airbnb
80,7,airbnb
80,7,airbnb
84,9,airbnb
80,8,airbnb
80,7,airbnb
104,30,Amazon Shopping
80,7,Amazon Shopping
80,7,Amazon Shopping
84,9,Amazon Shopping
80,8,Amazon Shopping
80,7,Amazon Shopping
104,30,Amazon Shopping
104,30,Amazon Shopping
80,7,Amazon Shopping
104,30,Amazon Shopping
88,13,doordash
88,13,doordash
80,7,doordash
80,7,doordash
84,9,doordash
80,8,doordash
80,7,doordash
100,27,doordash
80,7,doordash
80,7,doordash
84,9,doordash
80,8,doordash
100,27,doordash
104,30,doordash
80,7,doordash
80,7,doordash
80,7,doordash
88,13,doordash
80,8,doordash
80,7,doordash
100,27,doordash
80,7,doordash
80,7,doordash
84,9,doordash
80,8,doordash
80,7,doordash
80,7,doordash
80,7,doordash
80,8,doordash
84,9,doordash
80,7,doordash
84,9,doordash
80,8,doordash
80,7,doordash
100,27,Gmail
104,30,Gmail
104,30,Google Chrome
84,9,Google Chrome
104,30,Google Chrome
104,30,Google Chrome
100,27,Google Maps
100,27,Google Maps
100,27,Google Maps
80,7,Google Maps
80,7,Google Maps
84,9,Google Maps
80,8,Google Maps
80,7,Google Maps
100,27,Google Maps
80,7,Linked In
100,27,Linked In
104,30,Linked In
104,30,Linked In
80,7,Linked In
84,9,Linked In
80,7,Linked In
104,30,Linked In
104,30,Linked In
80,7,Macys
100,27,Macys
80,7,Macys
80,7,Macys
80,8,Macys
84,9,Macys
80,7,Macys
104,30,Macys
80,7,Macys
80,7,Macys
88,13,Macys
80,8,Macys
80,7,Macys
80,7,Macys
80,7,Macys
84,9,Macys
108,34,Macys
100,27,New York Post
80,7,New York Post
80,7,New York Post
96,24,New York Post
108,34,New York Post
104,30,Pinterest
104,30,Pinterest
80,7,Snapchat
100,27,Snapchat
104,30,Starbucks
80,7,Starbucks
88,13,Starbucks
104,30,Starbucks
88,13,Starbucks
80,7,Starbucks
104,31,Starbucks
80,7,Starbucks
80,7,Starbucks
80,7,Starbucks
80,8,Starbucks
84,9,Starbucks
80,7,Starbucks
80,7,Twitch
80,7,Twitch
88,16,Twitch
80,8,Twitch
104,30,Twitch
80,7,Twitch
104,30,Twitch
104,30,Twitter
104,30,Twitter
104,30,Twitter
80,7,Walmart
108,35,Walmart
108,35,Walmart
80,7,Walmart
100,27,Walmart
100,27,Walmart
80,7,Walmart
80,7,Walmart
80,7,Walmart
88,13,Walmart
80,8,Walmart
80,7,Walmart
108,34,Walmart
80,7,Youtube
104,31,Youtube
108,34,Youtube
88,13,Youtube
80,7,Youtube
80,7,Youtube
80,7,Youtube
84,9,Youtube
80,8,Youtube
112,40,Youtube
80,7,Youtube
80,7,Youtube
80,7,Youtube
80,8,Youtube
88,13,Youtube
80,7,Youtube
80,7,Youtube
80,7,Youtube
108,34,Youtube
80,7,Youtube
80,7,Youtube
88,13,Youtube
80,8,Youtube
80,7,Youtube
80,7,Youtube
80,7,Youtube
80,8,Youtube
100,27,Youtube
80,7,Youtube
80,7,Youtube
88,16,Youtube
80,8,Youtube
80,7,Youtube
108,34,Youtube
