log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:06:19.008791,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:05:48.063939,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:05:48.070437,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:05:48.109433,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:05:48.128973,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:05:48.147642,1,1,7,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:07:00.925113,1,1,30,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:06:30.160471,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:06:59.197053,1,1,7,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 19:06:08.734373,1,1,30,
