log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:53.037669,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-110.875,-11.125,-92.0,118,0,-116.8125,-16.625,-91.9375,393,0,-119.875,-19.6875,-92.0
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:53.670531,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,439,0,-121.6875,-23.0,-89.625,441,0,-121.3125,-19.8125,-89.625,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:53.997667,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-110.9375,-14.375,-88.1875,118,0,-119.0625,-19.75,-88.0625,393,0,-118.5,-22.5,-88.0625
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:54.957660,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-111.25,-10.5,-92.25,393,0,-120.8125,-20.8125,-92.1875,118,0,-119.75,-19.75,-92.1875
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:18.782785,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-127.5,-23.4375,-95.0625,279,0,-125.375,-21.375,-95.0,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:18.782785,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.875,-18.125,-93.0,393,0,-120.125,-19.375,-92.9375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:18.982509,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-125.125,-23.25,-92.8125,441,0,-123.75,-21.875,-92.8125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:18.982509,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-119.5,-20.0,-90.6875,393,0,-120.5625,-21.9375,-90.75,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:17.942535,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-118.875,-21.5625,-88.25,279,0,-119.5625,-22.375,-88.125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:21.094572,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-122.9375,-22.3125,-91.625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:21.096592,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.375,-18.9375,-90.4375,393,0,-118.875,-20.625,-90.4375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:38.460372,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-121.875,-22.875,-90.0,439,0,-124.1875,-23.4375,-90.0,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:38.460372,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-118.125,-19.0625,-91.25,118,0,-117.5625,-18.5625,-91.1875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:02.158880,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-118.625,-14.0,-92.0,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:35.508783,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-123.0625,-21.5625,-92.4375,439,0,-122.4375,-20.5,-92.4375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:35.508783,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.6875,-17.1875,-89.4375,393,0,-119.0625,-21.875,-89.375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:01.358882,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-119.8125,-20.25,-85.3125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:01.437889,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.75,-23.5625,-96.1875,,,,,,,,,,
