log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 19:06:45.546540,1,20,,583,8,0.0,0.0,0,0,0,584,8,0.0,0.0,0,0,0,585,8,0.0,0.0,0,0,0,586,8,0.0,0.0,0,0,0,587,8,0.0,0.0,0,0,0,588,8,0.0,0.0,0,0,0,589,8,0.0,0.0,0,0,0,590,8,0.0,0.0,0,0,0,591,8,0.0,0.0,0,0,0,592,8,0.0,0.0,0,0,0,593,8,0.0,0.0,0,0,0,594,8,0.0,0.0,0,0,0,595,8,0.0,0.0,0,0,0,596,8,0.0,0.0,0,0,0,597,8,0.0,0.0,0,0,0,614,3,0.0,0.0,0,0,0,615,8,0.0,0.0,0,0,0,616,8,0.0,0.0,0,0,0,617,8,0.0,0.0,0,0,0,618,8,0.0,0.0,0,0,0
52,LTE_PHY_RLM_Report,2021-11-29 19:06:53.601910,1,3,,310,3,0.0,0.0,0,0,0,342,3,0.0,0.0,0,0,0,374,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 19:06:54.801910,1,4,,406,3,0.0,0.0,0,0,0,438,3,0.0,0.0,0,0,0,470,3,0.0,0.0,0,0,0,502,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_PHY_RLM_Report,2021-11-29 19:05:50.002558,1,2,,129,6,0.0,0.0,0,0,0,161,6,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 19:05:51.202557,1,4,,193,6,0.0,0.0,0,0,0,225,6,0.0,0.0,0,0,0,257,6,0.0,0.0,0,0,0,289,6,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,LTE_PHY_RLM_Report,2021-11-29 19:06:18.791837,1,11,,973,7,0.0,0.0,0,0,0,974,7,0.0,0.0,0,0,0,975,7,0.0,0.0,0,0,0,976,7,0.0,0.0,0,0,0,977,7,0.0,0.0,0,0,0,978,7,0.0,0.0,0,0,0,979,7,0.0,0.0,0,0,0,980,7,0.0,0.0,0,0,0,981,7,0.0,0.0,0,0,0,1014,3,0.0,0.0,0,0,0,1015,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 19:06:18.991630,1,20,,1016,3,0.0,0.0,0,0,0,1017,3,0.0,0.0,0,0,0,1018,3,0.0,0.0,0,0,0,1019,3,0.0,0.0,0,0,0,1020,3,0.0,0.0,0,0,0,1021,3,0.0,0.0,0,0,0,1022,3,0.0,0.0,0,0,0,1023,3,0.0,0.0,0,0,0,0,3,0.0,0.0,0,0,0,1,3,0.0,0.0,0,0,0,2,3,0.0,0.0,0,0,0,3,3,0.0,0.0,0,0,0,4,3,0.0,0.0,0,0,0,5,3,0.0,0.0,0,0,0,6,3,0.0,0.0,0,0,0,7,3,0.0,0.0,0,0,0,8,3,0.0,0.0,0,0,0,9,3,0.0,0.0,0,0,0,10,3,0.0,0.0,0,0,0,11,3,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 19:06:02.185385,1,20,,359,7,0.0,0.0,0,0,0,360,7,0.0,0.0,0,0,0,361,7,0.0,0.0,0,0,0,362,7,0.0,0.0,0,0,0,363,7,0.0,0.0,0,0,0,364,7,0.0,0.0,0,0,0,365,7,0.0,0.0,0,0,0,366,7,0.0,0.0,0,0,0,367,7,0.0,0.0,0,0,0,368,7,0.0,0.0,0,0,0,369,7,0.0,0.0,0,0,0,370,7,0.0,0.0,0,0,0,371,7,0.0,0.0,0,0,0,372,7,0.0,0.0,0,0,0,373,7,0.0,0.0,0,0,0,374,7,0.0,0.0,0,0,0,375,7,0.0,0.0,0,0,0,376,7,0.0,0.0,0,0,0,377,7,0.0,0.0,0,0,0,378,7,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 19:06:01.385045,1,20,,279,7,0.0,0.0,0,0,0,280,7,0.0,0.0,0,0,0,281,7,0.0,0.0,0,0,0,282,7,0.0,0.0,0,0,0,283,7,0.0,0.0,0,0,0,284,7,0.0,0.0,0,0,0,285,7,0.0,0.0,0,0,0,286,7,0.0,0.0,0,0,0,287,7,0.0,0.0,0,0,0,288,7,0.0,0.0,0,0,0,289,7,0.0,0.0,0,0,0,290,7,0.0,0.0,0,0,0,291,7,0.0,0.0,0,0,0,292,7,0.0,0.0,0,0,0,293,7,0.0,0.0,0,0,0,294,7,0.0,0.0,0,0,0,295,7,0.0,0.0,0,0,0,296,7,0.0,0.0,0,0,0,297,7,0.0,0.0,0,0,0,298,7,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 19:06:48.266525,1,20,,854,3,0.0,0.0,0,0,0,865,8,0.0,0.0,0,0,0,866,8,0.0,0.0,0,0,0,867,8,0.0,0.0,0,0,0,868,8,0.0,0.0,0,0,0,869,8,0.0,0.0,0,0,0,870,8,0.0,0.0,0,0,0,871,8,0.0,0.0,0,0,0,872,8,0.0,0.0,0,0,0,873,8,0.0,0.0,0,0,0,874,8,0.0,0.0,0,0,0,875,8,0.0,0.0,0,0,0,876,8,0.0,0.0,0,0,0,877,8,0.0,0.0,0,0,0,878,8,0.0,0.0,0,0,0,886,8,0.0,0.0,0,0,0,887,8,0.0,0.0,0,0,0,888,8,0.0,0.0,0,0,0,889,8,0.0,0.0,0,0,0,890,8,0.0,0.0,0,0,0
