log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.345300,1,1,25,36,524,66586,1,349,PCell,1,598,7,-109.8125,-116.25,-109.8125,-12.9375,-12.125,-12.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.355150,1,1,25,36,524,66586,1,349,PCell,1,599,7,-109.8125,-116.375,-109.8125,-10.0625,-10.8125,-10.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.365306,1,1,25,36,524,66586,1,349,PCell,1,600,7,-110.1875,-116.6875,-110.1875,-13.9375,-13.0625,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.375288,1,1,25,36,524,66586,1,349,PCell,1,601,7,-110.0625,-116.9375,-110.0625,-12.4375,-12.0,-12.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.385190,1,1,25,36,524,66586,1,349,PCell,1,602,7,-110.0,-117.0625,-110.0,-14.1875,-13.5,-14.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.395240,1,1,25,36,524,66586,1,349,PCell,1,603,7,-110.0,-117.375,-110.0,-11.9375,-12.5625,-11.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.405303,1,1,25,36,524,66586,1,349,PCell,1,604,7,-110.0625,-117.5625,-110.0625,-13.0625,-13.0625,-13.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.415293,1,1,25,36,524,66586,1,349,PCell,1,605,7,-110.0,-117.625,-110.0,-15.125,-14.5,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.425292,1,1,25,36,524,66586,1,349,PCell,1,606,7,-109.9375,-117.75,-109.9375,-10.1875,-12.5625,-10.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.435284,1,1,25,36,524,66586,1,349,PCell,1,607,7,-110.0,-117.9375,-110.0,-11.625,-12.75,-11.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.445166,1,1,25,36,524,66586,1,349,PCell,1,608,7,-110.25,-118.125,-110.25,-9.25,-12.5625,-9.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.499244,1,1,25,36,524,66586,1,349,PCell,1,614,1,-112.6875,-118.375,-112.6875,-12.4375,-13.75,-12.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.532082,1,1,25,36,524,66586,1,349,PCell,1,617,4,-113.75,-118.625,-113.75,-14.3125,-14.6875,-14.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:06:45.542105,1,1,25,36,524,66586,1,349,PCell,1,618,4,-113.5,-118.5,-113.5,-13.0625,-13.75,-13.0625
