log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
56,LTE_RRC_OTA_Packet,2021-11-29 19:06:19.008791,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 19:06:29.346375,20,14,48,0,349,66586,361,5,0,7,
49,LTE_RRC_OTA_Packet,2021-11-29 19:06:34.466384,20,14,48,0,349,66586,8553,5,0,18,
49,LTE_RRC_OTA_Packet,2021-11-29 19:05:59.226467,20,14,48,0,349,66586,1321,5,0,18,
38,LTE_RRC_OTA_Packet,2021-11-29 19:06:13.986432,20,14,48,0,349,66586,8553,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:05:43.246586,20,14,48,0,349,66586,8521,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 19:05:47.967977,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.017895,20,14,48,0,349,66586,16160,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.020912,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.063939,20,14,48,1,349,66586,48998,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.063939,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.063939,20,14,48,1,349,66586,65382,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.070437,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.109433,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.128973,20,14,48,2,349,66586,65489,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.128973,20,14,48,1,349,66586,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.143292,20,14,48,1,349,66586,65510,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 19:05:48.147642,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 19:06:51.105853,20,14,48,0,349,66586,2409,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:05:45.806500,20,14,48,0,349,66586,12617,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 19:05:46.440880,20,14,48,1,349,66586,62787,7,0,2,
56,LTE_RRC_OTA_Packet,2021-11-29 19:07:00.924321,20,14,48,1,349,66586,0,9,0,25,
56,LTE_RRC_OTA_Packet,2021-11-29 19:06:30.160471,20,14,48,1,349,66586,0,9,0,25,
33,LTE_RRC_OTA_Packet,2021-11-29 19:05:53.293958,20,14,48,1,349,66586,57366,7,0,2,
49,LTE_RRC_OTA_Packet,2021-11-29 19:06:59.191597,20,14,48,1,349,66586,64500,7,0,18,
33,LTE_RRC_OTA_Packet,2021-11-29 19:06:59.196776,20,14,48,1,349,66586,0,9,0,2,
56,LTE_RRC_OTA_Packet,2021-11-29 19:06:08.734373,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 19:06:08.866430,20,14,48,0,349,66586,361,5,0,7,
