log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.036578,123,349,369,2,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000f0ff0f00,0x0000000000fff0ff,0x00000000f0ff0f00,0x0000000000fff0ff,11,Closed-loop spatial multiplexing,0,6200,16QAM,1.4140625,10296,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.037616,123,349,369,3,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x000000000000000f,0x0000000000000000,0x000000000000000f,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.069402,123,349,372,5,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000000f0000000,0x0000000000000000,0x00000000f0000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.075101,123,349,373,1,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000000ffffff0000,0x0000000fffffffff,0x000000ffffff0000,0x0000000fffffffff,11,Closed-loop spatial multiplexing,0,10680,16QAM,1.4140625,15264,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.076565,123,349,373,2,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff000000,0x0000000f0000000f,0x00000000ff000000,0x0000000f0000000f,11,Closed-loop spatial multiplexing,0,2216,QPSK,1.4140625,3240,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.119456,123,349,377,5,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000f000000,0x0000000000000000,0x000000000f000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.158348,123,202,381,4,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ff00fffff00f,0x0000000f00ffff00,0x0000ff00fffff00f,0x0000000f00ffff00,11,Closed-loop spatial multiplexing,0,2600,64QAM,1.99609375,1800,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.158348,123,202,381,4,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ff00fffff00f,0x0000000f00ffff00,0x0000ff00fffff00f,0x0000000f00ffff00,11,Closed-loop spatial multiplexing,0,2600,64QAM,1.99609375,1800,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.159095,123,349,381,5,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff000000,0x0000000000000000,0x00000000ff000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1384,16QAM,1.4140625,2280,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.160489,123,349,381,6,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff000000,0x0000000000000000,0x00000000ff000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,2024,16QAM,1.4140625,2856,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.161535,123,349,381,7,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000f000000,0x0000000000000000,0x000000000f000000,0x0000000000000000,6,Closed-loop spatial multiplexing,0,1000,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.163326,123,349,381,9,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000f00f0000,0x0000000f0000f000,0x00000000f00f0000,0x0000000f0000f000,11,Closed-loop spatial multiplexing,0,4136,16QAM,1.4140625,7480,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.163326,123,202,381,9,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000f0ff0f000000,0x0000000000000000,0x0000f0ff0f000000,0x0000000000000000,1,Closed-loop spatial multiplexing,0,5160,64QAM,1.99609375,4136,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.164385,123,349,382,0,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff0f0000,0x0000000f00000000,0x00000000ff0f0000,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,4136,16QAM,1.4140625,6200,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.165499,123,349,382,1,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff000000,0x0000000f00000000,0x00000000ff000000,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,1672,QPSK,1.4140625,3496,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.166590,123,202,382,2,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000000ff00000000,0x0000000000000000,0x000000ff00000000,0x0000000000000000,1,Closed-loop spatial multiplexing,0,2600,64QAM,1.99609375,1800,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.169394,123,349,382,5,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000000f0000000,0x0000000000000000,0x00000000f0000000,0x0000000000000000,14,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.171372,123,202,382,7,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000ff000000ff,0x0000000000000000,0x000000ff000000ff,0x0000000000000000,14,Closed-loop spatial multiplexing,0,4136,16QAM,1.99609375,0,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.173987,123,202,383,0,6512,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000f0f,0x0000000000000000,0x0000000000000f0f,0x0000000000000000,1,Closed-loop spatial multiplexing,0,1800,16QAM,1.99609375,0,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:57:55.217590,123,202,387,3,6512,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ffffff00,0x000000000f00ffff,0x00000000ffffff00,0x000000000f00ffff,11,Closed-loop spatial multiplexing,0,7736,16QAM,1.4140625,12960,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
