log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 19:57:55.161535,1,20,,288,0,0.0,0.0,0,0,0,320,0,0.0,0.0,0,0,0,352,0,0.0,0.0,0,0,0,365,5,0.0,0.0,0,0,0,366,5,0.0,0.0,0,0,0,367,5,0.0,0.0,0,0,0,368,5,0.0,0.0,0,0,0,369,5,0.0,0.0,0,0,0,370,5,0.0,0.0,0,0,0,371,5,0.0,0.0,0,0,0,372,5,0.0,0.0,0,0,0,373,5,0.0,0.0,0,0,0,374,5,0.0,0.0,0,0,0,375,5,0.0,0.0,0,0,0,376,5,0.0,0.0,0,0,0,377,5,0.0,0.0,0,0,0,378,5,0.0,0.0,0,0,0,379,5,0.0,0.0,0,0,0,380,5,0.0,0.0,0,0,0,381,5,0.0,0.0,0,0,0
40,LTE_PHY_RLM_Report,2021-11-29 19:57:55.191849,1,2,,382,5,0.0,0.0,0,0,0,383,5,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,LTE_PHY_RLM_Report,2021-11-29 19:57:46.803932,1,19,,449,5,0.0,0.0,0,0,0,450,5,0.0,0.0,0,0,0,451,5,0.0,0.0,0,0,0,452,5,0.0,0.0,0,0,0,453,5,0.0,0.0,0,0,0,454,5,0.0,0.0,0,0,0,455,5,0.0,0.0,0,0,0,456,5,0.0,0.0,0,0,0,457,5,0.0,0.0,0,0,0,464,5,0.0,0.0,0,0,0,465,5,0.0,0.0,0,0,0,466,5,0.0,0.0,0,0,0,467,5,0.0,0.0,0,0,0,468,5,0.0,0.0,0,0,0,469,5,0.0,0.0,0,0,0,470,5,0.0,0.0,0,0,0,471,5,0.0,0.0,0,0,0,472,5,0.0,0.0,0,0,0,473,5,0.0,0.0,0,0,0,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 19:58:39.026279,1,20,,612,0,0.0,0.0,0,0,0,616,0,0.0,0.0,0,0,0,617,0,0.0,0.0,0,0,0,618,5,0.0,0.0,0,0,0,619,3,0.0,0.0,0,0,0,624,0,0.0,0.0,0,0,0,628,0,0.0,0.0,0,0,0,632,0,0.0,0.0,0,0,0,633,0,0.0,0.0,0,0,0,634,5,0.0,0.0,0,0,0,635,0,0.0,0.0,0,0,0,640,4,0.0,0.0,0,0,0,641,5,0.0,0.0,0,0,0,642,4,0.0,0.0,0,0,0,648,0,0.0,0.0,0,0,0,652,0,0.0,0.0,0,0,0,656,0,0.0,0.0,0,0,0,660,1,0.0,0.0,0,0,0,664,4,0.0,0.0,0,0,0,672,0,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 19:57:33.841843,1,20,,272,5,0.0,0.0,0,0,0,273,5,0.0,0.0,0,0,0,274,5,0.0,0.0,0,0,0,275,5,0.0,0.0,0,0,0,276,5,0.0,0.0,0,0,0,277,5,0.0,0.0,0,0,0,278,5,0.0,0.0,0,0,0,279,5,0.0,0.0,0,0,0,280,5,0.0,0.0,0,0,0,281,5,0.0,0.0,0,0,0,288,5,0.0,0.0,0,0,0,289,5,0.0,0.0,0,0,0,290,5,0.0,0.0,0,0,0,291,5,0.0,0.0,0,0,0,292,5,0.0,0.0,0,0,0,293,5,0.0,0.0,0,0,0,294,5,0.0,0.0,0,0,0,295,5,0.0,0.0,0,0,0,296,5,0.0,0.0,0,0,0,297,5,0.0,0.0,0,0,0
124,LTE_PHY_RLM_Report,2021-11-29 19:58:58.791772,1,9,,582,1,0.0,0.0,0,0,0,582,9,0.0,0.0,0,0,0,583,5,0.0,0.0,0,0,0,588,4,0.0,0.0,0,0,0,592,4,0.0,0.0,0,0,0,596,4,0.0,0.0,0,0,0,597,9,0.0,0.0,0,0,0,598,7,0.0,0.0,0,0,0,599,4,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,LTE_PHY_RLM_Report,2021-11-29 19:57:48.003906,1,12,,576,0,0.0,0.0,0,0,0,577,4,0.0,0.0,0,0,0,578,4,0.0,0.0,0,0,0,579,4,0.0,0.0,0,0,0,580,4,0.0,0.0,0,0,0,581,4,0.0,0.0,0,0,0,582,4,0.0,0.0,0,0,0,583,4,0.0,0.0,0,0,0,584,4,0.0,0.0,0,0,0,585,4,0.0,0.0,0,0,0,640,0,0.0,0.0,0,0,0,672,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 19:58:55.621512,1,20,,244,0,0.0,0.0,0,0,0,248,0,0.0,0.0,0,0,0,252,3,0.0,0.0,0,0,0,253,3,0.0,0.0,0,0,0,254,3,0.0,0.0,0,0,0,255,3,0.0,0.0,0,0,0,260,0,0.0,0.0,0,0,0,261,0,0.0,0.0,0,0,0,262,0,0.0,0.0,0,0,0,263,0,0.0,0.0,0,0,0,264,6,0.0,0.0,0,0,0,265,6,0.0,0.0,0,0,0,266,6,0.0,0.0,0,0,0,272,5,0.0,0.0,0,0,0,273,5,0.0,0.0,0,0,0,274,9,0.0,0.0,0,0,0,280,0,0.0,0.0,0,0,0,281,4,0.0,0.0,0,0,0,282,7,0.0,0.0,0,0,0,283,5,0.0,0.0,0,0,0
160,LTE_PHY_RLM_Report,2021-11-29 19:57:43.203928,1,12,,96,0,0.0,0.0,0,0,0,97,4,0.0,0.0,0,0,0,98,4,0.0,0.0,0,0,0,99,4,0.0,0.0,0,0,0,100,4,0.0,0.0,0,0,0,101,4,0.0,0.0,0,0,0,102,4,0.0,0.0,0,0,0,103,4,0.0,0.0,0,0,0,104,4,0.0,0.0,0,0,0,105,4,0.0,0.0,0,0,0,160,0,0.0,0.0,0,0,0,192,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,LTE_PHY_RLM_Report,2021-11-29 19:56:31.191782,1,19,,118,0,0.0,0.0,0,0,0,120,5,0.0,0.0,0,0,0,121,5,0.0,0.0,0,0,0,122,5,0.0,0.0,0,0,0,123,5,0.0,0.0,0,0,0,124,5,0.0,0.0,0,0,0,125,5,0.0,0.0,0,0,0,126,5,0.0,0.0,0,0,0,127,5,0.0,0.0,0,0,0,136,0,0.0,0.0,0,0,0,137,5,0.0,0.0,0,0,0,138,5,0.0,0.0,0,0,0,139,5,0.0,0.0,0,0,0,140,5,0.0,0.0,0,0,0,141,5,0.0,0.0,0,0,0,142,5,0.0,0.0,0,0,0,143,5,0.0,0.0,0,0,0,144,5,0.0,0.0,0,0,0,145,5,0.0,0.0,0,0,0,,,,,,,
