log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.100568,1,1,25,36,524,66586,1,349,PCell,1,375,4,-111.75,-118.625,-111.75,-11.3125,-13.125,-11.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.100568,1,1,25,36,524,977,1,202,1_SCell,1,375,4,-115.0625,-119.9375,-115.0625,-18.125,-19.6875,-18.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.110564,1,1,25,36,524,66586,1,349,PCell,1,376,4,-111.625,-118.625,-111.625,-14.25,-14.5625,-14.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.110564,1,1,25,36,524,977,1,202,1_SCell,1,376,4,-114.6875,-119.5625,-114.6875,-18.3125,-18.5625,-18.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.120414,1,1,25,36,524,66586,1,349,PCell,1,377,4,-111.3125,-118.5,-111.3125,-11.875,-13.75,-11.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.120414,1,1,25,36,524,977,1,202,1_SCell,1,377,4,-114.1875,-119.3125,-114.1875,-14.0,-15.5625,-14.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.130246,1,1,25,36,524,66586,1,349,PCell,1,378,4,-111.5625,-118.6875,-111.5625,-14.6875,-14.5625,-14.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.130246,1,1,25,36,524,977,1,202,1_SCell,1,378,4,-114.1875,-119.3125,-114.1875,-17.9375,-18.875,-17.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.140590,1,1,25,36,524,66586,1,349,PCell,1,379,4,-111.875,-118.9375,-111.875,-12.5,-13.625,-12.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.140590,1,1,25,36,524,977,1,202,1_SCell,1,379,4,-114.5,-119.8125,-114.5,-16.4375,-17.5,-16.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.150571,1,1,25,36,524,66586,1,349,PCell,1,380,4,-111.9375,-119.0,-111.9375,-12.1875,-14.0,-12.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.150571,1,1,25,36,524,977,1,202,1_SCell,1,380,4,-114.875,-120.0625,-114.875,-18.5,-18.625,-18.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.160489,1,1,25,36,524,66586,1,349,PCell,1,381,4,-111.875,-119.0,-111.875,-15.6875,-16.0,-15.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.160489,1,1,25,36,524,977,1,202,1_SCell,1,381,4,-114.875,-120.0625,-114.875,-18.0625,-18.3125,-18.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.170245,1,1,25,36,524,66586,1,349,PCell,1,382,4,-111.625,-118.875,-111.625,-11.5625,-13.375,-11.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.170245,1,1,25,36,524,977,1,202,1_SCell,1,382,4,-114.75,-120.0625,-114.75,-12.5,-13.9375,-12.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.180618,1,1,25,36,524,66586,1,349,PCell,1,383,4,-111.375,-118.6875,-111.375,-14.0,-15.375,-14.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:57:55.180618,1,1,25,36,524,977,1,202,1_SCell,1,383,4,-114.5625,-119.8125,-114.5625,-16.125,-18.5625,-16.125
