log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLC PDCP Q Full Count,RLCDL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst
1340,LTE_RLC_DL_Stats,2021-11-29 19:58:38.956457,1,1,66,3,1324,5,0,0,,33,AM,0,17,956,49,98,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,17,956,49,98,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,34,AM,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,8070,6952957,757,1514,0,0,0,0,0,0,0,0,0,0,6053,6929008,0,669,0,0,0,102,0,8070,6952957,757,1514,0,0,0,0,0,0,0,0,0,0,6053,6929008,0,669,0,0,0,102,0,5,AM,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,6,(MI)Unknown,0,354,14549,0,0,0,0,0,0,0,0,0,0,0,0,384,13711,0,0,0,0,0,0,0,354,14549,0,0,0,0,0,0,0,0,0,0,0,0,384,13711,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:57:47.567791,1,1,66,3,1064,4,0,0,,33,AM,0,10,469,35,70,0,0,0,0,0,0,0,0,0,0,10,449,0,9,0,0,0,0,0,10,469,35,70,0,0,0,0,0,0,0,0,0,0,10,449,0,9,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,6852,5706822,630,1260,0,0,0,0,0,0,0,0,0,0,5025,5686756,0,557,0,0,0,85,0,6852,5706822,630,1260,0,0,0,0,0,0,0,0,0,0,5025,5686756,0,557,0,0,0,85,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,LTE_RLC_DL_Stats,2021-11-29 19:57:43.423947,1,1,66,3,1064,4,0,0,,33,AM,0,10,469,34,68,0,0,0,0,0,0,0,0,0,0,10,449,0,9,0,0,0,0,0,10,469,34,68,0,0,0,0,0,0,0,0,0,0,10,449,0,9,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,6664,5552300,621,1242,0,0,0,0,0,0,0,0,0,0,4896,5532804,0,549,0,0,0,82,0,6664,5552300,621,1242,0,0,0,0,0,0,0,0,0,0,4896,5532804,0,549,0,0,0,82,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,LTE_RLC_DL_Stats,2021-11-29 19:56:53.244131,1,1,66,3,1064,4,0,0,,33,AM,0,8,395,27,54,0,0,0,0,0,0,0,0,0,0,8,379,0,7,0,0,0,0,0,8,395,27,54,0,0,0,0,0,0,0,0,0,0,8,379,0,7,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,5333,4457303,508,1016,0,0,0,0,0,0,0,0,0,0,4002,4441764,0,450,0,0,0,68,0,5333,4457303,508,1016,0,0,0,0,0,0,0,0,0,0,4002,4441764,0,450,0,0,0,68,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,LTE_RLC_DL_Stats,2021-11-29 19:57:20.824006,1,1,66,3,1064,4,0,0,,33,AM,0,10,469,32,64,0,0,0,0,0,0,0,0,0,0,10,449,0,9,0,0,0,0,0,10,469,32,64,0,0,0,0,0,0,0,0,0,0,10,449,0,9,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,6058,5053064,574,1148,0,0,0,0,0,0,0,0,0,0,4506,5035373,0,509,0,0,0,77,0,6058,5053064,574,1148,0,0,0,0,0,0,0,0,0,0,4506,5035373,0,509,0,0,0,77,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,LTE_RLC_DL_Stats,2021-11-29 19:59:29.981453,1,1,66,3,1324,5,0,0,,33,AM,0,17,956,54,108,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,17,956,54,108,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,34,AM,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,9156,8386397,885,1770,0,0,1,1774,0,0,0,0,0,0,7153,8358645,0,770,0,0,1,120,0,9156,8386397,885,1770,0,0,1,1774,0,0,0,0,0,0,7153,8358645,0,770,0,0,1,120,0,5,AM,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,6,(MI)Unknown,0,2188,94764,0,0,0,0,0,0,0,0,0,0,0,0,2485,89731,0,0,0,0,0,0,0,2188,94764,0,0,0,0,0,0,0,0,0,0,0,0,2485,89731,0,0,0,0,0,0,0
1340,LTE_RLC_DL_Stats,2021-11-29 19:58:19.036470,1,1,66,3,1324,5,0,0,,33,AM,0,12,727,39,78,0,0,0,0,0,0,0,0,0,0,11,703,0,10,0,0,0,0,0,12,727,39,78,0,0,0,0,0,0,0,0,0,0,11,703,0,10,0,0,0,0,0,34,AM,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,7677,6515088,702,1404,0,0,0,0,0,0,0,0,0,0,5680,6492440,0,621,0,0,0,97,0,7677,6515088,702,1404,0,0,0,0,0,0,0,0,0,0,5680,6492440,0,621,0,0,0,97,0,5,AM,0,14,4064,3,6,0,0,0,0,0,0,0,0,0,0,11,4030,0,6,0,0,0,1,0,14,4064,3,6,0,0,0,0,0,0,0,0,0,0,11,4030,0,6,0,0,0,1,0,6,(MI)Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,LTE_RLC_DL_Stats,2021-11-29 19:59:45.045812,1,1,66,3,1324,5,0,0,,33,AM,0,17,956,55,110,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,17,956,55,110,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,34,AM,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,9356,8657533,913,1826,0,0,1,1774,0,0,0,0,0,0,7360,8629076,0,791,0,0,1,123,0,9356,8657533,913,1826,0,0,1,1774,0,0,0,0,0,0,7360,8629076,0,791,0,0,1,123,0,5,AM,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,6,(MI)Unknown,0,2801,118523,0,0,0,0,0,0,0,0,0,0,0,0,3109,112243,0,0,0,0,0,1,0,2801,118523,0,0,0,0,0,0,0,0,0,0,0,0,3109,112243,0,0,0,0,0,1,0
1340,LTE_RLC_DL_Stats,2021-11-29 19:59:09.761454,1,1,66,3,1324,5,0,0,,33,AM,0,17,956,52,104,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,17,956,52,104,0,0,0,0,0,0,0,0,0,0,15,922,0,14,0,0,0,0,0,34,AM,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,8660,7797065,832,1664,0,0,0,0,0,0,0,0,0,0,6708,7770983,0,728,0,0,0,113,0,8660,7797065,832,1664,0,0,0,0,0,0,0,0,0,0,6708,7770983,0,728,0,0,0,113,0,5,AM,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,17,4986,5,10,0,0,0,0,0,0,0,0,0,0,14,4944,0,8,0,0,0,2,0,6,(MI)Unknown,0,1468,66477,0,0,0,0,0,0,0,0,0,0,0,0,1736,62944,0,0,0,0,0,0,0,1468,66477,0,0,0,0,0,0,0,0,0,0,0,0,1736,62944,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:57:02.447794,1,1,66,3,1064,4,0,0,,33,AM,0,8,395,28,56,0,0,0,0,0,0,0,0,0,0,8,379,0,7,0,0,0,0,0,8,395,28,56,0,0,0,0,0,0,0,0,0,0,8,379,0,7,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,5546,4606589,535,1070,0,0,0,0,0,0,0,0,0,0,4138,4590437,0,474,0,0,0,70,0,5546,4606589,535,1070,0,0,0,0,0,0,0,0,0,0,4138,4590437,0,474,0,0,0,70,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
