log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
38,LTE_RRC_OTA_Packet,2021-11-29 19:57:33.754520,20,14,48,0,349,66586,4617,5,0,7,
49,LTE_RRC_OTA_Packet,2021-11-29 19:56:31.035068,20,14,48,0,349,66586,2569,5,0,18,
38,LTE_RRC_OTA_Packet,2021-11-29 19:56:52.795033,20,14,48,0,349,66586,4617,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:56:23.355212,20,14,48,0,349,66586,6665,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:57:17.114641,20,14,48,0,349,66586,10761,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:57:01.754653,20,14,48,0,349,66586,2569,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:59:10.754104,20,14,48,0,349,66586,12361,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:57:08.154678,20,14,48,0,349,66586,12809,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:57:40.154506,20,14,48,0,349,66586,14857,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:56:41.275028,20,14,48,0,349,66586,2569,5,0,7,
