log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Num Rx Ant,Deplexing Mode,Neighbor Cells,Cell ID,CP Type,Enabled Tx Antennas,TTL Enabled,FTL Enabled,Cell ID,CP Type,Enabled Tx Antennas,TTL Enabled,FTL Enabled,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.670856,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-122.625,-14.5625,-99.0,157,0,-128.5625,-20.5,-99.0625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.711663,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-122.8125,-14.6875,-99.0625,157,0,-125.8125,-17.6875,-99.0625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.751658,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-123.3125,-14.6875,-99.625,157,0,-129.625,-20.25,-99.5625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:26.791657,1,2,,26,2,44,5035,2,2,FDD,,114,Normal,2,True,True,157,Normal,2,True,True,27,4,116,5035,2,FDD,PCell,,114,0,-123.5,-15.0,-99.5,157,0,-128.125,-19.625,-99.5
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.631661,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-130.8125,-16.6875,-103.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.670863,1,2,,26,2,28,40072,1,2,TDD,,352,Normal,2,True,True,27,4,64,40072,1,TDD,PCell,,352,0,-129.25,-16.6875,-103.125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.791662,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.1875,-13.8125,-105.375,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.831658,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-128.0625,-13.0625,-105.6875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.870866,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-127.75,-12.9375,-105.3125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:22.911656,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-129.5,-14.75,-105.6875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.551668,1,2,,26,2,28,8640,1,2,FDD,,258,Normal,2,True,True,27,4,64,8640,1,FDD,PCell,,258,0,-127.1875,-12.625,-105.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.670872,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-129.6875,-17.8125,-102.875,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.711665,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-127.3125,-13.8125,-104.125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.751671,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-127.5,-14.0625,-103.5,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 02:38:19.791667,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,True,True,27,4,64,39874,1,TDD,PCell,,352,0,-127.3125,-13.6875,-104.5625,,,,,,,,,,
