log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:22.690311,123,202,310,5,41111,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000f00000,0x0000000000000000,0x0000000000f00000,0x0000000000000000,7,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.452108,123,349,562,7,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffffffffffffff,0x0000000f0000fff0,0xffffffffffffffff,0x0000000f0000fff0,11,Closed-loop spatial multiplexing,0,11064,QPSK,1.4140625,18336,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.452108,123,202,562,7,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ffff0f00ff00f0,0x0000000000000000,0x00ffff0f00ff00f0,0x0000000000000000,10,Closed-loop spatial multiplexing,0,10296,64QAM,1.99609375,7224,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.453166,123,349,562,8,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffff0fffffffff,0x0000000f0000fff0,0xffffff0fffffffff,0x0000000f0000fff0,11,Closed-loop spatial multiplexing,0,13536,16QAM,1.4140625,17568,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.453166,123,202,562,8,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ffffff00f0f0f0,0x0000000000000700,0x00ffffff00f0f0f0,0x0000000000000700,10,Closed-loop spatial multiplexing,0,12576,64QAM,1.99609375,7736,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.454236,123,349,562,9,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffffffffffffff,0x0000000ff0ffffff,0xffffffffffffffff,0x0000000ff0ffffff,11,Closed-loop spatial multiplexing,0,13536,QPSK,1.4140625,24496,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.454236,123,202,562,9,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xf0fffff0f0ffffff,0x00000000000007ff,0xf0fffff0f0ffffff,0x00000000000007ff,10,Closed-loop spatial multiplexing,0,16416,16QAM,1.99609375,14112,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.455294,123,349,563,0,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffffffffffffff,0x0000000fffffffff,0xffffffffffffffff,0x0000000fffffffff,11,Closed-loop spatial multiplexing,0,14112,QPSK,1.4140625,22920,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.455294,123,202,563,0,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffffffffff00ff,0x00000000000007f0,0xffffffffffff00ff,0x00000000000007f0,10,Closed-loop spatial multiplexing,0,16416,16QAM,1.99609375,12576,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 02:38:35.456596,123,349,563,1,41111,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffffffffffffff,0x0000000fffffffff,0xffffffffffffffff,0x0000000fffffffff,11,Closed-loop spatial multiplexing,0,14112,QPSK,1.4140625,22920,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
