log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 02:38:26.665530,1,20,,688,9,0.0,0.0,0,0,0,689,8,0.0,0.0,0,0,0,690,8,0.0,0.0,0,0,0,691,8,0.0,0.0,0,0,0,692,9,0.0,0.0,0,0,0,693,8,0.0,0.0,0,0,0,694,8,0.0,0.0,0,0,0,695,8,0.0,0.0,0,0,0,696,9,0.0,0.0,0,0,0,697,8,0.0,0.0,0,0,0,698,8,0.0,0.0,0,0,0,699,8,0.0,0.0,0,0,0,700,9,0.0,0.0,0,0,0,701,8,0.0,0.0,0,0,0,702,8,0.0,0.0,0,0,0,703,8,0.0,0.0,0,0,0,704,9,0.0,0.0,0,0,0,705,8,0.0,0.0,0,0,0,706,8,0.0,0.0,0,0,0,707,8,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 02:38:26.865530,1,20,,708,9,0.0,0.0,0,0,0,709,8,0.0,0.0,0,0,0,710,8,0.0,0.0,0,0,0,711,8,0.0,0.0,0,0,0,712,9,0.0,0.0,0,0,0,713,8,0.0,0.0,0,0,0,714,8,0.0,0.0,0,0,0,715,8,0.0,0.0,0,0,0,716,9,0.0,0.0,0,0,0,717,8,0.0,0.0,0,0,0,718,8,0.0,0.0,0,0,0,719,8,0.0,0.0,0,0,0,720,9,0.0,0.0,0,0,0,721,8,0.0,0.0,0,0,0,722,8,0.0,0.0,0,0,0,723,8,0.0,0.0,0,0,0,724,9,0.0,0.0,0,0,0,725,8,0.0,0.0,0,0,0,726,8,0.0,0.0,0,0,0,727,8,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 02:38:22.665544,1,20,,288,9,0.0,0.0,0,0,0,289,8,0.0,0.0,0,0,0,290,8,0.0,0.0,0,0,0,291,8,0.0,0.0,0,0,0,292,9,0.0,0.0,0,0,0,293,8,0.0,0.0,0,0,0,294,8,0.0,0.0,0,0,0,295,8,0.0,0.0,0,0,0,296,9,0.0,0.0,0,0,0,297,8,0.0,0.0,0,0,0,298,8,0.0,0.0,0,0,0,299,8,0.0,0.0,0,0,0,300,9,0.0,0.0,0,0,0,301,8,0.0,0.0,0,0,0,302,8,0.0,0.0,0,0,0,303,8,0.0,0.0,0,0,0,304,9,0.0,0.0,0,0,0,305,8,0.0,0.0,0,0,0,306,8,0.0,0.0,0,0,0,307,8,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 02:38:22.865544,1,20,,308,9,0.0,0.0,0,0,0,309,8,0.0,0.0,0,0,0,310,8,0.0,0.0,0,0,0,311,8,0.0,0.0,0,0,0,312,9,0.0,0.0,0,0,0,313,8,0.0,0.0,0,0,0,314,8,0.0,0.0,0,0,0,315,8,0.0,0.0,0,0,0,316,9,0.0,0.0,0,0,0,317,8,0.0,0.0,0,0,0,318,8,0.0,0.0,0,0,0,319,8,0.0,0.0,0,0,0,320,9,0.0,0.0,0,0,0,321,8,0.0,0.0,0,0,0,322,8,0.0,0.0,0,0,0,323,8,0.0,0.0,0,0,0,324,9,0.0,0.0,0,0,0,325,8,0.0,0.0,0,0,0,326,8,0.0,0.0,0,0,0,327,8,0.0,0.0,0,0,0
208,LTE_PHY_RLM_Report,2021-11-29 02:50:08.371399,1,16,,183,3,0.0,0.0,0,0,0,184,3,0.0,0.0,0,0,0,185,3,0.0,0.0,0,0,0,186,3,0.0,0.0,0,0,0,187,3,0.0,0.0,0,0,0,188,3,0.0,0.0,0,0,0,195,3,0.0,0.0,0,0,0,196,3,0.0,0.0,0,0,0,197,3,0.0,0.0,0,0,0,198,3,0.0,0.0,0,0,0,199,3,0.0,0.0,0,0,0,200,3,0.0,0.0,0,0,0,201,3,0.0,0.0,0,0,0,202,3,0.0,0.0,0,0,0,203,3,0.0,0.0,0,0,0,204,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 02:38:35.465390,1,20,,544,9,0.0,0.0,0,0,0,545,8,0.0,0.0,0,0,0,546,8,0.0,0.0,0,0,0,547,8,0.0,0.0,0,0,0,548,9,0.0,0.0,0,0,0,549,8,0.0,0.0,0,0,0,550,8,0.0,0.0,0,0,0,551,8,0.0,0.0,0,0,0,552,9,0.0,0.0,0,0,0,553,8,0.0,0.0,0,0,0,554,8,0.0,0.0,0,0,0,555,8,0.0,0.0,0,0,0,556,9,0.0,0.0,0,0,0,557,8,0.0,0.0,0,0,0,558,8,0.0,0.0,0,0,0,559,8,0.0,0.0,0,0,0,560,9,0.0,0.0,0,0,0,561,8,0.0,0.0,0,0,0,562,8,0.0,0.0,0,0,0,563,8,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 02:50:20.962166,1,20,,438,8,0.0,0.0,0,0,0,439,8,0.0,0.0,0,0,0,440,8,0.0,0.0,0,0,0,442,4,0.0,0.0,0,0,0,442,8,0.0,0.0,0,0,0,443,8,0.0,0.0,0,0,0,444,8,0.0,0.0,0,0,0,446,4,0.0,0.0,0,0,0,446,8,0.0,0.0,0,0,0,447,8,0.0,0.0,0,0,0,448,8,0.0,0.0,0,0,0,450,4,0.0,0.0,0,0,0,450,8,0.0,0.0,0,0,0,451,8,0.0,0.0,0,0,0,452,8,0.0,0.0,0,0,0,453,8,0.0,0.0,0,0,0,454,8,0.0,0.0,0,0,0,455,8,0.0,0.0,0,0,0,456,8,0.0,0.0,0,0,0,457,8,0.0,0.0,0,0,0
220,LTE_PHY_RLM_Report,2021-11-29 02:50:21.571325,1,17,,458,8,0.0,0.0,0,0,0,459,8,0.0,0.0,0,0,0,460,8,0.0,0.0,0,0,0,461,8,0.0,0.0,0,0,0,464,6,0.0,0.0,0,0,0,464,8,0.0,0.0,0,0,0,465,8,0.0,0.0,0,0,0,482,8,0.0,0.0,0,0,0,484,3,0.0,0.0,0,0,0,485,3,0.0,0.0,0,0,0,486,3,0.0,0.0,0,0,0,487,3,0.0,0.0,0,0,0,488,3,0.0,0.0,0,0,0,489,3,0.0,0.0,0,0,0,490,3,0.0,0.0,0,0,0,491,3,0.0,0.0,0,0,0,492,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 02:38:19.665553,1,20,,1012,9,0.0,0.0,0,0,0,1013,8,0.0,0.0,0,0,0,1014,8,0.0,0.0,0,0,0,1015,8,0.0,0.0,0,0,0,1016,9,0.0,0.0,0,0,0,1017,8,0.0,0.0,0,0,0,1018,8,0.0,0.0,0,0,0,1019,8,0.0,0.0,0,0,0,1020,9,0.0,0.0,0,0,0,1021,8,0.0,0.0,0,0,0,1022,8,0.0,0.0,0,0,0,1023,8,0.0,0.0,0,0,0,0,9,0.0,0.0,0,0,0,1,8,0.0,0.0,0,0,0,2,8,0.0,0.0,0,0,0,3,8,0.0,0.0,0,0,0,4,9,0.0,0.0,0,0,0,5,8,0.0,0.0,0,0,0,6,8,0.0,0.0,0,0,0,7,8,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 02:38:19.865553,1,20,,8,9,0.0,0.0,0,0,0,9,8,0.0,0.0,0,0,0,10,8,0.0,0.0,0,0,0,11,8,0.0,0.0,0,0,0,12,9,0.0,0.0,0,0,0,13,8,0.0,0.0,0,0,0,14,8,0.0,0.0,0,0,0,15,8,0.0,0.0,0,0,0,16,9,0.0,0.0,0,0,0,17,8,0.0,0.0,0,0,0,18,8,0.0,0.0,0,0,0,19,8,0.0,0.0,0,0,0,20,9,0.0,0.0,0,0,0,21,8,0.0,0.0,0,0,0,22,8,0.0,0.0,0,0,0,23,8,0.0,0.0,0,0,0,24,9,0.0,0.0,0,0,0,25,8,0.0,0.0,0,0,0,26,8,0.0,0.0,0,0,0,27,8,0.0,0.0,0,0,0
