log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.557089,1,1,25,36,524,977,1,202,PCell,1,697,0,-123.3125,-121.0625,-121.0625,-17.0625,-14.875,-17.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.567081,1,1,25,36,524,977,1,202,PCell,1,698,0,-123.4375,-121.0625,-121.0625,-16.375,-15.0,-16.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.577046,1,1,25,36,524,977,1,202,PCell,1,699,0,-123.625,-121.4375,-121.4375,-16.6875,-15.3125,-16.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.597513,1,1,25,36,524,977,1,202,PCell,1,701,0,-123.5,-121.1875,-121.1875,-15.9375,-15.1875,-15.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.607070,1,1,25,36,524,977,1,202,PCell,1,702,0,-123.5625,-121.25,-121.25,-16.0,-14.4375,-16.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.617050,1,1,25,36,524,977,1,202,PCell,1,703,0,-123.625,-121.3125,-121.3125,-17.375,-15.25,-17.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.637131,1,1,25,36,524,977,1,202,PCell,1,705,0,-123.375,-121.0625,-121.0625,-17.9375,-16.5,-17.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.647073,1,1,25,36,524,977,1,202,PCell,1,706,0,-123.3125,-120.9375,-120.9375,-17.0,-15.1875,-17.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.657051,1,1,25,36,524,977,1,202,PCell,1,707,0,-123.4375,-121.125,-121.125,-18.5625,-16.4375,-18.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:38:26.677180,1,1,25,36,524,977,1,202,PCell,1,709,0,-123.1875,-120.8125,-120.8125,-18.4375,-16.8125,-18.4375
