log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:46.705303,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:46.882118,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:47.101527,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:47.266329,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:47.523112,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:47.623185,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:47.802043,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:26.568180,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,172,165
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:26.686377,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,667,667
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:26.786371,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,2,0,7352,6907
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 01:37:27.528342,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,246,97
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 01:37:27.649200,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,75,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 01:37:27.749398,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,3,1,0,12641,11642
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:37.888142,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,3,0,0,2883,2438
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:37.988144,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,4,0,0,1760,1447
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:24.589245,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,314,166
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:24.689247,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,248,217
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:24.789246,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,1,0,1303,1182
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:10.566422,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,1837,1461
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:10.666421,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,286,194
