log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:46.744164,1,1,25,36,524,66586,1,349,PCell,1,10,9,-117.875,-116.0,-116.0,-10.8125,-10.6875,-10.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.225291,1,1,25,36,524,66586,1,349,PCell,1,59,0,-111.6875,-115.5,-111.6875,-9.0625,-9.875,-9.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.546457,1,1,25,36,524,66586,1,349,PCell,1,91,1,-111.5,-114.75,-111.5,-11.6875,-11.5,-11.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.577007,1,1,25,36,524,66586,1,349,PCell,1,94,2,-111.4375,-114.5625,-111.4375,-9.6875,-9.5,-9.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.587014,1,1,25,36,524,66586,1,349,PCell,1,95,2,-111.3125,-114.5,-111.3125,-9.375,-9.375,-9.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.596980,1,1,25,36,524,66586,1,349,PCell,1,96,2,-111.375,-114.5,-111.375,-12.25,-12.5,-12.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.606932,1,1,25,36,524,66586,1,349,PCell,1,97,2,-111.3125,-114.375,-111.3125,-10.9375,-10.5625,-10.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.616979,1,1,25,36,524,66586,1,349,PCell,1,98,2,-111.3125,-114.375,-111.3125,-8.8125,-9.4375,-8.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.634090,1,1,25,36,524,66586,1,349,PCell,1,99,9,-111.375,-114.4375,-111.375,-12.25,-12.25,-12.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 02:07:47.646950,1,1,25,36,524,66586,1,349,PCell,1,101,2,-111.0625,-114.1875,-111.0625,-8.8125,-9.125,-8.8125
