log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:46.290818,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:46.420074,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:46.560000,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:46.765002,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:41.399399,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,0,0,254,209
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:41.499389,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,420,230
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:41.599386,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,98,98
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:39.744197,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.000227,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.150258,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.355257,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.455329,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.561393,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.724269,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:40.980331,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:41.148205,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:26.683047,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,351,176
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:26.783043,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,1,0,745,641
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:26.883042,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,114,98
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:33.404625,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:33.582744,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:33.823802,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:33.923873,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,1,64,38
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:34.037809,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,42,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:14.626474,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,566,282
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:14.726475,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:14.826415,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:16.752536,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,2,0,1623,1517
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:16.851969,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,2,0,5685,5349
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:18.676745,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:18.801746,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:18.901411,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,125,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:19.088796,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:19.319550,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:19.503796,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:35.633314,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:35.733316,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,49,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:35.833312,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:35.933316,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:29.508285,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:29.608210,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,32,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:29.608210,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,32,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:29.708284,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,109,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:53.375684,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:53.475682,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,26,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:53.602818,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:53.729646,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:53.959563,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:25.038051,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:25.141992,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,35,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:25.265931,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:30.682809,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,132,102
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:30.782809,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:30.882807,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:14:31.005687,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:39.301400,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,452,284
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:39.401399,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:39.501410,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:12:39.622143,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,51,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:45.680825,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,334,197
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:45.780790,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:13:45.880825,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,55,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:01.663374,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:01.939320,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:02.121669,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:02.238875,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:02.338864,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:02.452809,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:02.660608,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:02.921674,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:03.143794,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 03:15:03.360613,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
