log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.805405,123,349,754,9,53037,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,6,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.827545,123,349,757,1,53037,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000f0000000000,0x0000000000000000,0x00000f0000000000,0x0000000000000000,13,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.851483,123,349,759,5,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xf0000000ff000000,0x0000000000ff00ff,0xf0000000ff000000,0x0000000000ff00ff,11,Closed-loop spatial multiplexing,0,7224,16QAM,1.4140625,4968,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.852551,123,349,759,6,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000ffff000f0f,0x000000000f0f00f0,0xff0000ffff000f0f,0x000000000f0f00f0,11,Closed-loop spatial multiplexing,0,9912,16QAM,1.4140625,9912,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.853300,123,349,759,7,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xf0ffffffffffffff,0x00000000fffff000,0xf0ffffffffffffff,0x00000000fffff000,11,Closed-loop spatial multiplexing,0,14112,16QAM,1.4140625,14112,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.854346,123,349,759,8,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0f00ffffffffff0f,0x0000000000ff0000,0x0f00ffffffffff0f,0x0000000000ff0000,11,Closed-loop spatial multiplexing,0,11448,16QAM,1.4140625,12576,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.855425,123,349,759,9,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xfff0fffff0fffff0,0x00000000fffff0ff,0xfff0fffff0fffff0,0x00000000fffff0ff,11,Closed-loop spatial multiplexing,0,18336,16QAM,1.4140625,14112,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.856484,123,349,760,0,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0fffff0fff000f,0x00000000000f00ff,0xff0fffff0fff000f,0x00000000000f00ff,11,Closed-loop spatial multiplexing,0,11448,16QAM,1.4140625,9912,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:13:46.857120,123,349,760,1,53037,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000ff0f00000f,0x0000000000ff0fff,0xff0000ff0f00000f,0x0000000000ff0fff,11,Closed-loop spatial multiplexing,0,11448,16QAM,1.4140625,8760,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 03:15:41.379662,123,349,948,4,46410,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000000f0000,0x0000000000000000,0x00000000000f0000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1288,64QAM,1.4140625,1544,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
