log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.231447,1,1,25,36,524,66586,1,349,PCell,1,697,3,-116.25,-117.4375,-116.25,-11.4375,-10.9375,-11.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.241482,1,1,25,36,524,66586,1,349,PCell,1,698,3,-116.375,-117.875,-116.375,-12.0,-12.5,-12.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.251426,1,1,25,36,524,66586,1,349,PCell,1,699,3,-116.4375,-118.125,-116.4375,-11.9375,-12.5,-11.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.260816,1,1,25,36,524,66586,1,349,PCell,1,700,3,-116.625,-118.3125,-116.625,-12.8125,-14.0625,-12.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.271440,1,1,25,36,524,66586,1,349,PCell,1,701,3,-116.5625,-118.3125,-116.5625,-11.3125,-12.1875,-11.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.281487,1,1,25,36,524,66586,1,349,PCell,1,702,3,-116.8125,-118.5625,-116.8125,-13.625,-14.3125,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.290818,1,1,25,36,524,66586,1,349,PCell,1,703,3,-116.75,-118.4375,-116.75,-14.25,-15.0625,-14.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.361639,1,1,25,36,524,66586,1,349,PCell,1,710,3,-115.0,-117.1875,-115.0,-10.0,-10.8125,-10.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.393351,1,1,25,36,524,66586,1,349,PCell,1,713,5,-114.6875,-117.4375,-114.6875,-13.875,-14.3125,-13.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.403280,1,1,25,36,524,66586,1,349,PCell,1,714,5,-114.6875,-117.375,-114.6875,-12.8125,-13.625,-12.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.413257,1,1,25,36,524,66586,1,349,PCell,1,715,5,-114.6875,-117.4375,-114.6875,-14.875,-15.5,-14.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.423279,1,1,25,36,524,66586,1,349,PCell,1,716,5,-114.125,-116.9375,-114.125,-13.3125,-14.625,-13.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.433254,1,1,25,36,524,66586,1,349,PCell,1,717,5,-113.6875,-116.4375,-113.6875,-14.1875,-15.3125,-14.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.443261,1,1,25,36,524,66586,1,349,PCell,1,718,5,-113.3125,-116.0625,-113.3125,-13.625,-15.0,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.453258,1,1,25,36,524,66586,1,349,PCell,1,719,5,-113.5625,-116.3125,-113.5625,-11.75,-12.5,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.463229,1,1,25,36,524,66586,1,349,PCell,1,720,5,-114.0,-116.6875,-114.0,-13.5,-14.125,-13.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.521517,1,1,25,36,524,66586,1,349,PCell,1,726,3,-115.125,-117.125,-115.125,-10.25,-10.875,-10.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.777540,1,1,25,36,524,66586,1,349,PCell,1,751,9,-115.0,-117.1875,-115.0,-14.125,-14.4375,-14.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.834317,1,1,25,36,524,66586,1,349,PCell,1,757,6,-114.5625,-117.25,-114.5625,-11.75,-12.5,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.844343,1,1,25,36,524,66586,1,349,PCell,1,758,6,-114.75,-117.375,-114.75,-13.6875,-14.625,-13.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:13:46.854346,1,1,25,36,524,66586,1,349,PCell,1,759,6,-114.875,-117.5,-114.875,-15.9375,-16.375,-15.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.344658,1,1,25,36,524,66586,1,349,PCell,1,944,7,-116.1875,-118.0625,-116.1875,-12.125,-12.4375,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.401652,1,1,25,36,524,66586,1,349,PCell,1,950,4,-116.75,-118.6875,-116.75,-15.5625,-15.75,-15.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.411620,1,1,25,36,524,66586,1,349,PCell,1,951,4,-116.5625,-118.5,-116.5625,-11.125,-12.0,-11.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.421754,1,1,25,36,524,66586,1,349,PCell,1,952,4,-116.5625,-118.5,-116.5625,-10.75,-11.25,-10.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.431617,1,1,25,36,524,66586,1,349,PCell,1,953,4,-116.5,-118.375,-116.5,-10.6875,-11.1875,-10.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.441774,1,1,25,36,524,66586,1,349,PCell,1,954,4,-116.4375,-118.3125,-116.4375,-10.125,-10.875,-10.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.451759,1,1,25,36,524,66586,1,349,PCell,1,955,4,-116.25,-118.125,-116.25,-11.8125,-12.375,-11.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.461664,1,1,25,36,524,66586,1,349,PCell,1,956,4,-115.75,-117.6875,-115.75,-10.5625,-10.875,-10.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.471505,1,1,25,36,524,66586,1,349,PCell,1,957,4,-115.9375,-117.8125,-115.9375,-12.8125,-13.25,-12.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.481747,1,1,25,36,524,66586,1,349,PCell,1,958,4,-116.0625,-117.9375,-116.0625,-10.0625,-10.8125,-10.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.491620,1,1,25,36,524,66586,1,349,PCell,1,959,4,-115.875,-117.875,-115.875,-11.3125,-11.8125,-11.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.501789,1,1,25,36,524,66586,1,349,PCell,1,960,4,-115.8125,-117.8125,-115.8125,-10.5,-11.625,-10.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.511617,1,1,25,36,524,66586,1,349,PCell,1,961,4,-115.8125,-117.75,-115.8125,-9.5625,-10.5625,-9.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.521628,1,1,25,36,524,66586,1,349,PCell,1,962,4,-115.875,-117.8125,-115.875,-10.0625,-11.0,-10.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.531620,1,1,25,36,524,66586,1,349,PCell,1,963,4,-116.0,-117.875,-116.0,-11.1875,-11.5,-11.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.541760,1,1,25,36,524,66586,1,349,PCell,1,964,4,-116.1875,-117.875,-116.1875,-9.0625,-10.5,-9.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.551617,1,1,25,36,524,66586,1,349,PCell,1,965,4,-116.4375,-117.9375,-116.4375,-12.625,-13.5,-12.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.561628,1,1,25,36,524,66586,1,349,PCell,1,966,4,-116.6875,-118.0625,-116.6875,-9.75,-10.6875,-9.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.571401,1,1,25,36,524,66586,1,349,PCell,1,967,4,-116.625,-117.875,-116.625,-10.375,-11.0625,-10.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 03:15:41.581766,1,1,25,36,524,66586,1,349,PCell,1,968,4,-116.6875,-117.875,-116.6875,-9.8125,-10.1875,-9.8125
