log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLCUL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst
532,LTE_RLC_UL_Stats,2021-11-29 03:13:46.826611,1,1,71,1,516,4,0,,33,AM,0,6,64,6,50,2,4,0,0,5,0,0,0,5,0,6,64,6,50,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,66,5558,47,5385,11,22,0,0,20,0,0,0,23,0,66,5558,47,5385,11,22,0,0,20,0,0,0,23,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:12:41.041919,1,1,71,1,516,4,0,,33,AM,0,7,66,6,50,2,4,0,0,5,0,0,0,5,0,7,66,6,50,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,88,9876,38,9654,13,26,0,0,11,0,0,0,11,0,88,9876,38,9654,13,26,0,0,11,0,0,0,11,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:14:33.539350,1,1,71,1,516,4,0,,33,AM,0,12,158,12,130,4,8,0,0,10,0,0,0,10,0,12,158,12,130,4,8,0,0,10,0,0,0,10,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,472,61429,261,60213,78,156,0,0,99,0,0,0,113,0,472,61429,261,60213,78,156,0,0,99,0,0,0,113,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:12:14.651977,1,1,71,1,516,4,0,,33,AM,0,6,68,6,54,2,4,0,0,5,0,0,0,5,0,6,68,6,54,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,66,9522,34,9354,12,24,0,0,13,0,0,0,14,0,66,9522,34,9354,12,24,0,0,13,0,0,0,14,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:14:18.901411,1,1,71,1,516,4,0,,33,AM,0,6,66,6,50,2,4,0,0,4,0,0,0,4,0,6,66,6,50,2,4,0,0,4,0,0,0,4,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,166,16440,92,16012,26,52,0,0,32,0,0,0,38,0,166,16440,92,16012,26,52,0,0,32,0,0,0,38,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:12:29.711852,1,1,71,1,516,4,0,,33,AM,0,11,145,11,121,4,8,0,0,10,0,0,0,10,0,11,145,11,121,4,8,0,0,10,0,0,0,10,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,734,167644,541,165550,136,272,0,0,147,0,0,0,176,0,734,167644,541,165550,136,272,0,0,147,0,0,0,176,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:14:53.366442,1,1,71,1,516,4,0,,33,AM,0,14,216,14,184,4,8,0,0,12,0,0,0,12,0,14,216,14,184,4,8,0,0,12,0,0,0,12,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,610,71176,343,69650,126,252,0,0,161,0,0,0,177,0,610,71176,343,69650,126,252,0,0,161,0,0,0,177,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:13:25.287797,1,1,71,1,516,4,0,,33,AM,0,7,66,6,50,2,4,0,0,5,0,0,0,5,0,7,66,6,50,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,29,2543,19,2470,7,14,0,0,10,0,0,0,10,0,29,2543,19,2470,7,14,0,0,10,0,0,0,10,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:15:02.599305,1,1,71,1,516,4,0,,33,AM,0,16,247,15,211,4,8,0,0,13,0,0,0,13,0,16,247,15,211,4,8,0,0,13,0,0,0,13,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,645,73975,367,72375,143,286,0,0,183,0,0,0,199,0,645,73975,367,72375,143,286,0,0,183,0,0,0,199,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:15:31.371905,1,1,71,1,516,4,0,,33,AM,0,7,91,7,77,2,4,0,0,6,0,0,0,7,0,7,91,7,77,2,4,0,0,6,0,0,0,7,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,115,12260,71,11991,35,70,0,0,49,0,0,0,50,0,115,12260,71,11991,35,70,0,0,49,0,0,0,50,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
