log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:28.840078,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,1,0,2861,2670
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:28.940460,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,4,0,0,1047,731
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:29.040459,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,141,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:13.571280,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,3,0,3429,3429
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:16.571269,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,3,0,897,861
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:15.671527,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,3,0,3755,3687
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:21.507699,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,3,1,0,4520,4116
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:22.307635,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,3,1,0,5178,4866
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:13.371514,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,4,0,4601,4601
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:04.687525,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,42,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:04.787590,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:04.908336,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,266,190
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:30.618336,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,75,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:30.719392,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:30.837584,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,526,453
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:30.937584,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,113,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:44.843268,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,1,0,3769,3590
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:44.943018,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,85,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:09.171454,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,5,0,0,1462,1040
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:43:14.871463,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,3,0,2236,2234
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:50.920461,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:51.137511,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:51.341534,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:51.444407,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:51.616448,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:51.818261,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:51.997582,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:36.952973,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:37.062583,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,617,358
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:41.943017,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,4,0,0,931,677
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 18:42:42.043282,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,0,0,969,852
