log_msg_len,type_id,timestamp,Version,Serving Cell ID,Starting Subframe Number,Starting System Frame Number,UE Category,Num DL HARQ,TM Mode,C_RNTI,Carrier Index,Number of Records,Records,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Subframe Offset,HARQ ID,RNTI Type,Codeword Swap,Number of Transport Blks,Streams,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable,Transport Block CRC,NDI,Retransmission Number,RVID,Code Block Size Plus,Num Code Block Plus Data,Num Code Block Plus,Max Half Iter Data,Num Channel Bits,CW Idx,Llr Buf Valid,First Decoded CB Index,First Decoded CB Index Qed Iter2 Data,Last Decoded CB Index Qed Iter2 Data,Companding Format,Effective Code Rate Data,Effective Code Rate,HARQ Combine Enable
3932,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:42:28.866344,126,349,4,354,0,8,4,7382,PCC,8,,0,1,C-RNTI,0,1,,Pass,1,First,0,704,0,1,8,2176,0,1,0,16,16,6 bit LLR,331,0.323,0,1,7,C-RNTI,0,2,,Pass,0,First,0,2752,0,1,8,5568,0,1,0,16,16,6 bit LLR,506,0.494,0,Pass,0,First,0,4416,0,1,8,8352,1,1,0,16,16,6 bit LLR,541,0.528,0,3,2,C-RNTI,0,2,,Pass,1,First,0,2432,0,1,8,5568,0,1,0,16,16,6 bit LLR,447,0.437,0,Pass,0,First,0,3648,0,1,8,5568,1,1,0,16,16,6 bit LLR,670,0.654,0,4,3,C-RNTI,0,2,,Pass,1,First,0,2048,0,1,8,4096,0,1,0,16,16,6 bit LLR,512,0.500,0,Pass,0,First,0,2496,0,1,8,4096,1,1,0,16,16,6 bit LLR,624,0.609,0,6,4,C-RNTI,0,2,,Pass,1,First,0,3520,1,2,8,12288,0,1,0,16,16,6 bit LLR,586,0.572,0,Pass,1,First,0,3648,1,2,8,12288,1,1,0,16,16,6 bit LLR,608,0.594,0,8,6,C-RNTI,0,2,,Pass,1,First,0,2304,0,1,8,4096,0,1,0,16,16,6 bit LLR,576,0.562,0,Pass,1,First,0,2624,0,1,8,6144,1,1,0,16,16,6 bit LLR,437,0.427,0,38,5,C-RNTI,0,1,,Pass,1,First,0,200,0,1,8,928,0,1,0,16,16,6 bit LLR,220,0.215,0,40,0,C-RNTI,0,2,,Pass,0,First,0,4352,2,3,8,30720,0,1,0,16,16,6 bit LLR,435,0.425,0,Pass,1,First,0,5760,1,2,8,20480,1,1,0,16,16,6 bit LLR,576,0.562,0
1720,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:42:29.066773,126,349,6,358,0,8,4,7382,PCC,5,,0,1,C-RNTI,0,2,,Pass,0,First,0,1248,0,1,8,2048,0,1,0,16,16,6 bit LLR,624,0.609,0,Pass,0,First,0,1248,0,1,8,2048,1,1,0,16,16,6 bit LLR,624,0.609,0,7,7,C-RNTI,0,1,,Pass,1,First,0,704,0,1,8,2048,0,1,0,16,16,6 bit LLR,352,0.344,0,46,2,C-RNTI,0,1,,Pass,0,First,0,200,0,1,8,928,0,1,0,16,16,6 bit LLR,220,0.215,0,55,3,C-RNTI,0,1,,Pass,0,First,0,704,0,1,8,1856,0,1,0,16,16,6 bit LLR,388,0.379,0,96,4,C-RNTI,0,1,,Pass,0,First,0,200,0,1,8,928,0,1,0,16,16,6 bit LLR,220,0.215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:42:29.066773,126,202,4,358,0,8,4,7382,SCC,2,,0,4,C-RNTI,0,2,,Fail,0,First,0,4544,2,3,8,24576,0,1,0,16,16,6 bit LLR,568,0.555,2,Fail,0,First,0,5568,1,2,8,24576,1,1,0,16,16,6 bit LLR,464,0.453,2,8,4,C-RNTI,0,2,,Pass,0,Second,2,4544,2,3,8,24576,0,1,0,16,16,6 bit LLR,568,0.555,3,Pass,0,Second,2,5568,1,2,8,24576,1,1,0,16,16,6 bit LLR,464,0.453,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.536286,126,349,8,728,0,8,4,7382,PCC,7,,0,6,C-RNTI,0,2,,Pass,1,First,0,4160,1,2,8,16384,0,1,0,16,16,6 bit LLR,520,0.508,0,Pass,1,First,0,5184,1,2,8,24576,1,1,0,16,16,6 bit LLR,432,0.422,0,1,1,C-RNTI,0,2,,Pass,1,First,0,4928,2,3,8,24576,0,1,0,16,16,6 bit LLR,616,0.602,0,Pass,0,First,0,5888,2,3,8,36864,1,1,0,16,16,6 bit LLR,490,0.479,0,2,0,C-RNTI,0,2,,Pass,0,First,0,5760,1,2,8,20160,0,1,0,16,16,6 bit LLR,585,0.571,0,Pass,0,First,0,4224,2,3,8,20160,1,1,0,16,16,6 bit LLR,643,0.628,0,3,3,C-RNTI,0,2,,Pass,0,First,0,4928,2,3,8,26624,0,1,0,16,16,6 bit LLR,568,0.555,0,Pass,1,First,0,5696,2,3,8,39936,1,1,0,16,16,6 bit LLR,438,0.428,0,4,4,C-RNTI,0,2,,Pass,0,First,0,6144,1,2,8,20480,0,1,0,16,16,6 bit LLR,614,0.600,0,Pass,1,First,0,4352,2,3,8,30720,1,1,0,16,16,6 bit LLR,435,0.425,0,5,5,C-RNTI,0,2,,Pass,0,First,0,4928,2,3,8,26624,0,1,0,16,16,6 bit LLR,568,0.555,0,Pass,1,First,0,5696,2,3,8,39936,1,1,0,16,16,6 bit LLR,438,0.428,0,6,2,C-RNTI,0,2,,Pass,0,First,0,4544,2,3,8,22528,0,1,0,16,16,6 bit LLR,619,0.604,0,Pass,1,First,0,5312,2,3,8,33792,1,1,0,16,16,6 bit LLR,482,0.471,0,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.543097,126,349,5,729,0,8,4,7382,PCC,7,,0,7,C-RNTI,0,2,,Pass,1,First,0,4224,2,3,8,22048,0,1,0,16,16,6 bit LLR,588,0.574,0,Pass,1,First,0,4736,2,3,8,33072,1,1,0,16,16,6 bit LLR,439,0.429,0,1,6,C-RNTI,0,2,,Pass,0,First,0,4736,2,3,8,33792,0,1,0,16,16,6 bit LLR,430,0.420,0,Pass,0,First,0,4736,2,3,8,33792,1,1,0,16,16,6 bit LLR,430,0.420,0,2,1,C-RNTI,0,2,,Pass,0,First,0,4608,1,2,8,14848,0,1,0,16,16,6 bit LLR,635,0.620,0,Pass,1,First,0,5184,1,2,8,22272,1,1,0,16,16,6 bit LLR,476,0.465,0,3,0,C-RNTI,0,2,,Pass,1,First,0,4928,2,3,8,24576,0,1,0,16,16,6 bit LLR,616,0.602,0,Pass,1,First,0,5312,2,3,8,36864,1,1,0,16,16,6 bit LLR,442,0.432,0,4,3,C-RNTI,0,2,,Pass,1,First,0,4544,2,3,8,22528,0,1,0,16,16,6 bit LLR,619,0.604,0,Pass,0,First,0,5312,2,3,8,33792,1,1,0,16,16,6 bit LLR,482,0.471,0,5,4,C-RNTI,0,2,,Pass,1,First,0,5312,2,3,8,25344,0,1,0,16,16,6 bit LLR,643,0.628,0,Pass,0,First,0,5696,2,3,8,38016,1,1,0,16,16,6 bit LLR,460,0.449,0,6,5,C-RNTI,0,2,,Pass,1,First,0,5312,2,3,8,26624,0,1,0,16,16,6 bit LLR,612,0.598,0,Pass,0,First,0,5696,2,3,8,39936,1,1,0,16,16,6 bit LLR,438,0.428,0,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.550213,126,349,2,730,0,8,4,7382,PCC,7,,0,2,C-RNTI,0,2,,Pass,1,First,0,4736,2,3,8,33792,0,1,0,16,16,6 bit LLR,430,0.420,0,Pass,0,First,0,4736,2,3,8,33792,1,1,0,16,16,6 bit LLR,430,0.420,0,1,7,C-RNTI,0,2,,Pass,0,First,0,5568,1,2,8,18432,0,1,0,16,16,6 bit LLR,618,0.604,0,Pass,0,First,0,4352,2,3,8,27648,1,1,0,16,16,6 bit LLR,483,0.472,0,2,6,C-RNTI,0,2,,Fail,1,First,0,4352,2,3,8,27840,0,1,0,16,16,6 bit LLR,480,0.469,0,Pass,1,First,0,4352,2,3,8,27840,1,1,0,16,16,6 bit LLR,480,0.469,0,3,1,C-RNTI,0,2,,Pass,1,First,0,3648,1,2,8,12192,0,1,0,16,16,6 bit LLR,612,0.598,0,Pass,0,First,0,4800,1,2,8,18288,1,1,0,16,16,6 bit LLR,537,0.524,0,4,0,C-RNTI,0,2,,Pass,0,First,0,4416,1,2,8,18432,0,1,0,16,16,6 bit LLR,490,0.479,0,Pass,0,First,0,5184,1,2,8,18432,1,1,0,16,16,6 bit LLR,576,0.562,0,5,3,C-RNTI,0,2,,Fail,0,First,0,4352,2,3,8,30720,0,1,0,16,16,6 bit LLR,435,0.425,0,Fail,1,First,0,5312,2,3,8,30720,1,1,0,16,16,6 bit LLR,531,0.519,0,6,4,C-RNTI,0,2,,Pass,0,First,0,4736,2,3,8,33792,0,1,0,16,16,6 bit LLR,430,0.420,0,Pass,1,First,0,5312,2,3,8,33792,1,1,0,16,16,6 bit LLR,482,0.471,0,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.557042,126,349,9,730,0,8,4,7382,PCC,7,,0,5,C-RNTI,0,2,,Pass,0,First,0,4928,2,3,8,30720,0,1,0,16,16,6 bit LLR,492,0.480,0,Pass,1,First,0,4928,2,3,8,30720,1,1,0,16,16,6 bit LLR,492,0.480,0,1,2,C-RNTI,0,2,,Pass,0,First,0,5312,2,3,8,36480,0,1,0,16,16,6 bit LLR,447,0.437,0,Pass,1,First,0,5312,2,3,8,36480,1,1,0,16,16,6 bit LLR,447,0.437,0,2,7,C-RNTI,0,2,,Pass,1,First,0,4736,2,3,8,33792,0,1,0,16,16,6 bit LLR,430,0.420,0,Pass,1,First,0,5312,2,3,8,33792,1,1,0,16,16,6 bit LLR,482,0.471,0,3,6,C-RNTI,0,2,,Pass,1,Second,2,4352,2,3,8,30720,0,1,1,16,16,6 bit LLR,435,0.425,1,Pass,0,First,0,6144,1,2,8,20480,1,1,0,16,16,6 bit LLR,614,0.600,0,4,1,C-RNTI,0,2,,Pass,0,First,0,4928,2,3,8,24576,0,1,0,16,16,6 bit LLR,616,0.602,0,Pass,1,First,0,5888,2,3,8,36864,1,1,0,16,16,6 bit LLR,490,0.479,0,5,0,C-RNTI,0,2,,Pass,1,First,0,4352,2,3,8,30720,0,1,0,16,16,6 bit LLR,435,0.425,0,Pass,1,First,0,5312,2,3,8,30720,1,1,0,16,16,6 bit LLR,531,0.519,0,6,3,C-RNTI,0,2,,Pass,0,Second,2,4352,2,3,8,30000,0,1,0,16,16,6 bit LLR,445,0.435,1,Pass,1,Second,2,5312,2,3,8,30000,1,1,0,16,16,6 bit LLR,543,0.530,1,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.564160,126,349,6,731,0,8,4,7382,PCC,7,,0,4,C-RNTI,0,2,,Pass,1,First,0,4736,2,3,8,33792,0,1,0,16,16,6 bit LLR,430,0.420,0,Pass,0,First,0,5312,2,3,8,33792,1,1,0,16,16,6 bit LLR,482,0.471,0,1,5,C-RNTI,0,2,,Pass,1,First,0,4928,2,3,8,24576,0,1,0,16,16,6 bit LLR,616,0.602,0,Pass,0,First,0,5312,2,3,8,36864,1,1,0,16,16,6 bit LLR,442,0.432,0,2,2,C-RNTI,0,2,,Pass,1,First,0,6144,2,3,8,29696,0,1,0,16,16,6 bit LLR,635,0.620,0,Pass,0,First,0,4992,3,4,8,29696,1,1,0,16,16,6 bit LLR,688,0.672,0,3,7,C-RNTI,0,2,,Pass,0,First,0,5760,1,2,8,20416,0,1,0,16,16,6 bit LLR,577,0.563,0,Pass,0,First,0,5760,1,2,8,20416,1,1,0,16,16,6 bit LLR,577,0.563,0,4,6,C-RNTI,0,2,,Pass,0,First,0,5568,1,2,8,21760,0,1,0,16,16,6 bit LLR,524,0.512,0,Pass,1,First,0,4544,2,3,8,21760,1,1,0,16,16,6 bit LLR,641,0.626,0,5,1,C-RNTI,0,2,,Pass,1,First,0,5696,4,5,8,47104,0,1,0,16,16,6 bit LLR,619,0.604,0,Pass,0,First,0,5696,4,5,8,47104,1,1,0,16,16,6 bit LLR,619,0.604,0,6,0,C-RNTI,0,2,,Pass,0,First,0,5312,4,5,8,47104,0,1,0,16,16,6 bit LLR,577,0.563,0,Pass,0,First,0,5696,4,5,8,47104,1,1,0,16,16,6 bit LLR,619,0.604,0,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.571280,126,349,3,732,0,8,4,7382,PCC,7,,0,3,C-RNTI,0,2,,Pass,1,First,0,5696,4,5,8,47104,0,1,0,16,16,6 bit LLR,619,0.604,0,Pass,0,First,0,6144,4,5,8,70656,1,1,0,16,16,6 bit LLR,445,0.435,0,1,4,C-RNTI,0,2,,Pass,0,First,0,6144,2,3,8,30720,0,1,0,16,16,6 bit LLR,614,0.600,0,Pass,1,First,0,4992,3,4,8,46080,1,1,0,16,16,6 bit LLR,443,0.433,0,2,5,C-RNTI,0,2,,Pass,0,First,0,4224,2,3,8,20224,0,1,0,16,16,6 bit LLR,641,0.626,0,Pass,1,First,0,4736,2,3,8,30336,1,1,0,16,16,6 bit LLR,479,0.468,0,3,2,C-RNTI,0,2,,Pass,0,First,0,5696,2,3,8,30720,0,1,0,16,16,6 bit LLR,569,0.556,0,Pass,1,First,0,5376,3,4,8,46080,1,1,0,16,16,6 bit LLR,477,0.466,0,4,7,C-RNTI,0,2,,Pass,1,First,0,4928,4,5,8,40960,0,1,0,16,16,6 bit LLR,616,0.602,0,Pass,1,First,0,5312,4,5,8,61440,1,1,0,16,16,6 bit LLR,442,0.432,0,5,6,C-RNTI,0,2,,Pass,1,First,0,4928,4,5,8,40960,0,1,0,16,16,6 bit LLR,616,0.602,0,Fail,0,First,0,5888,4,5,8,61440,1,1,0,16,16,6 bit LLR,490,0.479,0,6,1,C-RNTI,0,2,,Pass,0,First,0,5952,3,4,8,38912,0,1,0,16,16,6 bit LLR,626,0.611,0,Pass,1,First,0,4928,4,5,8,58368,1,1,0,16,16,6 bit LLR,432,0.422,0,,,,,,
3920,LTE_PHY_PDSCH_Decoding_Result,2021-11-29 18:43:13.578020,126,349,0,733,0,8,4,7382,PCC,7,,0,0,C-RNTI,0,2,,Pass,1,First,0,5504,4,5,8,44544,0,1,0,16,16,6 bit LLR,632,0.617,0,Pass,1,First,0,5696,4,5,8,66816,1,1,0,16,16,6 bit LLR,436,0.426,0,1,3,C-RNTI,0,2,,Pass,0,First,0,5504,4,5,8,45056,0,1,0,16,16,6 bit LLR,625,0.610,0,Pass,1,First,0,5312,5,6,8,67584,1,1,0,16,16,6 bit LLR,482,0.471,0,2,4,C-RNTI,0,2,,Pass,1,First,0,4992,3,4,8,46080,0,1,0,16,16,6 bit LLR,443,0.433,0,Pass,0,First,0,4992,3,4,8,46080,1,1,0,16,16,6 bit LLR,443,0.433,0,3,5,C-RNTI,0,2,,Pass,1,First,0,5696,2,3,8,39936,0,1,0,16,16,6 bit LLR,438,0.428,0,Pass,0,First,0,5696,2,3,8,39936,1,1,0,16,16,6 bit LLR,438,0.428,0,4,2,C-RNTI,0,2,,Fail,1,First,0,5568,1,2,8,21504,0,1,0,16,16,6 bit LLR,530,0.518,0,Fail,0,First,0,5184,1,2,8,21504,1,1,0,16,16,6 bit LLR,493,0.481,0,5,7,C-RNTI,0,2,,Fail,0,First,0,5952,3,4,8,54432,0,1,0,16,16,6 bit LLR,447,0.437,0,Pass,0,First,0,5312,4,5,8,54432,1,1,0,16,16,6 bit LLR,499,0.487,0,6,6,C-RNTI,0,2,,Pass,0,First,0,5312,4,5,8,61440,0,1,0,16,16,6 bit LLR,442,0.432,0,Pass,0,Second,2,5888,4,5,8,61440,1,1,4,16,16,6 bit LLR,490,0.479,1,,,,,,
