log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.841309,1,1,25,36,524,66586,1,349,PCell,1,355,8,-115.5,-117.8125,-115.5,-12.3125,-13.25,-12.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.841309,1,1,25,36,524,977,1,202,1_SCell,1,355,8,-118.75,-114.4375,-114.4375,-16.6875,-16.875,-16.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.852985,1,1,25,36,524,66586,1,349,PCell,1,357,0,-115.6875,-117.8125,-115.6875,-12.125,-13.375,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.852985,1,1,25,36,524,977,1,202,1_SCell,1,357,0,-118.9375,-114.3125,-114.3125,-16.875,-14.1875,-16.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.862937,1,1,25,36,524,66586,1,349,PCell,1,358,0,-116.0625,-118.0,-116.0625,-12.1875,-12.875,-12.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.862937,1,1,25,36,524,977,1,202,1_SCell,1,358,0,-119.375,-114.75,-114.75,-17.875,-15.0,-17.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.872971,1,1,25,36,524,66586,1,349,PCell,1,359,0,-116.125,-118.1875,-116.125,-14.0625,-14.4375,-14.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.872971,1,1,25,36,524,977,1,202,1_SCell,1,359,0,-119.875,-115.4375,-115.4375,-16.5625,-14.25,-16.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.882991,1,1,25,36,524,66586,1,349,PCell,1,360,0,-116.0,-118.1875,-116.0,-12.3125,-13.375,-12.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.882991,1,1,25,36,524,977,1,202,1_SCell,1,360,0,-120.3125,-116.3125,-116.3125,-16.1875,-12.1875,-16.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.893138,1,1,25,36,524,66586,1,349,PCell,1,361,0,-116.125,-118.375,-116.125,-13.4375,-14.0625,-13.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.893138,1,1,25,36,524,977,1,202,1_SCell,1,361,0,-120.875,-117.25,-117.25,-16.25,-12.6875,-16.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.901344,1,1,25,36,524,66586,1,349,PCell,1,361,8,-116.1875,-118.5,-116.1875,-9.8125,-12.0625,-9.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:42:28.901344,1,1,25,36,524,977,1,202,1_SCell,1,361,8,-121.3125,-118.125,-118.125,-17.25,-13.0625,-17.25
