log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:23.586424,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:23.743394,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:23.926500,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:24.203255,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:24.406422,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:24.606420,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:24.863236,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:25.089371,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:25.324300,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:58.462662,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:58.688814,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:58.985541,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:59.085616,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:59.327964,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:59.442750,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:33.856836,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:33.985018,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:34.162688,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:34.435754,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:34.556826,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,443,294
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:06.650565,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,2,0,0,5346,4348
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:06.750570,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,0,0,1138,860
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:06.850512,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,1,0,2006,1821
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:57.582582,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,125,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:57.707744,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:57.807736,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,260,90
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:08.305233,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:08.405308,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,3,1,0,1603,1549
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:08.505301,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,2,0,3570,3303
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:42.906986,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,314,168
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:43.015596,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:43.126995,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,51,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:43.304462,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:57.279334,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:57.379327,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:57.479334,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:57.579327,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:52.521625,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,4,0,0,604,380
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:52.621628,1,1,UL Tx Statistics SubPacket,2,20,1,100,5,3,0,0,2165,1696
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:52.721625,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,1,0,619,572
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:37.445689,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:37.694243,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,177,177
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:37.795002,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,0,0,1146,836
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:37.895005,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,177,139
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:30.576270,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,1245,782
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:30.676267,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,5,1,0,2790,2375
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:55.666629,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:55.849501,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:56.043757,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:56.143435,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:56.243419,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:56.353754,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:56.587618,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:56.803790,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:57.006579,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:57.281553,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:47.627980,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,2011,1608
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:47.728089,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,3,0,0,467,294
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:07.563753,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,141,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:07.685560,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:07.785238,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,125,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:34.320406,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:34.448286,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,55,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:34.605333,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:34.846398,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:31:35.055417,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,1713,1713
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:37.385218,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:37.485215,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,22,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:37.694081,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:37.794151,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,141,38
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:37.910218,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,79,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:44.104626,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,77,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:44.228867,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,42,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:44.382712,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:44.558816,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:48.922741,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:49.303801,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:49.563803,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:49.749615,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:50.018810,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:50.163876,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:12.309156,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:12.435896,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:12.644160,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:12.913021,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:13.216947,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:33:13.464086,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:02.249238,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,0,0,1274,1054
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:02.348950,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,67,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:32:02.455300,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:43.604460,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,4,1,0,2373,2017
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:30:43.704480,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,4,0,0,2270,1842
