log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:59.023781,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-116.1875,-10.6875,-97.75,118,0,-122.0625,-16.6875,-97.625,393,0,-127.0625,-19.6875,-97.5625
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:06.787568,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,439,0,-128.9375,-25.625,-94.3125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:06.813304,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,390,0,-125.5625,-21.25,-96.5,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:57.766343,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.375,-22.375,-94.0,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:57.767944,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-121.75,-18.375,-95.5625,393,0,-124.625,-20.9375,-95.5625,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:08.382084,1,2,,30,32,64,31,4,168,66586,3,FDD,PCell,,194,0,-128.9375,-22.6875,-96.6875,439,0,-126.9375,-24.0625,-93.875,441,0,-124.0,-21.0625,-93.875
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:30:52.622608,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.25,-24.0625,-93.125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:37.701394,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,425,0,-125.5625,-21.9375,-94.0625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:37.879574,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,425,0,-130.1875,-25.125,-95.875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:30.570882,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-131.1875,-21.875,-100.0625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:30.572987,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.0625,-18.9375,-95.3125,393,0,-123.6875,-20.5,-95.3125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:47.726869,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-120.0625,-21.9375,-90.375,393,0,-120.9375,-22.625,-90.375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:07.587565,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,390,0,-127.75,-20.875,-99.125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:07.747567,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,439,0,-131.1875,-22.0,-100.125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:07.787568,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,390,0,-128.1875,-20.875,-99.5,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:34.428943,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-129.8125,-23.25,-97.5625,441,0,-130.6875,-21.375,-97.5625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:35.066837,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,279,0,-125.4375,-21.375,-94.0,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:37.728007,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-115.25,-12.75,-93.1875,393,0,-122.5625,-21.625,-93.0625,118,0,-121.8125,-20.875,-93.125
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:44.076670,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.6875,-21.625,-94.6875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:44.250610,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.75,-23.75,-95.9375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:49.378772,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-121.5625,-21.3125,-91.1875,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:13.247868,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-115.625,-12.875,-94.5625,118,0,-120.1875,-17.9375,-94.5,393,0,-124.0625,-21.75,-94.5625
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:02.238940,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-127.0,-19.4375,-98.5,439,0,-130.1875,-22.3125,-98.5,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:02.430272,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-127.6875,-20.875,-97.75,439,0,-129.8125,-23.0,-97.75,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:52.840278,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,439,0,-126.8125,-21.875,-95.875,,,,,,,,,,
