log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:31:23.600251,1,1,25,36,524,66586,1,349,PCell,1,968,8,-117.1875,-121.25,-117.1875,-11.25,-13.0625,-11.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:31:23.920189,1,1,25,36,524,66586,1,349,PCell,1,1000,8,-116.8125,-120.75,-116.8125,-11.4375,-13.375,-11.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:31:24.240191,1,1,25,36,524,66586,1,349,PCell,1,8,8,-116.5,-120.75,-116.5,-14.625,-15.9375,-14.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:31:24.560134,1,1,25,36,524,66586,1,349,PCell,1,40,8,-116.4375,-120.5,-116.4375,-11.0,-12.625,-11.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:31:24.880246,1,1,25,36,524,66586,1,349,PCell,1,72,8,-115.3125,-117.625,-115.3125,-11.4375,-12.125,-11.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:31:25.200157,1,1,25,36,524,66586,1,349,PCell,1,104,8,-114.8125,-120.625,-114.8125,-12.375,-13.6875,-12.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:58.687504,1,1,25,36,524,66586,1,349,PCell,1,93,6,-111.375,-118.875,-111.375,-12.75,-12.875,-12.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:59.007016,1,1,25,36,524,66586,1,349,PCell,1,125,6,-114.25,-118.6875,-114.25,-11.5,-12.0625,-11.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:59.325553,1,1,25,36,524,66586,1,349,PCell,1,157,4,-114.8125,-119.3125,-114.8125,-13.125,-13.375,-13.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:33.856341,1,1,25,36,524,66586,1,349,PCell,1,682,5,-117.5625,-119.75,-117.5625,-13.9375,-13.75,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:33.913266,1,1,25,36,524,66586,1,349,PCell,1,688,2,-117.8125,-119.875,-117.8125,-13.4375,-14.0,-13.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:33.946415,1,1,25,36,524,66586,1,349,PCell,1,691,5,-117.75,-119.75,-117.75,-15.75,-16.0625,-15.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:33.956422,1,1,25,36,524,66586,1,349,PCell,1,692,5,-118.0,-120.0,-118.0,-15.75,-15.3125,-15.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:33:33.966422,1,1,25,36,524,66586,1,349,PCell,1,693,5,-117.75,-119.8125,-117.75,-13.8125,-14.6875,-13.8125
