log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
38,LTE_RRC_OTA_Packet,2021-11-29 19:33:59.329308,20,14,48,0,349,66586,2521,5,0,7,
97,LTE_RRC_OTA_Packet,2021-11-29 19:32:08.308189,20,14,48,1,349,66586,54263,7,0,66,
33,LTE_RRC_OTA_Packet,2021-11-29 19:32:08.319265,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 19:33:37.519245,20,14,48,0,349,66586,393,5,0,7,
53,LTE_RRC_OTA_Packet,2021-11-29 19:33:37.688372,20,14,48,1,349,66586,0,9,0,22,
46,LTE_RRC_OTA_Packet,2021-11-29 19:30:55.550133,20,14,48,0,349,66586,3385,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 19:32:37.399497,20,14,48,0,349,66586,2505,5,0,7,
56,LTE_RRC_OTA_Packet,2021-11-29 19:32:37.706604,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 19:33:44.499168,20,14,48,0,349,66586,11561,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:33:04.279407,20,14,48,0,349,66586,12745,5,0,7,
56,LTE_RRC_OTA_Packet,2021-11-29 19:33:08.535022,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 19:33:28.559527,20,14,48,0,349,66586,2441,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:32:59.159420,20,14,48,0,349,66586,4553,5,0,7,
97,LTE_RRC_OTA_Packet,2021-11-29 19:32:28.991850,20,14,48,1,349,66586,54593,7,0,66,
33,LTE_RRC_OTA_Packet,2021-11-29 19:32:29.001280,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 19:32:27.435588,20,14,48,1,349,66586,0,9,0,4,
39,LTE_RRC_OTA_Packet,2021-11-29 19:32:27.451260,20,14,48,1,349,66586,52128,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 19:32:27.455666,20,14,48,1,349,66586,0,9,0,2,
56,LTE_RRC_OTA_Packet,2021-11-29 19:33:18.986816,20,14,48,1,349,66586,0,9,0,25,
56,LTE_RRC_OTA_Packet,2021-11-29 19:34:05.747513,20,14,48,1,349,66586,0,9,0,25,
