log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Num Samples,Samples,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len,Header Field,LC ID,Len,Sub Id,Cell Id,Sub-FN,SFN,RNTI Type,HARQ ID,Area ID,PMCH ID,DL TBS (bytes),RLC PDUs,Padding (bytes),HDR LEN,Mac Hdr + CE,Header Field,LC ID,Len
520,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:16.966348,1,1,DL Transport Block,4,504,30,,1,0,9,983,C-RNTI,2,0,0,125,1,0,1,,3,3,0,1,0,9,983,C-RNTI,2,0,0,193,1,22,4,,35,3,167,31,Padding,-1,1,0,0,984,C-RNTI,7,0,0,389,1,0,1,,3,3,0,1,0,0,984,C-RNTI,7,0,0,225,1,19,4,,35,3,202,31,Padding,-1,1,0,0,984,C-RNTI,6,0,0,1764,1,0,1,,3,3,0,1,0,0,984,C-RNTI,6,0,0,2292,1,157,4,,35,3,2131,31,Padding,-1,1,0,1,984,C-RNTI,5,0,0,437,1,0,1,,3,3,0,1,0,1,984,C-RNTI,5,0,0,225,1,12,4,,35,3,209,31,Padding,-1,1,0,1,984,C-RNTI,3,0,0,2769,1,0,1,,3,3,0,1,0,1,984,C-RNTI,3,0,0,3302,1,393,4,,35,3,2905,31,Padding,-1,1,0,2,984,C-RNTI,4,0,0,301,1,4,4,,35,3,293,31,Padding,-1,1,0,2,984,C-RNTI,0,0,0,2196,1,0,1,,3,3,0,1,0,2,984,C-RNTI,0,0,0,2577,1,158,4,,35,3,2415,31,Padding,-1,1,0,3,984,C-RNTI,1,0,0,125,1,4,3,,35,3,118,31,Padding,-1,1,0,3,984,C-RNTI,4,0,0,453,1,0,1,,3,3,0,1,0,3,984,C-RNTI,4,0,0,645,1,38,4,,35,3,603,31,Padding,-1,1,0,3,985,C-RNTI,3,0,0,153,1,3,4,,35,3,146,31,Padding,-1,1,0,3,985,C-RNTI,5,0,0,717,1,0,1,,3,3,0,1,0,3,985,C-RNTI,5,0,0,717,1,127,4,,35,3,586,31,Padding,-1,1,0,0,986,C-RNTI,7,0,0,1143,1,0,1,,3,3,0,1,0,0,986,C-RNTI,7,0,0,1527,1,66,4,,35,3,1457,31,Padding,-1,1,0,8,986,C-RNTI,6,0,0,301,1,4,4,,35,3,293,31,Padding,-1,1,0,8,986,C-RNTI,1,0,0,2577,1,0,1,,3,3,0,1,0,8,986,C-RNTI,1,0,0,2769,1,144,4,,35,3,2621,31,Padding,-1,1,0,9,986,C-RNTI,2,0,0,309,1,0,1,,3,3,0,1,0,9,986,C-RNTI,2,0,0,309,1,29,4,,35,3,276,31,Padding,-1,1,0,0,987,C-RNTI,0,0,0,217,1,0,1,,3,3,0,1,0,0,987,C-RNTI,0,0,0,97,1,12,3,,35,3,82,31,Padding,-1,1,0,0,987,C-RNTI,6,0,0,1383,1,165,4,,35,3,1214,31,Padding,-1,1,0,1,987,C-RNTI,3,0,0,1287,1,0,1,,3,3,0
512,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:16.979121,1,1,DL Transport Block,4,496,30,,1,0,2,987,C-RNTI,0,0,0,153,1,0,1,,3,3,0,1,0,2,987,C-RNTI,0,0,0,153,1,5,4,,35,3,144,31,Padding,-1,1,0,3,987,C-RNTI,2,0,0,437,1,0,1,,3,3,0,1,0,3,987,C-RNTI,2,0,0,201,1,42,4,,35,3,155,31,Padding,-1,1,0,4,987,C-RNTI,7,0,0,217,1,0,1,,3,3,0,1,0,4,987,C-RNTI,7,0,0,97,1,12,3,,35,3,82,31,Padding,-1,1,0,4,987,C-RNTI,5,0,0,1287,1,0,1,,3,3,0,1,0,4,987,C-RNTI,5,0,0,1383,1,69,4,,35,3,1310,31,Padding,-1,1,0,5,987,C-RNTI,5,0,0,217,1,0,1,,3,3,0,1,0,5,987,C-RNTI,5,0,0,97,1,12,3,,35,3,82,31,Padding,-1,1,0,5,987,C-RNTI,7,0,0,1383,1,165,4,,35,3,1214,31,Padding,-1,1,0,6,987,C-RNTI,4,0,0,437,1,0,1,,3,3,0,1,0,6,987,C-RNTI,4,0,0,173,1,14,4,,35,3,155,31,Padding,-1,1,0,8,987,C-RNTI,6,0,0,1383,1,0,1,,3,3,0,1,0,9,987,C-RNTI,1,0,0,717,1,0,1,,3,3,0,1,0,9,987,C-RNTI,1,0,0,405,1,95,4,,35,3,306,31,Padding,-1,1,0,9,987,C-RNTI,3,0,0,1527,1,206,4,,35,3,1317,31,Padding,-1,1,0,1,988,C-RNTI,3,0,0,193,1,0,1,,3,3,0,1,0,1,988,C-RNTI,3,0,0,113,1,19,3,,35,3,91,31,Padding,-1,1,0,1,988,C-RNTI,4,0,0,2577,1,0,1,,3,3,0,1,0,1,988,C-RNTI,4,0,0,2769,1,154,4,,35,3,2611,31,Padding,-1,1,0,2,988,C-RNTI,6,0,0,717,1,0,1,,3,3,0,1,0,2,988,C-RNTI,6,0,0,405,1,122,4,,35,3,279,31,Padding,-1,1,0,3,988,C-RNTI,0,0,0,437,1,0,1,,3,3,0,1,0,3,988,C-RNTI,0,0,0,225,1,66,4,,35,3,155,31,Padding,-1,1,0,3,988,C-RNTI,7,0,0,1383,1,0,1,,3,3,0,1,0,3,988,C-RNTI,7,0,0,1527,1,0,1,,3,3,0,1,0,4,988,C-RNTI,2,0,0,309,1,0,1,,3,3,0,1,0,4,988,C-RNTI,2,0,0,101,1,30,3,,35,3,68,31,Padding,-1,1,0,4,988,C-RNTI,1,0,0,2577,1,0,1,,3,3,0,,,,,,,,,
252,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:16.983122,1,1,DL Transport Block,4,236,14,,1,0,4,988,C-RNTI,1,0,0,3062,1,444,4,,35,3,2614,31,Padding,-1,1,0,5,988,C-RNTI,5,0,0,1383,1,0,1,,3,3,0,1,0,5,988,C-RNTI,5,0,0,1620,1,32,4,,35,3,1584,31,Padding,-1,1,0,6,988,C-RNTI,7,0,0,775,1,0,1,,3,3,0,1,0,6,988,C-RNTI,7,0,0,573,1,98,4,,35,3,471,31,Padding,-1,1,0,6,988,C-RNTI,6,0,0,1287,1,0,1,,3,3,0,1,0,6,988,C-RNTI,6,0,0,1527,1,0,1,,3,3,0,1,0,7,988,C-RNTI,5,0,0,549,1,0,1,,3,3,0,1,0,7,988,C-RNTI,5,0,0,341,1,33,4,,35,3,304,31,Padding,-1,1,0,7,988,C-RNTI,3,0,0,1527,1,0,1,,3,3,0,1,0,8,988,C-RNTI,4,0,0,999,1,0,1,,3,3,0,1,0,8,988,C-RNTI,4,0,0,645,1,161,4,,35,3,480,31,Padding,-1,1,0,8,988,C-RNTI,2,0,0,3062,2,0,4,,63,Padding,-1,35,3,2,3,3,0,1,0,8,988,C-RNTI,2,0,0,3062,1,0,1,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:16.992060,1,1,DL Transport Block,4,492,30,,1,0,0,989,C-RNTI,1,0,0,1692,1,0,1,,3,3,0,1,0,0,989,C-RNTI,1,0,0,903,1,60,4,,35,3,839,31,Padding,-1,1,0,0,989,C-RNTI,0,0,0,4395,1,0,1,,3,3,0,1,0,0,989,C-RNTI,0,0,0,4395,1,20,4,,35,3,4371,31,Padding,-1,1,0,1,989,C-RNTI,3,0,0,285,1,0,1,,3,3,0,1,0,1,989,C-RNTI,3,0,0,161,1,0,1,,3,3,0,1,0,1,989,C-RNTI,7,0,0,3062,1,0,1,,3,3,0,1,0,1,989,C-RNTI,7,0,0,3662,1,130,4,,35,3,3528,31,Padding,-1,1,0,2,989,C-RNTI,6,0,0,1383,1,0,1,,3,3,0,1,0,2,989,C-RNTI,6,0,0,871,1,85,4,,35,3,782,31,Padding,-1,1,0,2,989,C-RNTI,1,0,0,1383,1,0,1,,3,3,0,1,0,2,989,C-RNTI,1,0,0,1908,1,115,4,,35,3,1789,31,Padding,-1,1,0,3,989,C-RNTI,0,0,0,1143,1,0,1,,3,3,0,1,0,3,989,C-RNTI,0,0,0,775,1,126,4,,35,3,645,31,Padding,-1,1,0,3,989,C-RNTI,5,0,0,1764,1,0,1,,3,3,0,1,0,3,989,C-RNTI,5,0,0,2385,1,74,4,,35,3,2307,31,Padding,-1,1,0,4,989,C-RNTI,6,0,0,97,1,0,1,,3,3,0,1,0,4,989,C-RNTI,6,0,0,161,1,23,4,,35,3,134,31,Padding,-1,1,0,5,989,C-RNTI,2,0,0,217,1,0,1,,3,3,0,1,0,5,989,C-RNTI,2,0,0,113,1,21,3,,35,3,89,31,Padding,-1,1,0,5,989,C-RNTI,3,0,0,1095,1,0,1,,3,3,0,1,0,5,989,C-RNTI,3,0,0,1692,1,0,1,,3,3,0,1,0,6,989,C-RNTI,7,0,0,325,1,0,1,,3,3,0,1,0,6,989,C-RNTI,7,0,0,173,1,36,4,,35,3,133,31,Padding,-1,1,0,6,989,C-RNTI,2,0,0,1764,1,0,1,,3,3,0,1,0,6,989,C-RNTI,2,0,0,2385,1,137,4,,35,3,2244,31,Padding,-1,1,0,7,989,C-RNTI,5,0,0,437,1,0,1,,3,3,0,1,0,7,989,C-RNTI,5,0,0,225,1,66,4,,35,3,155,31,Padding,-1,1,0,7,989,C-RNTI,4,0,0,2577,1,0,1,,3,3,0,1,0,7,989,C-RNTI,4,0,0,2769,1,0,1,,3,3,0,,,,,,,,,,,,,,,
516,LTE_MAC_DL_Transport_Block,2021-11-29 14:56:17.010752,1,1,DL Transport Block,4,500,30,,1,0,8,989,C-RNTI,4,0,0,309,1,0,1,,3,3,0,1,0,8,989,C-RNTI,4,0,0,137,1,57,3,,35,3,77,31,Padding,-1,1,0,8,989,C-RNTI,0,0,0,1479,1,0,1,,3,3,0,1,0,8,989,C-RNTI,0,0,0,1908,1,10,4,,35,3,1894,31,Padding,-1,1,0,9,989,C-RNTI,1,0,0,437,1,0,1,,3,3,0,1,0,9,989,C-RNTI,1,0,0,225,1,67,4,,35,3,154,31,Padding,-1,1,0,9,989,C-RNTI,7,0,0,1031,1,0,1,,3,3,0,1,0,9,989,C-RNTI,7,0,0,1287,1,7,4,,35,3,1276,31,Padding,-1,1,0,0,990,C-RNTI,3,0,0,389,1,0,1,,3,3,0,1,0,0,990,C-RNTI,3,0,0,225,1,19,4,,35,3,202,31,Padding,-1,1,0,0,990,C-RNTI,1,0,0,2577,1,0,1,,3,3,0,1,0,0,990,C-RNTI,1,0,0,2769,1,155,4,,35,3,2610,31,Padding,-1,1,0,1,990,C-RNTI,6,0,0,193,1,0,1,,3,3,0,1,0,1,990,C-RNTI,6,0,0,141,1,32,3,,35,3,106,31,Padding,-1,1,0,1,990,C-RNTI,5,0,0,1143,1,0,1,,3,3,0,1,0,1,990,C-RNTI,5,0,0,1527,1,69,4,,35,3,1454,31,Padding,-1,1,0,3,990,C-RNTI,6,0,0,1063,1,0,1,,3,3,0,1,0,3,990,C-RNTI,6,0,0,1620,1,97,4,,35,3,1519,31,Padding,-1,1,0,4,990,C-RNTI,0,0,0,253,1,0,1,,3,3,0,1,0,4,990,C-RNTI,0,0,0,137,1,32,3,,35,3,102,31,Padding,-1,1,0,4,990,C-RNTI,3,0,0,1287,1,0,1,,3,3,0,1,0,4,990,C-RNTI,3,0,0,1692,1,123,4,,35,3,1565,31,Padding,-1,1,0,5,990,C-RNTI,2,0,0,453,1,0,1,,3,3,0,1,0,5,990,C-RNTI,2,0,0,153,1,10,4,,35,3,139,31,Padding,-1,1,0,5,990,C-RNTI,2,0,0,2769,1,0,1,,3,3,0,1,0,5,990,C-RNTI,2,0,0,2769,1,343,4,,35,3,2422,31,Padding,-1,1,0,7,990,C-RNTI,4,0,0,141,1,0,1,,3,3,0,1,0,7,990,C-RNTI,4,0,0,217,1,17,4,,35,3,196,31,Padding,-1,1,0,6,991,C-RNTI,7,0,0,389,1,0,1,,3,3,0,1,0,6,991,C-RNTI,7,0,0,253,1,1,4,,35,3,248,31,Padding,-1,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 15:03:27.938100,1,1,DL Transport Block,4,24,1,,1,0,2,52,C-RNTI,1,0,0,22,1,10,3,,33,1,9,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LTE_MAC_DL_Transport_Block,2021-11-29 15:03:28.268855,1,1,DL Transport Block,4,28,1,,1,0,9,82,P-RNTI,1,0,0,7,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,LTE_MAC_DL_Transport_Block,2021-11-29 14:57:47.091421,1,1,DL Transport Block,4,84,5,,1,0,4,781,C-RNTI,2,0,0,11,1,6,3,,35,3,2,31,Padding,-1,1,0,3,783,C-RNTI,7,0,0,1239,1,0,1,,3,3,0,1,0,4,783,C-RNTI,0,0,0,1383,1,0,3,,59,Activation/Deactivation (1 octet),1,2,3,3,0,1,0,5,783,C-RNTI,1,0,0,1335,1,0,1,,3,3,0,1,0,6,783,C-RNTI,6,0,0,437,1,0,1,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,LTE_MAC_DL_Transport_Block,2021-11-29 14:57:47.141437,1,1,DL Transport Block,4,444,28,,1,0,9,783,C-RNTI,4,0,0,1239,1,0,1,,3,3,0,1,0,0,784,C-RNTI,3,0,0,301,1,0,1,,3,3,0,1,0,2,784,C-RNTI,7,0,0,1239,1,0,1,,3,3,0,1,0,3,784,C-RNTI,0,0,0,1383,1,0,1,,3,3,0,1,0,4,784,C-RNTI,1,0,0,1335,1,0,1,,3,3,0,1,0,5,784,C-RNTI,6,0,0,437,1,97,4,,35,3,336,31,Padding,-1,1,0,7,784,C-RNTI,4,0,0,1239,1,0,1,,3,3,0,1,0,8,784,C-RNTI,3,0,0,301,1,15,4,,35,3,282,31,Padding,-1,1,0,4,785,C-RNTI,5,0,0,1143,1,0,1,,3,3,0,1,0,4,785,C-RNTI,5,0,0,1143,1,0,1,,3,3,0,1,0,5,785,C-RNTI,2,0,0,1479,1,0,1,,3,3,0,1,0,5,785,C-RNTI,2,0,0,1479,1,0,1,,3,3,0,1,0,6,785,C-RNTI,7,0,0,1479,1,0,1,,3,3,0,1,0,7,785,C-RNTI,0,0,0,253,1,0,1,,3,3,0,1,0,8,785,C-RNTI,1,0,0,1239,1,0,1,,3,3,0,1,0,9,785,C-RNTI,6,0,0,1527,1,0,1,,3,3,0,1,0,0,786,C-RNTI,4,0,0,141,1,0,1,,3,3,0,1,0,1,786,C-RNTI,3,0,0,1431,1,0,1,,3,3,0,1,0,2,786,C-RNTI,5,0,0,1431,1,0,1,,3,3,0,1,0,3,786,C-RNTI,2,0,0,85,1,18,3,,35,3,64,31,Padding,-1,1,0,4,786,C-RNTI,7,0,0,1479,1,1346,4,,35,3,129,31,Padding,-1,1,0,4,786,C-RNTI,7,0,0,1479,1,0,1,,3,3,0,1,0,6,786,C-RNTI,0,0,0,253,1,19,4,,35,3,230,31,Padding,-1,1,0,7,786,C-RNTI,1,0,0,1239,1,0,1,,3,3,0,1,0,8,786,C-RNTI,6,0,0,1527,1,0,1,,3,3,0,1,0,9,786,C-RNTI,4,0,0,141,1,20,3,,35,3,118,31,Padding,-1,1,0,0,787,C-RNTI,3,0,0,1431,1,0,1,,3,3,0,1,0,1,787,C-RNTI,5,0,0,1431,1,0,1,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LTE_MAC_DL_Transport_Block,2021-11-29 14:58:08.841282,1,1,DL Transport Block,4,24,1,,1,0,2,910,C-RNTI,6,0,0,22,1,17,3,,35,3,2,31,Padding,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
