log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:56:17.013771,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,3,0,9625,9043
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:03:27.946346,1,1,UL Tx Statistics SubPacket,2,20,1,100,6,1,0,0,761,34
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:46.596267,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:46.895166,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:47.049077,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:47.149111,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,1,0,2957,2573
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:58:08.800228,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:58:08.907030,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,1092,752
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:58:09.007033,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,2,0,17874,14941
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:57.853089,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:58.128007,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 14:57:58.435133,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
