log_msg_len,type_id,timestamp,Version,Num Subpkts,Subpacket ID,Subpacket Version,Subpacket Size,SRB Cipher Algorithm,DRB Cipher Algorithm,Num PDUs,PDCPDL CIPH DATA,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN
788,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:16.989204,1,1,195,24,772,LTE AES,LTE AES,43,,4,AM,12 bit,3,Yes,1442,4,3,985,1799,4,AM,12 bit,3,Yes,1442,4,8,986,1800,4,AM,12 bit,3,Yes,1442,4,8,986,1801,4,AM,12 bit,3,Yes,1442,4,8,986,1802,4,AM,12 bit,3,Yes,1442,4,8,986,1803,4,AM,12 bit,3,Yes,1442,4,8,986,1804,4,AM,12 bit,3,Yes,1442,4,9,986,1805,4,AM,12 bit,3,Yes,1442,4,8,987,1806,4,AM,12 bit,3,Yes,1442,4,8,987,1807,4,AM,12 bit,3,Yes,1442,4,9,987,1808,4,AM,12 bit,3,Yes,1442,4,9,987,1809,4,AM,12 bit,3,Yes,1442,4,1,988,1810,4,AM,12 bit,3,Yes,1442,4,1,988,1811,4,AM,12 bit,3,Yes,1442,4,1,988,1812,4,AM,12 bit,3,Yes,1442,4,1,988,1813,4,AM,12 bit,3,Yes,1442,4,1,988,1814,4,AM,12 bit,3,Yes,1442,4,1,988,1815,4,AM,12 bit,3,Yes,1442,4,3,988,1816,4,AM,12 bit,3,Yes,1442,4,3,988,1817,4,AM,12 bit,3,Yes,1442,4,4,988,1818,4,AM,12 bit,3,Yes,1442,4,4,988,1819,4,AM,12 bit,3,Yes,1442,4,4,988,1820,4,AM,12 bit,3,Yes,1442,4,4,988,1821,4,AM,12 bit,3,Yes,1442,4,6,988,1822,4,AM,12 bit,3,Yes,1442,4,7,988,1823,4,AM,12 bit,3,Yes,1442,4,8,988,1824,4,AM,12 bit,3,Yes,1442,4,8,988,1825,4,AM,12 bit,3,Yes,1442,4,8,988,1826,4,AM,12 bit,3,Yes,1442,4,8,988,1827,4,AM,12 bit,3,Yes,1442,4,8,988,1828,4,AM,12 bit,3,Yes,1442,4,0,989,1829,4,AM,12 bit,3,Yes,1442,4,0,989,1830,4,AM,12 bit,3,Yes,1442,4,0,989,1831,4,AM,12 bit,3,Yes,1442,4,0,989,1832,4,AM,12 bit,3,Yes,1442,4,0,989,1833,4,AM,12 bit,3,Yes,1442,4,0,989,1834,4,AM,12 bit,3,Yes,1442,4,0,989,1835,4,AM,12 bit,3,Yes,1442,4,0,989,1836,4,AM,12 bit,3,Yes,1442,4,0,989,1837,4,AM,12 bit,3,Yes,1442,4,0,989,1838,4,AM,12 bit,3,Yes,1442,4,0,989,1839,4,AM,12 bit,3,Yes,1442,4,0,989,1840,4,AM,12 bit,3,Yes,1442,4,0,989,1841
72,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 15:03:27.944218,1,1,195,24,56,LTE AES,LTE AES,1,,33,AM,5 bit,0,Yes,7,3,2,52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:47.138996,1,1,195,24,448,LTE AES,LTE AES,24,,4,AM,12 bit,3,Yes,1442,4,2,784,314,4,AM,12 bit,3,Yes,1442,4,2,784,315,4,AM,12 bit,3,Yes,1442,4,3,784,316,4,AM,12 bit,3,Yes,1442,4,3,784,317,4,AM,12 bit,3,Yes,1442,4,4,784,318,4,AM,12 bit,3,Yes,1442,4,5,784,319,4,AM,12 bit,3,Yes,1442,4,7,784,320,4,AM,12 bit,3,Yes,1442,4,8,784,321,4,AM,12 bit,3,Yes,162,4,8,784,322,4,AM,12 bit,3,Yes,1442,4,4,785,323,4,AM,12 bit,3,Yes,1442,4,5,785,324,4,AM,12 bit,3,Yes,1442,4,5,785,325,4,AM,12 bit,3,Yes,1442,4,6,785,326,4,AM,12 bit,3,Yes,1442,4,4,786,327,4,AM,12 bit,3,Yes,1442,4,6,786,328,4,AM,12 bit,3,Yes,1442,4,7,786,329,4,AM,12 bit,3,Yes,1442,4,7,786,330,4,AM,12 bit,3,Yes,1442,4,8,786,331,4,AM,12 bit,3,Yes,1442,4,9,786,332,4,AM,12 bit,3,Yes,1442,4,0,787,333,4,AM,12 bit,3,Yes,1442,4,0,787,334,4,AM,12 bit,3,Yes,1442,4,1,787,335,4,AM,12 bit,3,Yes,1442,4,1,787,336,4,AM,12 bit,3,Yes,127,4,1,787,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:58:08.878888,1,1,195,24,92,LTE AES,LTE AES,3,,4,AM,12 bit,3,Yes,255,4,0,911,91,4,AM,12 bit,3,Yes,62,4,5,913,92,4,AM,12 bit,3,Yes,62,4,5,913,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:58:08.928909,1,1,195,24,60,LTE AES,LTE AES,1,,4,AM,12 bit,3,Yes,82,4,6,915,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:58:08.978042,1,1,195,24,176,LTE AES,LTE AES,8,,4,AM,12 bit,3,Yes,74,4,2,922,95,4,AM,12 bit,3,Yes,1442,4,2,922,96,4,AM,12 bit,3,Yes,1442,4,2,922,97,4,AM,12 bit,3,Yes,980,4,2,922,98,4,AM,12 bit,3,Yes,74,4,9,922,99,4,AM,12 bit,3,Yes,74,4,0,923,100,4,AM,12 bit,3,Yes,74,4,0,923,101,4,AM,12 bit,3,Yes,74,4,1,923,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:58:09.028912,1,1,195,24,468,LTE AES,LTE AES,25,,4,AM,12 bit,3,Yes,1442,4,4,927,103,4,AM,12 bit,3,Yes,1442,4,4,927,104,4,AM,12 bit,3,Yes,1442,4,5,927,105,4,AM,12 bit,3,Yes,1442,4,5,927,106,4,AM,12 bit,3,Yes,1442,4,6,927,107,4,AM,12 bit,3,Yes,1442,4,6,927,108,4,AM,12 bit,3,Yes,1442,4,6,927,109,4,AM,12 bit,3,Yes,1442,4,7,927,110,4,AM,12 bit,3,Yes,1442,4,8,927,111,4,AM,12 bit,3,Yes,1442,4,8,927,112,4,AM,12 bit,3,Yes,1442,4,8,927,113,4,AM,12 bit,3,Yes,1442,4,9,927,114,4,AM,12 bit,3,Yes,1442,4,9,927,115,4,AM,12 bit,3,Yes,1442,4,9,927,116,4,AM,12 bit,3,Yes,1442,4,9,927,117,4,AM,12 bit,3,Yes,1442,4,0,928,118,4,AM,12 bit,3,Yes,1442,4,1,928,119,4,AM,12 bit,3,Yes,1442,4,1,928,120,4,AM,12 bit,3,Yes,1442,4,2,928,121,4,AM,12 bit,3,Yes,1442,4,2,928,122,4,AM,12 bit,3,Yes,1442,4,3,928,123,4,AM,12 bit,3,Yes,1421,4,3,928,124,4,AM,12 bit,3,Yes,1405,4,4,928,125,4,AM,12 bit,3,Yes,74,4,0,929,126,4,AM,12 bit,3,Yes,332,4,1,929,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:59.738968,1,1,195,24,76,LTE AES,LTE AES,2,,4,AM,12 bit,3,Yes,74,4,8,1022,488,33,AM,5 bit,0,Yes,7,3,8,1022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:38.789079,1,1,195,24,604,LTE AES,LTE AES,33,,4,AM,12 bit,3,Yes,1442,4,2,95,40,4,AM,12 bit,3,Yes,1442,4,2,95,41,4,AM,12 bit,3,Yes,1442,4,3,95,42,4,AM,12 bit,3,Yes,1442,4,3,95,43,4,AM,12 bit,3,Yes,1442,4,4,95,44,4,AM,12 bit,3,Yes,1442,4,4,95,45,4,AM,12 bit,3,Yes,1442,4,5,95,46,4,AM,12 bit,3,Yes,1442,4,5,95,47,4,AM,12 bit,3,Yes,1442,4,7,95,48,4,AM,12 bit,3,Yes,1442,4,7,95,49,4,AM,12 bit,3,Yes,1442,4,8,95,50,4,AM,12 bit,3,Yes,1442,4,8,95,51,4,AM,12 bit,3,Yes,1442,4,0,96,52,4,AM,12 bit,3,Yes,1442,4,0,96,53,4,AM,12 bit,3,Yes,1442,4,0,96,54,4,AM,12 bit,3,Yes,1442,4,1,96,55,4,AM,12 bit,3,Yes,1442,4,2,96,56,4,AM,12 bit,3,Yes,1442,4,2,96,57,4,AM,12 bit,3,Yes,1442,4,2,96,58,4,AM,12 bit,3,Yes,1442,4,2,96,59,4,AM,12 bit,3,Yes,1442,4,3,96,60,4,AM,12 bit,3,Yes,1442,4,3,96,61,4,AM,12 bit,3,Yes,867,4,3,96,62,4,AM,12 bit,3,Yes,1442,4,4,96,63,4,AM,12 bit,3,Yes,1442,4,4,96,64,4,AM,12 bit,3,Yes,1442,4,7,96,65,4,AM,12 bit,3,Yes,1442,4,7,96,66,4,AM,12 bit,3,Yes,1442,4,9,96,67,4,AM,12 bit,3,Yes,1442,4,9,96,68,4,AM,12 bit,3,Yes,1442,4,1,97,69,4,AM,12 bit,3,Yes,1442,4,1,97,70,4,AM,12 bit,3,Yes,1442,4,3,97,71,4,AM,12 bit,3,Yes,1442,4,3,97,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:38.839181,1,1,195,24,144,LTE AES,LTE AES,6,,4,AM,12 bit,3,Yes,1442,4,5,97,73,4,AM,12 bit,3,Yes,1442,4,5,97,74,4,AM,12 bit,3,Yes,1442,4,7,97,75,4,AM,12 bit,3,Yes,1442,4,7,97,76,4,AM,12 bit,3,Yes,1442,4,0,98,77,4,AM,12 bit,3,Yes,115,4,0,98,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
