log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:03:27.935583,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:57:59.723120,1,1,7,
96,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:58:46.568983,1,1,17,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.656444,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.656906,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.687575,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.699011,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.726898,1,1,8,
208,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.726898,1,1,132,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.747945,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.785833,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:59:04.973084,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:59:05.932589,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:59:05.933336,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 14:59:05.997950,1,1,7,
