log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:58:46.576880,1,1,7,
100,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:58:41.929098,1,1,27,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.657885,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.665281,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.687912,1,1,8,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.697984,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:57:08.702932,1,1,7,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:57:55.981969,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.727979,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.734354,1,1,7,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.735006,1,1,13,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.747945,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:02:16.790042,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:59:05.933940,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:59:05.940558,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:59:05.979009,1,1,9,
108,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 14:56:31.893271,1,1,34,
