log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.947053,123,202,985,3,24721,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,12,Closed-loop spatial multiplexing,0,1224,16QAM,1.99609375,0,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.947053,123,202,985,3,24721,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,12,Closed-loop spatial multiplexing,0,1224,16QAM,1.99609375,0,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.954183,123,202,986,0,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff0000ff,0x0000000f0000ff00,0x00000000ff0000ff,0x0000000f0000ff00,11,Closed-loop spatial multiplexing,0,9144,64QAM,1.4140625,12216,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.954183,123,202,986,0,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff0000ff,0x0000000f0000ff00,0x00000000ff0000ff,0x0000000f0000ff00,11,Closed-loop spatial multiplexing,0,9144,64QAM,1.4140625,12216,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.961971,123,202,986,8,24721,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000f0000000000,0x0000000000000000,0x00000f0000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,2408,64QAM,1.99609375,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.961971,123,349,986,8,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ff00fffff000ff,0x0000000f00000f00,0x00ff00fffff000ff,0x0000000f00000f00,11,Closed-loop spatial multiplexing,0,20616,64QAM,1.4140625,22152,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.963110,123,349,986,9,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000ff000000,0x0000000000000000,0x00000000ff000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,2472,16QAM,1.4140625,2472,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.964226,123,202,987,0,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,1736,64QAM,1.99609375,776,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.964226,123,349,987,0,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000000f0ff0f00f0,0x0000000000000f00,0x000000f0ff0f00f0,0x0000000000000f00,11,Closed-loop spatial multiplexing,0,11064,64QAM,1.4140625,11064,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.965291,123,349,987,1,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00f0000fff000000,0x0000000f0000f000,0x00f0000fff000000,0x0000000f0000f000,11,Closed-loop spatial multiplexing,0,10296,64QAM,1.4140625,12216,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.966348,123,349,987,2,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00000000f0000000,0x0000000000000000,0x00000000f0000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1224,16QAM,1.4140625,1224,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.967036,123,202,987,3,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ff0000000000,0x0000000000000000,0x0000ff0000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,3496,64QAM,1.99609375,1608,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 14:56:16.967036,123,349,987,3,24721,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0fff0fffffff00f0,0x0000000f00000000,0x0fff0fffffff00f0,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,20616,64QAM,1.4140625,22152,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
