log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUSCH Reporting Mode,Csi Meas Set Index,Rank Index,Number of Subbands,WideBand CQI CW0,WideBand CQI CW1,SubBand Size (k),Single WB PMI,Single MB PMI,CSF Tx Mode,Carrier Index,Num CSIrs Ports
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.950610,102,7,985,MODE_APERIODIC_RM31,0,Rank 2,13,8,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.958782,102,5,986,MODE_APERIODIC_RM31,0,Rank 2,10,9,7,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.965291,102,2,987,MODE_APERIODIC_RM31,0,Rank 2,13,8,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.966348,102,3,987,MODE_APERIODIC_RM31,0,Rank 2,10,9,6,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.967880,102,5,987,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.988067,102,5,989,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.995180,102,2,990,MODE_APERIODIC_RM31,0,Rank 2,13,7,6,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:16.996276,102,3,990,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:17.004538,102,1,991,MODE_APERIODIC_RM31,0,Rank 2,13,7,6,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:17.012721,102,9,991,MODE_APERIODIC_RM31,0,Rank 2,10,9,6,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 14:56:17.019140,102,6,992,MODE_APERIODIC_RM31,0,Rank 2,13,7,6,8,11,0,TM_CL_SM,PCC,0
