log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 14:56:16.988067,1,20,,938,2,0.0,0.0,0,0,0,939,2,0.0,0.0,0,0,0,940,2,0.0,0.0,0,0,0,941,2,0.0,0.0,0,0,0,942,2,0.0,0.0,0,0,0,943,2,0.0,0.0,0,0,0,976,2,0.0,0.0,0,0,0,977,2,0.0,0.0,0,0,0,978,2,0.0,0.0,0,0,0,979,2,0.0,0.0,0,0,0,980,2,0.0,0.0,0,0,0,981,2,0.0,0.0,0,0,0,982,2,0.0,0.0,0,0,0,983,2,0.0,0.0,0,0,0,984,2,0.0,0.0,0,0,0,985,2,0.0,0.0,0,0,0,986,2,0.0,0.0,0,0,0,987,2,0.0,0.0,0,0,0,988,2,0.0,0.0,0,0,0,989,2,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 14:58:08.886854,1,20,,886,1,0.0,0.0,0,0,0,887,1,0.0,0.0,0,0,0,888,1,0.0,0.0,0,0,0,889,1,0.0,0.0,0,0,0,890,1,0.0,0.0,0,0,0,893,0,0.0,0.0,0,0,0,894,0,0.0,0.0,0,0,0,895,0,0.0,0.0,0,0,0,896,0,0.0,0.0,0,0,0,897,0,0.0,0.0,0,0,0,898,0,0.0,0.0,0,0,0,899,0,0.0,0.0,0,0,0,900,0,0.0,0.0,0,0,0,908,6,0.0,0.0,0,0,0,910,1,0.0,0.0,0,0,0,911,1,0.0,0.0,0,0,0,912,1,0.0,0.0,0,0,0,913,1,0.0,0.0,0,0,0,914,1,0.0,0.0,0,0,0,915,1,0.0,0.0,0,0,0
64,LTE_PHY_RLM_Report,2021-11-29 14:57:58.471420,1,4,,798,8,0.0,0.0,0,0,0,830,8,0.0,0.0,0,0,0,862,8,0.0,0.0,0,0,0,894,8,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LTE_PHY_RLM_Report,2021-11-29 14:57:59.671501,1,3,,926,8,0.0,0.0,0,0,0,958,8,0.0,0.0,0,0,0,990,8,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 14:56:38.532921,1,20,,45,7,0.0,0.0,0,0,0,46,7,0.0,0.0,0,0,0,48,7,0.0,0.0,0,0,0,49,7,0.0,0.0,0,0,0,50,7,0.0,0.0,0,0,0,51,7,0.0,0.0,0,0,0,52,7,0.0,0.0,0,0,0,53,7,0.0,0.0,0,0,0,54,7,0.0,0.0,0,0,0,55,7,0.0,0.0,0,0,0,56,7,0.0,0.0,0,0,0,57,7,0.0,0.0,0,0,0,64,7,0.0,0.0,0,0,0,65,7,0.0,0.0,0,0,0,66,7,0.0,0.0,0,0,0,67,7,0.0,0.0,0,0,0,68,7,0.0,0.0,0,0,0,69,7,0.0,0.0,0,0,0,70,7,0.0,0.0,0,0,0,71,7,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 14:58:06.741859,1,20,,612,6,0.0,0.0,0,0,0,644,6,0.0,0.0,0,0,0,676,6,0.0,0.0,0,0,0,677,6,0.0,0.0,0,0,0,678,6,0.0,0.0,0,0,0,679,6,0.0,0.0,0,0,0,680,6,0.0,0.0,0,0,0,681,6,0.0,0.0,0,0,0,682,6,0.0,0.0,0,0,0,683,6,0.0,0.0,0,0,0,684,6,0.0,0.0,0,0,0,685,6,0.0,0.0,0,0,0,686,6,0.0,0.0,0,0,0,687,6,0.0,0.0,0,0,0,688,6,0.0,0.0,0,0,0,689,6,0.0,0.0,0,0,0,690,6,0.0,0.0,0,0,0,691,6,0.0,0.0,0,0,0,692,6,0.0,0.0,0,0,0,700,6,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 14:58:07.821852,1,20,,733,6,0.0,0.0,0,0,0,734,6,0.0,0.0,0,0,0,735,6,0.0,0.0,0,0,0,736,6,0.0,0.0,0,0,0,737,6,0.0,0.0,0,0,0,738,6,0.0,0.0,0,0,0,739,6,0.0,0.0,0,0,0,764,6,0.0,0.0,0,0,0,766,1,0.0,0.0,0,0,0,767,1,0.0,0.0,0,0,0,768,1,0.0,0.0,0,0,0,769,1,0.0,0.0,0,0,0,770,1,0.0,0.0,0,0,0,771,1,0.0,0.0,0,0,0,772,1,0.0,0.0,0,0,0,804,6,0.0,0.0,0,0,0,805,6,0.0,0.0,0,0,0,806,6,0.0,0.0,0,0,0,807,6,0.0,0.0,0,0,0,808,6,0.0,0.0,0,0,0
136,LTE_PHY_RLM_Report,2021-11-29 14:58:10.471426,1,10,,12,6,0.0,0.0,0,0,0,14,1,0.0,0.0,0,0,0,15,1,0.0,0.0,0,0,0,16,1,0.0,0.0,0,0,0,17,1,0.0,0.0,0,0,0,18,1,0.0,0.0,0,0,0,19,1,0.0,0.0,0,0,0,20,1,0.0,0.0,0,0,0,21,1,0.0,0.0,0,0,0,22,1,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,LTE_PHY_RLM_Report,2021-11-29 14:56:26.071790,1,11,,784,2,0.0,0.0,0,0,0,816,2,0.0,0.0,0,0,0,817,7,0.0,0.0,0,0,0,818,7,0.0,0.0,0,0,0,819,7,0.0,0.0,0,0,0,820,7,0.0,0.0,0,0,0,821,7,0.0,0.0,0,0,0,822,7,0.0,0.0,0,0,0,823,7,0.0,0.0,0,0,0,824,7,0.0,0.0,0,0,0,825,7,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,LTE_PHY_RLM_Report,2021-11-29 14:58:39.671332,1,18,,827,8,0.0,0.0,0,0,0,859,8,0.0,0.0,0,0,0,891,8,0.0,0.0,0,0,0,893,2,0.0,0.0,0,0,0,894,2,0.0,0.0,0,0,0,895,2,0.0,0.0,0,0,0,896,2,0.0,0.0,0,0,0,897,2,0.0,0.0,0,0,0,898,2,0.0,0.0,0,0,0,899,2,0.0,0.0,0,0,0,900,2,0.0,0.0,0,0,0,901,2,0.0,0.0,0,0,0,916,3,0.0,0.0,0,0,0,917,3,0.0,0.0,0,0,0,918,3,0.0,0.0,0,0,0,919,3,0.0,0.0,0,0,0,920,3,0.0,0.0,0,0,0,921,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,
