log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.955813,1,1,25,36,524,66586,1,349,PCell,1,986,0,-109.4375,-114.8125,-109.4375,-12.1875,-13.375,-12.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.955813,1,1,25,36,524,977,1,202,1_SCell,1,986,0,-107.9375,-119.0,-107.9375,-15.9375,-16.5625,-15.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.966348,1,1,25,36,524,66586,1,349,PCell,1,987,0,-109.625,-115.0,-109.625,-13.75,-14.8125,-13.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.966348,1,1,25,36,524,977,1,202,1_SCell,1,987,0,-108.125,-119.1875,-108.125,-16.625,-17.5,-16.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.976281,1,1,25,36,524,66586,1,349,PCell,1,988,0,-109.1875,-114.625,-109.1875,-15.1875,-15.4375,-15.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.976281,1,1,25,36,524,977,1,202,1_SCell,1,988,0,-108.0625,-119.0,-108.0625,-13.5,-13.9375,-13.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.986334,1,1,25,36,524,66586,1,349,PCell,1,989,0,-109.0625,-114.4375,-109.0625,-15.25,-15.625,-15.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.986334,1,1,25,36,524,977,1,202,1_SCell,1,989,0,-107.6875,-118.625,-107.6875,-17.3125,-17.75,-17.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.996276,1,1,25,36,524,66586,1,349,PCell,1,990,0,-109.0,-114.4375,-109.0,-14.3125,-14.0625,-14.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 14:56:16.996276,1,1,25,36,524,977,1,202,1_SCell,1,990,0,-107.625,-118.375,-107.625,-12.0,-14.25,-12.0
