log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
33,LTE_RRC_OTA_Packet,2021-11-29 15:03:27.935583,20,14,48,1,202,977,49986,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 15:03:28.242578,20,14,48,0,202,977,1321,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 14:57:59.723120,20,14,48,1,349,66586,65512,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 14:56:22.624009,20,14,48,0,349,66586,8457,5,0,7,
43,LTE_RRC_OTA_Packet,2021-11-29 14:58:46.568983,20,14,48,1,349,66586,58548,7,0,12,
33,LTE_RRC_OTA_Packet,2021-11-29 14:58:46.576880,20,14,48,1,349,66586,0,9,0,2,
53,LTE_RRC_OTA_Packet,2021-11-29 14:58:41.929098,20,14,48,1,349,66586,0,9,0,22,
37,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.559070,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.605230,20,14,48,0,349,66586,112,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.609110,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.656444,20,14,48,1,349,66586,32961,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.657885,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.657885,20,14,48,1,349,66586,49345,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.664542,20,14,48,1,349,66586,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.687575,20,14,48,2,349,66586,49394,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.687912,20,14,48,1,349,66586,0,9,0,3,
35,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.697984,20,14,48,1,349,66586,0,9,0,4,
39,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.699011,20,14,48,1,349,66586,49412,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 14:57:08.702932,20,14,48,1,349,66586,0,9,0,2,
56,LTE_RRC_OTA_Packet,2021-11-29 14:57:55.981969,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 14:57:56.203752,20,14,48,0,349,66586,10729,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 15:02:22.202675,20,14,48,0,202,977,10345,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 15:02:23.482652,20,14,48,0,202,977,12393,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:03:19.282086,20,14,48,0,202,977,3369,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.568405,20,14,48,0,202,977,1321,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.646294,20,14,48,0,202,977,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.690859,20,14,48,0,202,977,1527,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.695122,20,14,48,1,202,977,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.726898,20,14,48,1,202,977,34355,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.727979,20,14,48,1,202,977,0,9,0,2,
158,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.727979,20,14,48,1,202,977,50739,7,0,127,
33,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.734354,20,14,48,1,202,977,0,9,0,2,
39,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.735006,20,14,48,1,202,977,0,9,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.747945,20,14,48,2,202,977,50772,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.747945,20,14,48,1,202,977,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.785833,20,14,48,1,202,977,50834,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:02:16.790042,20,14,48,1,202,977,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 14:56:54.623993,20,14,48,0,349,66586,10505,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 14:59:58.923043,20,14,48,0,349,66586,10473,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:02:39.602525,20,14,48,0,202,977,5417,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 14:59:04.973084,20,14,48,1,349,66586,55224,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.843936,20,14,48,0,349,66586,7465,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.844251,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.884639,20,14,48,0,349,66586,7536,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.889276,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.932589,20,14,48,1,349,66586,40376,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.933940,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.933940,20,14,48,1,349,66586,56760,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.940558,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.978102,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 14:59:05.997950,20,14,48,2,349,66586,56867,7,0,2,
60,LTE_RRC_OTA_Packet,2021-11-29 14:56:31.893271,20,14,48,1,349,66586,0,9,0,29,
38,LTE_RRC_OTA_Packet,2021-11-29 14:58:21.653777,20,14,48,0,349,66586,2297,5,0,7,
