log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUCCH Reporting Mode,PUCCH Report Type,Number of Subbands,Alt Cqi Table Data,CQI CW0,CQI CW1,Wideband PMI,Carrier Index,CSF Tx Mode,Num Csirs Ports,Csi Meas Set Index,Rank Index
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:21.316852,102,2,679,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:21.316852,102,2,679,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:21.636852,102,2,711,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:21.636852,102,2,711,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:21.956854,102,2,743,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:21.956854,102,2,743,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:22.276850,102,2,775,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,9,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:22.276850,102,2,775,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:22.602920,102,8,807,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,6,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:22.602920,102,8,807,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:22.916855,102,2,839,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,4,3,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:22.916855,102,2,839,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:23.236847,102,2,871,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,10,0,9,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:23.236847,102,2,871,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:23.556850,102,2,903,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:23.556850,102,2,903,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:23.876842,102,2,935,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,11,0,9,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:23.876842,102,2,935,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 23:19:24.196854,102,2,967,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,4,4,11,PCC,TM_CL_SM,0,0,Rank 1
