log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:20.989429,1,1,25,36,524,66586,1,349,PCell,1,646,2,-115.0,-118.25,-115.0,-10.8125,-11.625,-10.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:21.309476,1,1,25,36,524,66586,1,349,PCell,1,678,2,-114.625,-118.25,-114.625,-13.4375,-14.0625,-13.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:21.629509,1,1,25,36,524,66586,1,349,PCell,1,710,2,-114.6875,-118.375,-114.6875,-12.125,-12.3125,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:21.949476,1,1,25,36,524,66586,1,349,PCell,1,742,2,-114.875,-118.5625,-114.875,-12.3125,-12.875,-12.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:22.269423,1,1,25,36,524,66586,1,349,PCell,1,774,2,-114.875,-118.625,-114.875,-15.5625,-15.5,-15.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:22.589503,1,1,25,36,524,66586,1,349,PCell,1,806,2,-115.1875,-114.5,-114.5,-11.8125,-11.3125,-11.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:22.909497,1,1,25,36,524,66586,1,349,PCell,1,838,2,-115.5625,-114.625,-114.625,-14.9375,-14.8125,-14.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:23.229269,1,1,25,36,524,66586,1,349,PCell,1,870,2,-115.75,-114.625,-114.625,-15.5,-16.0625,-15.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:23.549383,1,1,25,36,524,66586,1,349,PCell,1,902,2,-116.0,-114.375,-114.375,-12.25,-12.0,-12.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:23.869552,1,1,25,36,524,66586,1,349,PCell,1,934,2,-113.625,-114.25,-113.625,-11.0,-11.0625,-11.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:24.189480,1,1,25,36,524,66586,1,349,PCell,1,966,2,-114.0,-114.25,-114.0,-16.875,-16.75,-16.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:24.509531,1,1,25,36,524,66586,1,349,PCell,1,998,2,-113.6875,-114.5625,-113.6875,-13.625,-13.75,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:24.829384,1,1,25,36,524,66586,1,349,PCell,1,6,2,-113.8125,-115.1875,-113.8125,-12.875,-13.625,-12.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.149363,1,1,25,36,524,66586,1,349,PCell,1,38,2,-113.8125,-115.125,-113.8125,-12.5,-12.9375,-12.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.902160,1,1,25,36,524,66586,1,349,PCell,1,113,5,-114.8125,-115.5,-114.8125,-12.125,-11.9375,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.912147,1,1,25,36,524,66586,1,349,PCell,1,114,5,-114.875,-115.5625,-114.875,-15.75,-14.6875,-15.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.922165,1,1,25,36,524,66586,1,349,PCell,1,115,5,-114.6875,-115.4375,-114.6875,-15.125,-13.625,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.932155,1,1,25,36,524,66586,1,349,PCell,1,116,5,-114.5,-115.375,-114.5,-14.5,-14.4375,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.941850,1,1,25,36,524,66586,1,349,PCell,1,117,5,-114.4375,-115.25,-114.4375,-14.25,-14.75,-14.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.952154,1,1,25,36,524,66586,1,349,PCell,1,118,5,-114.25,-115.125,-114.25,-13.9375,-14.0,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.962157,1,1,25,36,524,66586,1,349,PCell,1,119,5,-114.1875,-115.0,-114.1875,-12.5,-11.875,-12.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:25.972154,1,1,25,36,524,66586,1,349,PCell,1,120,5,-114.5,-115.25,-114.5,-13.5,-13.625,-13.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.055779,1,1,25,36,524,66586,1,349,PCell,1,128,9,-113.4375,-114.25,-113.4375,-11.5625,-12.0,-11.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.090409,1,1,25,36,524,66586,1,349,PCell,1,132,3,-113.4375,-114.1875,-113.4375,-10.8125,-10.8125,-10.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.100367,1,1,25,36,524,66586,1,349,PCell,1,133,3,-113.625,-114.3125,-113.625,-11.5,-11.375,-11.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.110355,1,1,25,36,524,66586,1,349,PCell,1,134,3,-113.625,-114.25,-113.625,-14.75,-13.875,-14.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.120368,1,1,25,36,524,66586,1,349,PCell,1,135,3,-113.5,-114.125,-113.5,-12.375,-12.125,-12.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.130359,1,1,25,36,524,66586,1,349,PCell,1,136,3,-113.6875,-114.3125,-113.6875,-11.125,-11.0,-11.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.140365,1,1,25,36,524,66586,1,349,PCell,1,137,3,-114.0,-114.5,-114.0,-11.75,-12.0625,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.150348,1,1,25,36,524,66586,1,349,PCell,1,138,3,-114.0,-114.625,-114.0,-13.375,-12.875,-13.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.160360,1,1,25,36,524,66586,1,349,PCell,1,139,3,-113.9375,-114.5,-113.9375,-14.5,-13.5625,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.170353,1,1,25,36,524,66586,1,349,PCell,1,140,3,-113.875,-114.5625,-113.875,-11.3125,-10.5625,-11.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.180349,1,1,25,36,524,66586,1,349,PCell,1,141,3,-113.8125,-114.4375,-113.8125,-14.0,-13.125,-14.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.250348,1,1,25,36,524,66586,1,349,PCell,1,148,3,-114.1875,-114.875,-114.1875,-10.9375,-10.5625,-10.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.260361,1,1,25,36,524,66586,1,349,PCell,1,149,3,-114.4375,-115.125,-114.4375,-11.8125,-11.5625,-11.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.270354,1,1,25,36,524,66586,1,349,PCell,1,150,3,-114.625,-115.3125,-114.625,-11.625,-10.6875,-11.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.280358,1,1,25,36,524,66586,1,349,PCell,1,151,3,-114.75,-115.5,-114.75,-13.3125,-12.375,-13.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.290423,1,1,25,36,524,66586,1,349,PCell,1,152,3,-115.0,-115.625,-115.0,-12.25,-11.625,-12.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.300280,1,1,25,36,524,66586,1,349,PCell,1,153,3,-114.875,-115.75,-114.875,-12.4375,-11.1875,-12.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.310353,1,1,25,36,524,66586,1,349,PCell,1,154,3,-114.875,-115.6875,-114.875,-14.4375,-14.0625,-14.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.320343,1,1,25,36,524,66586,1,349,PCell,1,155,3,-114.75,-115.5,-114.75,-11.875,-11.3125,-11.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.377540,1,1,25,36,524,66586,1,349,PCell,1,161,0,-114.1875,-115.3125,-114.1875,-13.3125,-11.625,-13.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.410408,1,1,25,36,524,66586,1,349,PCell,1,164,3,-114.3125,-115.375,-114.3125,-11.3125,-10.8125,-11.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.420378,1,1,25,36,524,66586,1,349,PCell,1,165,3,-114.4375,-115.4375,-114.4375,-11.0625,-10.6875,-11.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.430350,1,1,25,36,524,66586,1,349,PCell,1,166,3,-115.0625,-115.4375,-115.0625,-11.25,-11.1875,-11.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.440361,1,1,25,36,524,66586,1,349,PCell,1,167,3,-115.5,-115.3125,-115.3125,-12.5,-12.8125,-12.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.450039,1,1,25,36,524,66586,1,349,PCell,1,168,3,-115.9375,-115.25,-115.25,-14.5,-14.625,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.460361,1,1,25,36,524,66586,1,349,PCell,1,169,3,-116.25,-115.3125,-115.3125,-11.5,-11.6875,-11.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.470350,1,1,25,36,524,66586,1,349,PCell,1,170,3,-116.4375,-115.25,-115.25,-14.75,-14.0,-14.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.480326,1,1,25,36,524,66586,1,349,PCell,1,171,3,-116.375,-115.0,-115.0,-13.375,-12.6875,-13.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.537539,1,1,25,36,524,66586,1,349,PCell,1,177,0,-116.625,-115.3125,-115.3125,-11.6875,-11.5625,-11.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:26.937644,1,1,25,36,524,66586,1,349,PCell,1,217,0,-113.8125,-114.75,-113.8125,-15.0,-14.125,-15.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.258272,1,1,25,36,524,66586,1,349,PCell,1,249,1,-113.5,-114.375,-113.5,-15.0,-14.25,-15.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.290401,1,1,25,36,524,66586,1,349,PCell,1,252,3,-113.8125,-114.5625,-113.8125,-13.1875,-13.125,-13.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.700360,1,1,25,36,524,66586,1,349,PCell,1,293,3,-118.0625,-115.625,-115.625,-15.4375,-12.25,-15.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.710340,1,1,25,36,524,66586,1,349,PCell,1,294,3,-118.1875,-115.6875,-115.6875,-13.375,-11.0,-13.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.720359,1,1,25,36,524,66586,1,349,PCell,1,295,3,-118.125,-115.625,-115.625,-14.125,-12.25,-14.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.730388,1,1,25,36,524,66586,1,349,PCell,1,296,3,-118.3125,-115.75,-115.75,-14.5,-12.125,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.740390,1,1,25,36,524,66586,1,349,PCell,1,297,3,-117.75,-115.5625,-115.5625,-15.125,-13.1875,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.750343,1,1,25,36,524,66586,1,349,PCell,1,298,3,-117.625,-115.5,-115.5,-13.625,-11.875,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.760352,1,1,25,36,524,66586,1,349,PCell,1,299,3,-117.4375,-115.25,-115.25,-16.5625,-15.5,-16.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.770339,1,1,25,36,524,66586,1,349,PCell,1,300,3,-117.125,-114.9375,-114.9375,-17.125,-14.5625,-17.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.779379,1,1,25,36,524,66586,1,349,PCell,1,301,3,-116.875,-114.8125,-114.8125,-15.875,-14.375,-15.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.790035,1,1,25,36,524,66586,1,349,PCell,1,302,3,-116.8125,-114.75,-114.75,-13.5625,-11.8125,-13.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.800351,1,1,25,36,524,66586,1,349,PCell,1,303,3,-116.75,-114.625,-114.625,-15.4375,-14.4375,-15.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.810345,1,1,25,36,524,66586,1,349,PCell,1,304,3,-116.5625,-114.4375,-114.4375,-16.5625,-14.25,-16.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.820358,1,1,25,36,524,66586,1,349,PCell,1,305,3,-116.4375,-114.3125,-114.3125,-14.8125,-13.375,-14.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.830336,1,1,25,36,524,66586,1,349,PCell,1,306,3,-116.6875,-114.5625,-114.5625,-14.125,-13.5625,-14.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.840357,1,1,25,36,524,66586,1,349,PCell,1,307,3,-116.625,-114.4375,-114.4375,-15.8125,-14.8125,-15.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.850343,1,1,25,36,524,66586,1,349,PCell,1,308,3,-116.5625,-114.375,-114.375,-15.5625,-14.5625,-15.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.860354,1,1,25,36,524,66586,1,349,PCell,1,309,3,-116.5,-114.3125,-114.3125,-15.0,-13.875,-15.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.870343,1,1,25,36,524,66586,1,349,PCell,1,310,3,-116.8125,-114.625,-114.625,-13.625,-13.0625,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 23:19:27.880353,1,1,25,36,524,66586,1,349,PCell,1,311,3,-116.9375,-114.75,-114.75,-13.375,-10.8125,-13.375
