log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
38,LTE_RRC_OTA_Packet,2021-11-29 23:19:22.275909,20,14,48,0,349,66586,12393,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 23:19:25.150073,20,14,48,1,349,66586,49763,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 23:19:28.865480,20,14,48,0,349,66586,6553,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 23:19:31.425383,20,14,48,0,349,66586,10649,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 23:19:32.705403,20,14,48,0,349,66586,12697,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 23:19:33.985463,20,14,48,0,349,66586,14745,5,0,7,
57,LTE_RRC_OTA_Packet,2021-11-29 23:19:35.265366,20,14,48,0,349,66586,409,5,0,26,
53,LTE_RRC_OTA_Packet,2021-11-29 23:19:36.214289,20,14,48,1,349,66586,0,9,0,22,
56,LTE_RRC_OTA_Packet,2021-11-29 23:19:36.247820,20,14,48,1,349,66586,51137,7,0,25,
33,LTE_RRC_OTA_Packet,2021-11-29 23:19:36.252117,20,14,48,1,349,66586,0,9,0,2,
49,LTE_RRC_OTA_Packet,2021-11-29 23:21:23.995209,20,14,48,0,202,977,10537,5,0,18,
101,LTE_RRC_OTA_Packet,2021-11-29 23:21:24.734542,20,14,48,1,202,977,60872,7,0,70,
33,LTE_RRC_OTA_Packet,2021-11-29 23:21:24.747180,20,14,48,1,202,977,0,9,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 23:21:25.275205,20,14,48,0,202,977,12585,5,0,15,
46,LTE_RRC_OTA_Packet,2021-11-29 23:21:26.555147,20,14,48,0,202,977,14633,5,0,15,
50,LTE_RRC_OTA_Packet,2021-11-29 23:21:32.776997,20,14,48,1,202,977,0,9,0,19,
46,LTE_RRC_OTA_Packet,2021-11-29 23:22:07.515020,20,14,48,0,202,977,14633,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 23:22:10.075074,20,14,48,0,202,977,2345,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 23:22:11.355005,20,14,48,0,202,977,4393,5,0,7,
60,LTE_RRC_OTA_Packet,2021-11-29 23:22:13.905079,20,14,48,1,202,977,0,9,0,29,
38,LTE_RRC_OTA_Packet,2021-11-29 23:22:15.194653,20,14,48,0,202,977,10537,5,0,7,
