log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:21.486635,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,87,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:21.648391,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:21.899433,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:21.999087,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:55.281595,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,0,0,1358,1206
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:55.381639,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,578,480
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:55.518284,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:14.428891,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:14.528901,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,113,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:14.657633,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,55,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:27.188383,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:27.359522,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:27.625516,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:27.829498,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:28.014521,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:28.136587,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,1471,975
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:49.856635,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,1,0,85,23
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:49.967883,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,28,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:50.087699,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:40.971824,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,2,0,13499,13088
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:41.071762,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,3,0,28240,28170
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:20.886639,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,0,0,754,513
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:20.986635,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,1637,1148
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:21.086635,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,688,541
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:03.854511,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,0,0,555,399
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:03.954511,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:16.996305,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,3,0,0,499,253
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:17.096360,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,1616,1023
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:17.196635,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,1,0,4363,3667
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:26.111571,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,133,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:26.248250,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:26.415537,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:26.678375,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:26.916574,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:20:27.060137,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:22:13.359520,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,161,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:22:13.464442,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,87,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:22:13.591565,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:22:13.691651,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:37.856640,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,623,444
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 19:21:37.956651,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,1,0,322,261
