log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:20:21.905927,123,349,335,3,43861,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x00000000000f0000,0x0000000000000000,0x00000000000f0000,6,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.275809,123,349,456,4,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ffffffffffff,0x0000000fffffff00,0x0000ffffffffffff,0x0000000fffffff00,11,Closed-loop spatial multiplexing,0,35160,64QAM,1.4140625,24496,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.275809,123,349,456,4,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ffffffffffff,0x0000000fffffff00,0x0000ffffffffffff,0x0000000fffffff00,11,Closed-loop spatial multiplexing,0,35160,64QAM,1.4140625,24496,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.277716,123,202,456,5,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00f0fff000f0ff00,0x0000000000000000,0x00f0fff000f0ff00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,10296,64QAM,1.99609375,7224,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.277716,123,349,456,5,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00fff0f0fff0f0,0x0000000ff0ff00ff,0xff00fff0f0fff0f0,0x0000000ff0ff00ff,11,Closed-loop spatial multiplexing,0,25456,64QAM,1.4140625,18336,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.278208,123,202,456,6,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ffff0000000000,0x0000000000000000,0x00ffff0000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,7480,64QAM,1.99609375,4136,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.278981,123,202,456,7,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ffffff000fff00,0x0000000000000000,0x00ffffff000fff00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,14112,64QAM,1.99609375,9144,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.278981,123,349,456,7,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ffff00ffffff,0x00000000ff0f0000,0x0000ffff00ffffff,0x00000000ff0f0000,11,Closed-loop spatial multiplexing,0,22152,64QAM,1.4140625,16992,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.280614,123,202,456,8,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ffffff000fff00,0x0000000000000700,0x00ffffff000fff00,0x0000000000000700,10,Closed-loop spatial multiplexing,0,14112,64QAM,1.99609375,9912,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.280614,123,349,456,8,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,0x0000000000000000,11,Closed-loop spatial multiplexing,0,2408,64QAM,1.4140625,1736,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.281595,123,202,456,9,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00fffffff000ff00,0x0000000000000000,0x00fffffff000ff00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,14112,64QAM,1.99609375,10296,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.281595,123,202,456,9,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00fffffff000ff00,0x0000000000000000,0x00fffffff000ff00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,14112,64QAM,1.99609375,10296,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.282635,123,349,457,0,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00fff000ffffff,0x0000000f00000000,0xff00fff000ffffff,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,20616,64QAM,1.4140625,17568,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.282635,123,349,457,0,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00fff000ffffff,0x0000000f00000000,0xff00fff000ffffff,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,20616,64QAM,1.4140625,17568,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.282932,123,202,457,1,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xfff00fff00ffffff,0x0000000f00000000,0xfff00fff00ffffff,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,12576,64QAM,1.99609375,9144,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.282932,123,202,457,1,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xfff00fff00ffffff,0x0000000f00000000,0xfff00fff00ffffff,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,12576,64QAM,1.99609375,9144,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.283997,123,202,457,2,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xf000fff00fffffff,0x0000000f00000000,0xf000fff00fffffff,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,22152,64QAM,1.4140625,17568,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.283997,123,202,457,2,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xf000fff00fffffff,0x0000000f00000000,0xf000fff00fffffff,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,22152,64QAM,1.4140625,17568,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.285514,123,202,457,3,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ffffff0000ff00,0x0000000000000000,0x00ffffff0000ff00,0x0000000000000000,10,Closed-loop spatial multiplexing,0,12576,64QAM,1.99609375,9144,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.285514,123,349,457,3,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00fff0f000ff00,0x0000000f00000000,0xff00fff0f000ff00,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,14112,64QAM,1.4140625,11832,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.285781,123,202,457,4,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ff0000000000,0x0000000000000000,0x0000ff0000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,3112,64QAM,1.99609375,2856,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.285781,123,349,457,4,43861,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000fffff0,0x0000000f00000000,0x0000000000fffff0,0x0000000f00000000,11,Closed-loop spatial multiplexing,0,9528,64QAM,1.4140625,7224,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.286885,123,349,457,5,43861,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000000000f0000,0x0000000000000000,0x00000000000f0000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:21:55.337663,123,349,462,5,43861,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,0x0000000000000000,11,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:20:28.102983,123,349,955,0,43861,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x0000000000000000,0x0000000000f00000,0x0000000000000000,0x0000000000f00000,13,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:20:28.115228,123,349,956,2,43861,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x0000000000000000,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,13,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 19:20:28.117025,123,349,956,4,43861,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x0000000000000000,0x000000000000f000,0x0000000000000000,0x000000000000f000,13,Closed-loop spatial multiplexing,0,1000,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
