log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUSCH Reporting Mode,Csi Meas Set Index,Rank Index,Number of Subbands,WideBand CQI CW0,WideBand CQI CW1,SubBand Size (k),Single WB PMI,Single MB PMI,CSF Tx Mode,Carrier Index,Num CSIrs Ports
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:55.288052,102,6,457,MODE_APERIODIC_RM31,0,Rank 2,13,8,6,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:55.298047,102,6,458,MODE_APERIODIC_RM31,0,Rank 2,10,9,7,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:55.305171,102,3,459,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:55.313049,102,1,460,MODE_APERIODIC_RM31,0,Rank 2,10,9,7,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:14.468209,102,6,471,MODE_APERIODIC_RM31,0,Rank 2,10,8,7,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:20:28.095097,102,3,954,MODE_APERIODIC_RM31,0,Rank 2,13,8,6,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:20:28.128194,102,6,957,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:20:28.136587,102,4,958,MODE_APERIODIC_RM31,0,Rank 2,13,9,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:20:49.763054,102,1,49,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:20:50.068320,102,6,79,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.957059,102,5,48,MODE_APERIODIC_RM31,0,Rank 1,13,11,0,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.960241,102,8,48,MODE_APERIODIC_RM31,0,Rank 1,13,11,0,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.963123,102,1,49,MODE_APERIODIC_RM31,0,Rank 2,13,7,5,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.966305,102,4,49,MODE_APERIODIC_RM31,0,Rank 1,13,11,0,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.969189,102,7,49,MODE_APERIODIC_RM31,0,Rank 2,13,8,5,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.971824,102,0,50,MODE_APERIODIC_RM31,0,Rank 1,13,11,0,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.975252,102,3,50,MODE_APERIODIC_RM31,0,Rank 2,13,7,5,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.978124,102,6,50,MODE_APERIODIC_RM31,0,Rank 2,13,7,5,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.981310,102,9,50,MODE_APERIODIC_RM31,0,Rank 2,13,8,5,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.984194,102,2,51,MODE_APERIODIC_RM31,0,Rank 2,13,7,5,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:40.998120,102,6,52,MODE_APERIODIC_RM31,0,Rank 2,13,9,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.005243,102,3,53,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.008093,102,6,53,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.011311,102,9,53,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.014181,102,2,54,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.017057,102,5,54,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.026312,102,4,55,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.033085,102,1,56,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.036303,102,4,56,MODE_APERIODIC_RM31,0,Rank 2,13,9,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.039148,102,7,56,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 19:21:41.042061,102,0,57,MODE_APERIODIC_RM31,0,Rank 2,13,9,7,8,11,0,TM_CL_SM,PCC,0
