log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.389062,1,1,25,36,524,977,1,202,1_SCell,1,283,4,-117.4375,-115.75,-115.75,-14.75,-14.5,-14.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.435211,1,1,25,36,524,66586,1,349,PCell,1,288,0,-113.625,-111.875,-111.875,-9.0625,-9.0625,-9.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.435211,1,1,25,36,524,977,1,202,1_SCell,1,288,0,-117.75,-116.125,-116.125,-11.625,-11.0,-11.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.459166,1,1,25,36,524,66586,1,349,PCell,1,290,4,-113.625,-111.75,-111.75,-11.75,-12.1875,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.459166,1,1,25,36,524,977,1,202,1_SCell,1,290,4,-117.875,-116.1875,-116.1875,-11.25,-10.0625,-11.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.469198,1,1,25,36,524,66586,1,349,PCell,1,291,4,-113.5,-111.625,-111.625,-11.0625,-10.5625,-11.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.469198,1,1,25,36,524,977,1,202,1_SCell,1,291,4,-117.875,-116.25,-116.25,-14.125,-13.5,-14.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.479186,1,1,25,36,524,66586,1,349,PCell,1,292,4,-113.625,-111.875,-111.875,-14.3125,-14.3125,-14.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.479186,1,1,25,36,524,977,1,202,1_SCell,1,292,4,-117.8125,-116.125,-116.125,-11.5625,-10.75,-11.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.489182,1,1,25,36,524,66586,1,349,PCell,1,293,4,-113.6875,-111.9375,-111.9375,-13.9375,-13.5625,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.489182,1,1,25,36,524,977,1,202,1_SCell,1,293,4,-117.75,-116.125,-116.125,-11.625,-10.625,-11.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.499228,1,1,25,36,524,66586,1,349,PCell,1,294,4,-113.3125,-111.3125,-111.3125,-14.25,-14.4375,-14.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.499228,1,1,25,36,524,977,1,202,1_SCell,1,294,4,-117.8125,-116.125,-116.125,-11.6875,-10.375,-11.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.509180,1,1,25,36,524,66586,1,349,PCell,1,295,4,-113.0625,-111.25,-111.25,-13.8125,-13.5625,-13.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.509180,1,1,25,36,524,977,1,202,1_SCell,1,295,4,-117.5625,-115.75,-115.75,-16.625,-16.3125,-16.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.519180,1,1,25,36,524,66586,1,349,PCell,1,296,4,-112.6875,-111.1875,-111.1875,-12.875,-11.9375,-12.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.519180,1,1,25,36,524,977,1,202,1_SCell,1,296,4,-116.875,-115.1875,-115.1875,-15.625,-15.0,-15.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.529080,1,1,25,36,524,66586,1,349,PCell,1,297,4,-112.8125,-111.4375,-111.4375,-9.6875,-9.5625,-9.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.529080,1,1,25,36,524,977,1,202,1_SCell,1,297,4,-116.75,-115.0,-115.0,-10.8125,-9.5,-10.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.586389,1,1,25,36,524,66586,1,349,PCell,1,303,1,-113.5625,-112.125,-112.125,-9.6875,-10.3125,-9.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 19:20:21.586389,1,1,25,36,524,977,1,202,1_SCell,1,303,1,-117.5,-115.9375,-115.9375,-10.9375,-10.125,-10.9375
