log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLC PDCP Q Full Count,RLCDL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst
1080,LTE_RLC_DL_Stats,2021-11-29 19:20:21.389062,1,1,66,3,1064,4,0,0,,33,AM,0,4,247,7,14,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,4,247,7,14,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,647,628401,81,162,0,0,0,0,0,0,0,0,0,0,649,626440,0,79,0,0,0,4,0,647,628401,81,162,0,0,0,0,0,0,0,0,0,0,649,626440,0,79,0,0,0,4,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:21:55.429054,1,1,66,3,1064,4,0,0,,33,AM,0,6,321,18,36,0,0,0,0,0,0,0,0,0,0,6,309,0,5,0,0,0,0,0,6,321,18,36,0,0,0,0,0,0,0,0,0,0,6,309,0,5,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,7654,10276173,496,992,0,0,0,0,0,0,0,0,0,0,7985,10249112,0,426,0,0,0,78,0,7654,10276173,496,992,0,0,0,0,0,0,0,0,0,0,7985,10249112,0,426,0,0,0,78,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:20:17.054148,1,1,66,3,1064,4,0,0,,33,AM,0,4,247,7,14,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,4,247,7,14,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,591,607197,55,110,0,0,0,0,0,0,0,0,0,0,600,605374,0,54,0,0,0,3,0,591,607197,55,110,0,0,0,0,0,0,0,0,0,0,600,605374,0,54,0,0,0,3,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:20:27.059148,1,1,66,3,1064,4,0,0,,33,AM,0,4,247,8,16,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,4,247,8,16,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,1293,1144841,137,274,0,0,0,0,0,0,0,0,0,0,1149,1141040,0,129,0,0,0,7,0,1293,1144841,137,274,0,0,0,0,0,0,0,0,0,0,1149,1141040,0,129,0,0,0,7,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:22:13.619155,1,1,66,3,1064,4,0,0,,33,AM,0,6,321,20,40,0,0,0,0,0,0,0,0,0,0,6,309,0,5,0,0,0,0,0,6,321,20,40,0,0,0,0,0,0,0,0,0,0,6,309,0,5,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,9838,16429136,582,1164,0,0,0,0,0,0,0,0,0,0,12321,16390974,0,498,0,0,0,108,0,9838,16429136,582,1164,0,0,0,0,0,0,0,0,0,0,12321,16390974,0,498,0,0,0,108,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:21:11.174079,1,1,66,3,1064,4,0,0,,33,AM,0,4,247,12,24,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,4,247,12,24,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,3389,3252894,259,518,0,0,0,0,0,0,0,0,0,0,2754,3242367,0,225,0,0,0,30,0,3389,3252894,259,518,0,0,0,0,0,0,0,0,0,0,2754,3242367,0,225,0,0,0,30,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:20:07.469588,1,1,66,3,1064,4,0,0,,33,AM,0,3,174,5,10,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,3,174,5,10,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,AM,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,1,86,0,1,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,1,86,0,1,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:21:43.429146,1,1,66,3,1064,4,0,0,,33,AM,0,4,247,15,30,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,4,247,15,30,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,6725,8615530,440,880,0,0,0,0,0,0,0,0,0,0,6763,8592150,0,381,0,0,0,72,0,6725,8615530,440,880,0,0,0,0,0,0,0,0,0,0,6763,8592150,0,381,0,0,0,72,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:21:12.839154,1,1,66,3,1064,4,0,0,,33,AM,0,4,247,12,24,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,4,247,12,24,0,0,0,0,0,0,0,0,0,0,4,239,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,3393,3253534,262,524,0,0,0,0,0,0,0,0,0,0,2759,3242997,0,229,0,0,0,30,0,3393,3253534,262,524,0,0,0,0,0,0,0,0,0,0,2759,3242997,0,229,0,0,0,30,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 19:22:06.889147,1,1,66,3,1064,4,0,0,,33,AM,0,6,321,19,38,0,0,0,0,0,0,0,0,0,0,6,309,0,5,0,0,0,0,0,6,321,19,38,0,0,0,0,0,0,0,0,0,0,6,309,0,5,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,9813,16426118,572,1144,0,0,0,0,0,0,0,0,0,0,12292,16388015,0,487,0,0,0,108,0,9813,16426118,572,1144,0,0,0,0,0,0,0,0,0,0,12292,16388015,0,487,0,0,0,108,0,5,AM,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0,24,11422,11,22,0,0,0,0,0,0,0,0,0,0,28,11354,0,13,0,0,0,0,0
