log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
46,LTE_RRC_OTA_Packet,2021-11-29 19:20:26.393004,20,14,48,0,349,66586,12537,5,0,15,
46,LTE_RRC_OTA_Packet,2021-11-29 19:21:38.072754,20,14,48,0,349,66586,12537,5,0,15,
46,LTE_RRC_OTA_Packet,2021-11-29 19:21:11.191841,20,14,48,0,349,66586,2297,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 19:20:08.473199,20,14,48,0,349,66586,249,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:20:43.032986,20,14,48,0,349,66586,6393,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:20:00.188072,20,14,48,0,349,66586,3369,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 19:20:02.748089,20,14,48,0,349,66586,7465,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.511887,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.555548,20,14,48,0,349,66586,10369,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.557980,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.598060,20,14,48,1,349,66586,10436,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.599083,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.599083,20,14,48,1,349,66586,59589,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.605077,20,14,48,1,349,66586,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.627635,20,14,48,2,349,66586,59635,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.627635,20,14,48,1,349,66586,0,9,0,3,
35,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.639190,20,14,48,1,349,66586,0,9,0,4,
39,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.647055,20,14,48,1,349,66586,59667,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 19:20:04.651528,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 19:21:41.912721,20,14,48,0,349,66586,2297,5,0,7,
56,LTE_RRC_OTA_Packet,2021-11-29 19:21:47.982948,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 19:20:45.592989,20,14,48,0,349,66586,10489,5,0,7,
56,LTE_RRC_OTA_Packet,2021-11-29 19:20:45.903233,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 19:22:07.512614,20,14,48,0,349,66586,10489,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 19:22:01.112683,20,14,48,0,349,66586,249,5,0,15,
