log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUCCH Reporting Mode,PUCCH Report Type,Number of Subbands,Alt Cqi Table Data,CQI CW0,CQI CW1,Wideband PMI,Carrier Index,CSF Tx Mode,Num Csirs Ports,Csi Meas Set Index,Rank Index
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:37.927139,102,0,16,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:37.928196,102,1,16,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,5,2,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:38.007135,102,0,24,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:38.008194,102,1,24,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,6,6,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:38.086831,102,0,32,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:38.088192,102,1,32,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:38.167140,102,0,40,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:08:38.168196,102,1,40,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,6,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:10:08.535791,102,9,884,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:10:08.535791,102,9,884,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:10:08.857903,102,1,917,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 18:10:08.857903,102,1,917,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 1
