log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 18:08:38.056257,1,20,,9,6,0.0,0.0,0,0,0,10,6,0.0,0.0,0,0,0,11,6,0.0,0.0,0,0,0,12,6,0.0,0.0,0,0,0,13,6,0.0,0.0,0,0,0,14,6,0.0,0.0,0,0,0,15,6,0.0,0.0,0,0,0,16,6,0.0,0.0,0,0,0,17,6,0.0,0.0,0,0,0,18,6,0.0,0.0,0,0,0,19,6,0.0,0.0,0,0,0,20,6,0.0,0.0,0,0,0,21,6,0.0,0.0,0,0,0,22,6,0.0,0.0,0,0,0,23,6,0.0,0.0,0,0,0,24,6,0.0,0.0,0,0,0,25,6,0.0,0.0,0,0,0,26,6,0.0,0.0,0,0,0,27,6,0.0,0.0,0,0,0,28,6,0.0,0.0,0,0,0
64,LTE_PHY_RLM_Report,2021-11-29 18:10:08.991773,1,4,,820,0,0.0,0.0,0,0,0,852,0,0.0,0.0,0,0,0,884,0,0.0,0.0,0,0,0,916,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 18:07:32.991776,1,4,,575,7,0.0,0.0,0,0,0,607,7,0.0,0.0,0,0,0,639,7,0.0,0.0,0,0,0,671,7,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 18:09:58.446732,1,20,,879,7,0.0,0.0,0,0,0,880,7,0.0,0.0,0,0,0,881,7,0.0,0.0,0,0,0,882,7,0.0,0.0,0,0,0,883,7,0.0,0.0,0,0,0,884,7,0.0,0.0,0,0,0,885,7,0.0,0.0,0,0,0,886,7,0.0,0.0,0,0,0,887,7,0.0,0.0,0,0,0,888,7,0.0,0.0,0,0,0,889,7,0.0,0.0,0,0,0,890,7,0.0,0.0,0,0,0,891,7,0.0,0.0,0,0,0,892,7,0.0,0.0,0,0,0,893,7,0.0,0.0,0,0,0,894,7,0.0,0.0,0,0,0,895,7,0.0,0.0,0,0,0,896,7,0.0,0.0,0,0,0,898,7,0.0,0.0,0,0,0,899,7,0.0,0.0,0,0,0
64,LTE_PHY_RLM_Report,2021-11-29 18:08:38.991773,1,4,,79,7,0.0,0.0,0,0,0,80,7,0.0,0.0,0,0,0,81,7,0.0,0.0,0,0,0,82,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LTE_PHY_RLM_Report,2021-11-29 18:08:40.191838,1,3,,168,2,0.0,0.0,0,0,0,200,2,0.0,0.0,0,0,0,232,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 18:07:49.791776,1,4,,202,8,0.0,0.0,0,0,0,234,8,0.0,0.0,0,0,0,266,8,0.0,0.0,0,0,0,298,8,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 18:09:08.776914,1,20,,10,3,0.0,0.0,0,0,0,10,7,0.0,0.0,0,0,0,11,7,0.0,0.0,0,0,0,12,7,0.0,0.0,0,0,0,14,3,0.0,0.0,0,0,0,14,7,0.0,0.0,0,0,0,15,7,0.0,0.0,0,0,0,16,7,0.0,0.0,0,0,0,18,3,0.0,0.0,0,0,0,18,7,0.0,0.0,0,0,0,19,7,0.0,0.0,0,0,0,20,7,0.0,0.0,0,0,0,22,3,0.0,0.0,0,0,0,22,7,0.0,0.0,0,0,0,23,7,0.0,0.0,0,0,0,24,7,0.0,0.0,0,0,0,26,3,0.0,0.0,0,0,0,26,7,0.0,0.0,0,0,0,27,7,0.0,0.0,0,0,0,28,7,0.0,0.0,0,0,0
112,LTE_PHY_RLM_Report,2021-11-29 18:09:04.191773,1,8,,565,2,0.0,0.0,0,0,0,566,2,0.0,0.0,0,0,0,567,2,0.0,0.0,0,0,0,568,2,0.0,0.0,0,0,0,569,2,0.0,0.0,0,0,0,570,2,0.0,0.0,0,0,0,571,2,0.0,0.0,0,0,0,572,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 18:08:52.191813,1,4,,314,2,0.0,0.0,0,0,0,346,2,0.0,0.0,0,0,0,378,2,0.0,0.0,0,0,0,410,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
