log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.906715,1,1,25,36,524,66586,1,349,PCell,1,13,7,-114.9375,-122.5,-114.9375,-16.1875,-17.0,-16.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.916726,1,1,25,36,524,66586,1,349,PCell,1,14,7,-115.0,-122.625,-115.0,-16.0625,-17.3125,-16.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.926718,1,1,25,36,524,66586,1,349,PCell,1,15,7,-115.0,-122.625,-115.0,-15.1875,-16.4375,-15.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.936733,1,1,25,36,524,66586,1,349,PCell,1,16,7,-114.875,-122.5625,-114.875,-15.4375,-16.625,-15.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.946706,1,1,25,36,524,66586,1,349,PCell,1,17,7,-114.8125,-122.5625,-114.8125,-16.1875,-17.75,-16.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.956724,1,1,25,36,524,66586,1,349,PCell,1,18,7,-114.6875,-122.4375,-114.6875,-15.9375,-16.5,-15.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.966743,1,1,25,36,524,66586,1,349,PCell,1,19,7,-114.625,-122.375,-114.625,-15.0625,-16.375,-15.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.976730,1,1,25,36,524,66586,1,349,PCell,1,20,7,-114.6875,-122.5,-114.6875,-15.5,-16.6875,-15.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.986556,1,1,25,36,524,66586,1,349,PCell,1,21,7,-114.5625,-122.4375,-114.5625,-15.625,-16.875,-15.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:37.996739,1,1,25,36,524,66586,1,349,PCell,1,22,7,-114.3125,-122.3125,-114.3125,-15.875,-16.75,-15.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.006746,1,1,25,36,524,66586,1,349,PCell,1,23,7,-114.3125,-122.3125,-114.3125,-15.1875,-16.5625,-15.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.016761,1,1,25,36,524,66586,1,349,PCell,1,24,7,-114.1875,-122.25,-114.1875,-15.8125,-16.25,-15.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.026722,1,1,25,36,524,66586,1,349,PCell,1,25,7,-114.125,-122.25,-114.125,-15.5,-16.4375,-15.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.036730,1,1,25,36,524,66586,1,349,PCell,1,26,7,-114.1875,-122.25,-114.1875,-15.0625,-16.5625,-15.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.046707,1,1,25,36,524,66586,1,349,PCell,1,27,7,-114.0625,-122.125,-114.0625,-15.4375,-16.3125,-15.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.056257,1,1,25,36,524,66586,1,349,PCell,1,28,7,-114.125,-122.125,-114.125,-15.9375,-16.9375,-15.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.066397,1,1,25,36,524,66586,1,349,PCell,1,29,7,-114.125,-122.125,-114.125,-15.125,-16.3125,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.076738,1,1,25,36,524,66586,1,349,PCell,1,30,7,-114.25,-122.125,-114.25,-14.6875,-16.1875,-14.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.086725,1,1,25,36,524,66586,1,349,PCell,1,31,7,-114.5625,-122.25,-114.5625,-14.875,-16.3125,-14.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.096725,1,1,25,36,524,66586,1,349,PCell,1,32,7,-114.8125,-122.375,-114.8125,-15.375,-16.8125,-15.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.106709,1,1,25,36,524,66586,1,349,PCell,1,33,7,-114.8125,-122.3125,-114.8125,-16.5,-16.6875,-16.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.116731,1,1,25,36,524,66586,1,349,PCell,1,34,7,-114.8125,-122.25,-114.8125,-14.6875,-16.375,-14.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.126717,1,1,25,36,524,66586,1,349,PCell,1,35,7,-115.0,-122.25,-115.0,-14.8125,-16.25,-14.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.136735,1,1,25,36,524,66586,1,349,PCell,1,36,7,-115.25,-122.375,-115.25,-15.375,-16.5,-15.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.146726,1,1,25,36,524,66586,1,349,PCell,1,37,7,-115.375,-122.375,-115.375,-16.25,-16.75,-16.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.156733,1,1,25,36,524,66586,1,349,PCell,1,38,7,-115.25,-122.375,-115.25,-14.9375,-16.8125,-14.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.166734,1,1,25,36,524,66586,1,349,PCell,1,39,7,-115.3125,-122.3125,-115.3125,-15.75,-16.375,-15.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.176726,1,1,25,36,524,66586,1,349,PCell,1,40,7,-115.375,-122.375,-115.375,-16.25,-16.375,-16.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.186708,1,1,25,36,524,66586,1,349,PCell,1,41,7,-115.3125,-122.375,-115.3125,-15.6875,-15.875,-15.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.196730,1,1,25,36,524,66586,1,349,PCell,1,42,7,-115.25,-122.4375,-115.25,-16.0,-16.9375,-16.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:08:38.206697,1,1,25,36,524,66586,1,349,PCell,1,43,7,-115.3125,-122.625,-115.3125,-15.875,-16.75,-15.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:08.528195,1,1,25,36,524,66586,1,349,PCell,1,883,9,-110.5625,-120.1875,-110.5625,-13.125,-15.0,-13.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:08.848335,1,1,25,36,524,66586,1,349,PCell,1,915,9,-110.5625,-120.3125,-110.5625,-14.625,-15.75,-14.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.168403,1,1,25,36,524,66586,1,349,PCell,1,947,9,-110.5,-120.6875,-110.5,-10.5,-12.5625,-10.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.488893,1,1,25,36,524,66586,1,349,PCell,1,979,9,-110.4375,-120.625,-110.4375,-9.5,-12.875,-9.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.808247,1,1,25,36,524,66586,1,349,PCell,1,1011,9,-110.4375,-120.6875,-110.4375,-9.9375,-12.5,-9.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.840421,1,1,25,36,524,66586,1,349,PCell,1,1015,1,-111.125,-120.875,-111.125,-9.5625,-12.1875,-9.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.850420,1,1,25,36,524,66586,1,349,PCell,1,1016,1,-110.9375,-120.6875,-110.9375,-12.75,-13.9375,-12.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.860398,1,1,25,36,524,66586,1,349,PCell,1,1017,1,-110.5625,-120.375,-110.5625,-9.5625,-12.0625,-9.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.870424,1,1,25,36,524,66586,1,349,PCell,1,1018,1,-110.6875,-120.5,-110.6875,-10.3125,-12.875,-10.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.880366,1,1,25,36,524,66586,1,349,PCell,1,1019,1,-110.8125,-120.625,-110.8125,-10.8125,-12.6875,-10.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.890417,1,1,25,36,524,66586,1,349,PCell,1,1020,1,-110.8125,-120.625,-110.8125,-10.5625,-12.3125,-10.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.900362,1,1,25,36,524,66586,1,349,PCell,1,1021,1,-111.0,-120.8125,-111.0,-9.9375,-12.5,-9.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.910349,1,1,25,36,524,66586,1,349,PCell,1,1022,1,-111.0625,-120.8125,-111.0625,-10.25,-12.8125,-10.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:10:09.968300,1,1,25,36,524,66586,1,349,PCell,1,3,9,-110.5625,-120.6875,-110.5625,-13.1875,-14.6875,-13.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:32.166287,1,1,25,36,524,66586,1,349,PCell,1,607,6,-114.4375,-121.1875,-114.4375,-15.875,-17.3125,-15.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:32.486340,1,1,25,36,524,66586,1,349,PCell,1,639,6,-114.625,-120.5,-114.625,-15.6875,-16.75,-15.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:32.806308,1,1,25,36,524,66586,1,349,PCell,1,671,6,-114.75,-120.6875,-114.75,-15.0,-16.1875,-15.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:33.126347,1,1,25,36,524,66586,1,349,PCell,1,703,6,-114.625,-119.875,-114.625,-13.4375,-15.0,-13.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:33.446269,1,1,25,36,524,66586,1,349,PCell,1,735,6,-114.375,-120.8125,-114.375,-14.75,-16.75,-14.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:33.766375,1,1,25,36,524,66586,1,349,PCell,1,767,6,-113.6875,-120.625,-113.6875,-12.9375,-16.25,-12.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:07:34.085815,1,1,25,36,524,66586,1,349,PCell,1,799,6,-113.75,-120.25,-113.75,-12.5,-14.8125,-12.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.400456,1,1,25,36,524,66586,1,349,PCell,1,895,1,-106.8125,-122.125,-106.8125,-14.75,-15.625,-14.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.400456,1,1,25,36,524,977,1,202,1_SCell,1,895,1,-113.4375,-126.0,-113.4375,-18.5,-19.125,-18.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.410501,1,1,25,36,524,66586,1,349,PCell,1,896,1,-106.875,-122.125,-106.875,-14.625,-16.25,-14.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.410501,1,1,25,36,524,977,1,202,1_SCell,1,896,1,-113.1875,-125.8125,-113.1875,-17.5625,-17.875,-17.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.462605,1,1,25,36,524,66586,1,349,PCell,1,901,3,-110.3125,-121.9375,-110.3125,-14.875,-17.0625,-14.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.462605,1,1,25,36,524,977,1,202,1_SCell,1,901,3,-115.8125,-126.25,-115.8125,-18.0,-18.0,-18.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.472627,1,1,25,36,524,66586,1,349,PCell,1,902,3,-110.6875,-121.9375,-110.6875,-13.875,-15.5625,-13.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.472627,1,1,25,36,524,977,1,202,1_SCell,1,902,3,-116.0625,-126.125,-116.0625,-17.4375,-17.4375,-17.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.482544,1,1,25,36,524,66586,1,349,PCell,1,903,3,-111.0625,-121.9375,-111.0625,-15.125,-15.25,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.482544,1,1,25,36,524,977,1,202,1_SCell,1,903,3,-116.25,-125.9375,-116.25,-17.125,-15.875,-17.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.492611,1,1,25,36,524,66586,1,349,PCell,1,904,3,-111.3125,-121.9375,-111.3125,-16.125,-16.375,-16.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.492611,1,1,25,36,524,977,1,202,1_SCell,1,904,3,-116.3125,-125.9375,-116.3125,-15.125,-16.375,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.502646,1,1,25,36,524,66586,1,349,PCell,1,905,3,-111.375,-121.9375,-111.375,-15.75,-16.0,-15.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 18:09:58.502646,1,1,25,36,524,977,1,202,1_SCell,1,905,3,-116.3125,-125.9375,-116.3125,-16.75,-16.3125,-16.75
