log_msg_len,type_id,timestamp,Version,Num Records,Records,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask,SFN,Sub-FN,CDRX Event,Internal Field Mask
416,LTE_RRC_CDRX_Events_Info,2021-11-29 18:08:37.986556,2,50,,13,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,13,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,13,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,13,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,14,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|,14,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,14,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,14,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,14,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,15,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,15,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,15,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,15,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,15,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,15,9,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,16,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,16,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,16,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,16,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,17,2,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|,17,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,17,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,17,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,17,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,18,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,18,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,18,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,18,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,18,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,19,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,19,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,19,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,19,6,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,19,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,20,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,20,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,20,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,20,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,1,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,2,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,21,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,21,5,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,21,6,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,9,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,21,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|
64,LTE_RRC_CDRX_Events_Info,2021-11-29 18:08:37.991834,2,6,,22,0,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,2,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,3,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,22,4,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,LTE_RRC_CDRX_Events_Info,2021-11-29 18:08:38.050499,2,50,,22,7,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,22,8,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,1,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,23,2,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,5,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,6,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,6,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,23,9,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,24,0,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,3,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,4,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,6,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,7,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,24,8,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,24,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,1,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,2,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,5,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,25,6,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,25,9,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,25,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,26,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,26,0,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,26,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,26,3,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|,26,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,26,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,27,1,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,27,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,27,2,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,27,6,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,27,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,27,9,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,28,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,28,4,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|
416,LTE_RRC_CDRX_Events_Info,2021-11-29 18:08:38.116834,2,50,,28,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,28,7,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,28,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,29,2,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,29,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,29,5,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,29,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,29,7,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,30,0,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,30,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,30,3,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|PENDING_UL_RETX|,30,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_SR|,30,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,30,8,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,30,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,31,1,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,31,1,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,31,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,31,2,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,31,3,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,31,6,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,31,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,31,8,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,31,9,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,1,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,32,2,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|,32,4,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,6,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,7,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,32,9,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,33,2,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,33,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,33,4,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,33,4,INACTIVITY_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,33,5,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,33,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,33,7,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,34,0,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,34,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,34,2,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,34,3,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,34,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,34,5,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,34,8,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,34,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,35,0,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,35,1,UL_RETX_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|
176,LTE_RRC_CDRX_Events_Info,2021-11-29 18:10:09.191846,2,20,,852,0,LONG_CYCLE_START,|CYCLE_START|,851,8,CDRX_OFF_2_ON,|CYCLE_START|,852,0,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,853,0,ON_DURATION_TIMER_END,|,853,0,CDRX_ON_2_OFF,|,884,0,LONG_CYCLE_START,|CYCLE_START|,883,8,CDRX_OFF_2_ON,|CYCLE_START|,884,0,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,885,0,ON_DURATION_TIMER_END,|,885,0,CDRX_ON_2_OFF,|,916,0,LONG_CYCLE_START,|CYCLE_START|,915,8,CDRX_OFF_2_ON,|CYCLE_START|,916,0,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,917,0,ON_DURATION_TIMER_END,|,917,0,CDRX_ON_2_OFF,|,948,0,LONG_CYCLE_START,|CYCLE_START|,947,8,CDRX_OFF_2_ON,|CYCLE_START|,948,0,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,949,0,ON_DURATION_TIMER_END,|,949,0,CDRX_ON_2_OFF,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,LTE_RRC_CDRX_Events_Info,2021-11-29 18:07:31.991773,2,20,,479,7,LONG_CYCLE_START,|CYCLE_START|,479,5,CDRX_OFF_2_ON,|CYCLE_START|,479,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,480,7,ON_DURATION_TIMER_END,|,480,7,CDRX_ON_2_OFF,|,511,7,LONG_CYCLE_START,|CYCLE_START|,511,5,CDRX_OFF_2_ON,|CYCLE_START|,511,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,512,7,ON_DURATION_TIMER_END,|,512,7,CDRX_ON_2_OFF,|,543,7,LONG_CYCLE_START,|CYCLE_START|,543,5,CDRX_OFF_2_ON,|CYCLE_START|,543,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,544,7,ON_DURATION_TIMER_END,|,544,7,CDRX_ON_2_OFF,|,575,7,LONG_CYCLE_START,|CYCLE_START|,575,5,CDRX_OFF_2_ON,|CYCLE_START|,575,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,576,7,ON_DURATION_TIMER_END,|,576,7,CDRX_ON_2_OFF,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,LTE_RRC_CDRX_Events_Info,2021-11-29 18:07:33.191775,2,20,,607,7,LONG_CYCLE_START,|CYCLE_START|,607,5,CDRX_OFF_2_ON,|CYCLE_START|,607,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,608,7,ON_DURATION_TIMER_END,|,608,7,CDRX_ON_2_OFF,|,639,7,LONG_CYCLE_START,|CYCLE_START|,639,5,CDRX_OFF_2_ON,|CYCLE_START|,639,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,640,7,ON_DURATION_TIMER_END,|,640,7,CDRX_ON_2_OFF,|,671,7,LONG_CYCLE_START,|CYCLE_START|,671,5,CDRX_OFF_2_ON,|CYCLE_START|,671,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,672,7,ON_DURATION_TIMER_END,|,672,7,CDRX_ON_2_OFF,|,703,7,LONG_CYCLE_START,|CYCLE_START|,703,5,CDRX_OFF_2_ON,|CYCLE_START|,703,7,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,704,7,ON_DURATION_TIMER_END,|,704,7,CDRX_ON_2_OFF,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,LTE_RRC_CDRX_Events_Info,2021-11-29 18:08:39.191836,2,41,,59,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,60,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,60,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,60,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,61,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,66,4,INACTIVITY_TIMER_END,|,66,4,CDRX_ON_2_OFF,|,72,2,SHORT_CYCLE_START,|CYCLE_START|,72,0,CDRX_OFF_2_ON,|CYCLE_START|,72,2,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,72,4,INACTIVITY_TIMER_START,|ON_DURATION_TIMER|INACTIVITY_TIMER|,72,9,UL_RETX_TIMER_START,|ON_DURATION_TIMER|INACTIVITY_TIMER|PENDING_UL_RETX|,73,2,ON_DURATION_TIMER_END,|INACTIVITY_TIMER|PENDING_UL_RETX|,73,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,73,7,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,74,0,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,74,5,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,74,8,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,75,3,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,75,6,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,76,1,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,76,4,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,76,9,UL_RETX_TIMER_START,|INACTIVITY_TIMER|PENDING_UL_RETX|,77,2,UL_RETX_TIMER_END,|INACTIVITY_TIMER|,82,4,INACTIVITY_TIMER_END,|,82,4,CDRX_ON_2_OFF,|,88,2,SHORT_CYCLE_START,|CYCLE_START|,88,0,CDRX_OFF_2_ON,|CYCLE_START|,88,2,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,89,2,ON_DURATION_TIMER_END,|,89,2,CDRX_ON_2_OFF,|,104,2,LONG_CYCLE_START,|CYCLE_START|,104,0,CDRX_OFF_2_ON,|CYCLE_START|,104,2,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,105,2,ON_DURATION_TIMER_END,|,105,2,CDRX_ON_2_OFF,|,136,2,LONG_CYCLE_START,|CYCLE_START|,136,0,CDRX_OFF_2_ON,|CYCLE_START|,136,2,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,137,2,ON_DURATION_TIMER_END,|,137,2,CDRX_ON_2_OFF,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,LTE_RRC_CDRX_Events_Info,2021-11-29 18:07:48.791774,2,20,,106,8,LONG_CYCLE_START,|CYCLE_START|,106,6,CDRX_OFF_2_ON,|CYCLE_START|,106,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,107,8,ON_DURATION_TIMER_END,|,107,8,CDRX_ON_2_OFF,|,138,8,LONG_CYCLE_START,|CYCLE_START|,138,6,CDRX_OFF_2_ON,|CYCLE_START|,138,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,139,8,ON_DURATION_TIMER_END,|,139,8,CDRX_ON_2_OFF,|,170,8,LONG_CYCLE_START,|CYCLE_START|,170,6,CDRX_OFF_2_ON,|CYCLE_START|,170,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,171,8,ON_DURATION_TIMER_END,|,171,8,CDRX_ON_2_OFF,|,202,8,LONG_CYCLE_START,|CYCLE_START|,202,6,CDRX_OFF_2_ON,|CYCLE_START|,202,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,203,8,ON_DURATION_TIMER_END,|,203,8,CDRX_ON_2_OFF,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,LTE_RRC_CDRX_Events_Info,2021-11-29 18:07:49.991807,2,20,,234,8,LONG_CYCLE_START,|CYCLE_START|,234,6,CDRX_OFF_2_ON,|CYCLE_START|,234,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,235,8,ON_DURATION_TIMER_END,|,235,8,CDRX_ON_2_OFF,|,266,8,LONG_CYCLE_START,|CYCLE_START|,266,6,CDRX_OFF_2_ON,|CYCLE_START|,266,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,267,8,ON_DURATION_TIMER_END,|,267,8,CDRX_ON_2_OFF,|,298,8,LONG_CYCLE_START,|CYCLE_START|,298,6,CDRX_OFF_2_ON,|CYCLE_START|,298,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,299,8,ON_DURATION_TIMER_END,|,299,8,CDRX_ON_2_OFF,|,330,8,LONG_CYCLE_START,|CYCLE_START|,330,6,CDRX_OFF_2_ON,|CYCLE_START|,330,8,ON_DURATION_TIMER_START,|ON_DURATION_TIMER|,331,8,ON_DURATION_TIMER_END,|,331,8,CDRX_ON_2_OFF,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
