log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
38,LTE_RRC_OTA_Packet,2021-11-29 18:10:08.857539,20,14,48,0,349,66586,14665,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 18:07:34.085815,20,14,48,1,349,66586,61943,7,0,2,
49,LTE_RRC_OTA_Packet,2021-11-29 18:07:34.111966,20,14,48,0,349,66586,12793,5,0,18,
38,LTE_RRC_OTA_Packet,2021-11-29 18:09:58.517563,20,14,48,0,349,66586,14505,5,0,7,
106,LTE_RRC_OTA_Packet,2021-11-29 18:09:08.839168,20,14,48,1,349,66586,49712,7,0,75,
33,LTE_RRC_OTA_Packet,2021-11-29 18:09:08.854684,20,14,48,1,349,66586,0,9,0,2,
53,LTE_RRC_OTA_Packet,2021-11-29 18:09:04.671783,20,14,48,1,349,66586,0,9,0,22,
46,LTE_RRC_OTA_Packet,2021-11-29 18:09:04.677740,20,14,48,0,349,66586,10281,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 18:08:53.397871,20,14,48,0,349,66586,8617,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 18:08:54.031339,20,14,48,1,349,66586,58786,7,0,2,
