log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:46.854194,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.167074,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.267146,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,48,48
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.367147,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,97,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:01.697036,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,101,97
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:01.797032,1,1,UL Tx Statistics SubPacket,2,20,1,100,5,2,0,0,1301,1123
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:01.897025,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,2,0,2408,2319
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:37.506391,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:37.775270,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:38.074545,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:38.294536,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:38.561337,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:38.874194,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:39.187076,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:28.716896,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,154,23
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:28.816969,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:28.916903,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:30.916841,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,1,0,575,416
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:31.017154,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:31.116900,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,1568,1150
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:57.680211,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,32,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:57.796278,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:58.151954,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:58.475142,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:58.818016,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:59.163904,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:14.804073,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,3,0,8601,8493
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:14.904074,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,3,1,0,1899,1600
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.467146,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.567148,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,32,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.667147,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:47.839143,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:48.156321,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:36.299266,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,101,93
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:36.438207,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,32,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:36.564267,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:36.917109,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:42.402144,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,85,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:42.675265,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:42.975270,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:43.255346,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:43.494487,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:04.677024,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:04.777019,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:04.877025,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,113,21
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:04.977018,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:15.304076,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,113,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:15.438006,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,42,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:15.538066,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:11:15.810052,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:48.454427,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:48.781326,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:49.108188,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:49.421376,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:49.762084,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:49.896402,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:57.214078,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,77,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:57.343019,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:57.448087,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,874,717
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:57.548090,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,185,97
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:24.769266,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,125,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:24.901322,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:25.019267,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:25.218131,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:25.455264,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:25.765265,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:23.529265,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:23.635333,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:10:23.757145,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,42,6
