log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:47.198101,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:28.650033,1,1,7,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:28.971680,1,1,13,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:36.958028,1,1,30,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:11:04.796657,1,1,13,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:31.722954,1,1,7,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:26.718150,1,1,31,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:11:07.271845,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:51.876849,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:51.882666,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:51.905036,1,1,8,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:51.915783,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 20:10:51.931833,1,1,7,
