log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:46.881919,1,1,25,36,524,66586,1,349,PCell,1,753,9,-112.5,-122.1875,-112.5,-14.4375,-16.5,-14.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.202747,1,1,25,36,524,66586,1,349,PCell,1,786,0,-112.9375,-122.0,-112.9375,-13.875,-15.6875,-13.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.233858,1,1,25,36,524,66586,1,349,PCell,1,789,1,-113.125,-121.75,-113.125,-15.125,-16.1875,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.243850,1,1,25,36,524,66586,1,349,PCell,1,790,1,-113.125,-121.75,-113.125,-13.375,-14.9375,-13.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.253841,1,1,25,36,524,66586,1,349,PCell,1,791,1,-113.125,-121.6875,-113.125,-14.8125,-15.75,-14.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.263833,1,1,25,36,524,66586,1,349,PCell,1,792,1,-113.0625,-121.625,-113.0625,-13.4375,-15.1875,-13.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.273839,1,1,25,36,524,66586,1,349,PCell,1,793,1,-113.0625,-121.5625,-113.0625,-14.6875,-15.8125,-14.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.283832,1,1,25,36,524,66586,1,349,PCell,1,794,1,-113.0,-121.625,-113.0,-14.6875,-16.0625,-14.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.293819,1,1,25,36,524,66586,1,349,PCell,1,795,1,-112.9375,-121.625,-112.9375,-14.375,-15.875,-14.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.303823,1,1,25,36,524,66586,1,349,PCell,1,796,1,-112.875,-121.5625,-112.875,-13.9375,-15.75,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.313399,1,1,25,36,524,66586,1,349,PCell,1,797,1,-112.875,-121.5625,-112.875,-15.3125,-15.75,-15.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.323814,1,1,25,36,524,66586,1,349,PCell,1,798,1,-112.9375,-121.625,-112.9375,-14.5,-16.25,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.323814,1,1,25,36,524,66586,1,349,PCell,1,798,1,-112.9375,-121.625,-112.9375,-14.5,-16.25,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.393848,1,1,25,36,524,66586,1,349,PCell,1,805,1,-115.5625,-122.625,-115.5625,-12.125,-15.375,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.403847,1,1,25,36,524,66586,1,349,PCell,1,806,1,-116.125,-122.8125,-116.125,-14.125,-16.3125,-14.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.413794,1,1,25,36,524,66586,1,349,PCell,1,807,1,-116.5,-122.875,-116.5,-13.25,-15.375,-13.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.423892,1,1,25,36,524,66586,1,349,PCell,1,808,1,-116.8125,-122.6875,-116.8125,-13.8125,-15.75,-13.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:10:47.433878,1,1,25,36,524,66586,1,349,PCell,1,809,1,-117.0,-122.5,-117.0,-13.8125,-15.9375,-13.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.698836,1,1,25,36,524,66586,1,349,PCell,1,187,6,-115.0625,-122.3125,-115.0625,-12.6875,-15.0,-12.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.708796,1,1,25,36,524,66586,1,349,PCell,1,188,6,-115.1875,-122.375,-115.1875,-13.125,-15.5,-13.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.718071,1,1,25,36,524,66586,1,349,PCell,1,189,6,-115.25,-122.4375,-115.25,-11.9375,-14.6875,-11.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.728814,1,1,25,36,524,66586,1,349,PCell,1,190,6,-115.25,-122.4375,-115.25,-10.5625,-13.8125,-10.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.738785,1,1,25,36,524,66586,1,349,PCell,1,191,6,-115.125,-122.4375,-115.125,-10.25,-14.0,-10.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.748795,1,1,25,36,524,66586,1,349,PCell,1,192,6,-115.125,-122.5,-115.125,-11.125,-14.375,-11.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.758785,1,1,25,36,524,66586,1,349,PCell,1,193,6,-115.25,-122.8125,-115.25,-12.375,-15.8125,-12.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.768799,1,1,25,36,524,66586,1,349,PCell,1,194,6,-115.0625,-122.75,-115.0625,-14.0625,-16.25,-14.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.778075,1,1,25,36,524,66586,1,349,PCell,1,195,6,-114.875,-122.625,-114.875,-9.6875,-14.125,-9.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.788067,1,1,25,36,524,66586,1,349,PCell,1,196,6,-115.0,-122.75,-115.0,-13.6875,-16.0,-13.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.798814,1,1,25,36,524,66586,1,349,PCell,1,197,6,-115.0,-122.8125,-115.0,-12.25,-15.5,-12.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.808780,1,1,25,36,524,66586,1,349,PCell,1,198,6,-115.25,-123.0,-115.25,-11.5625,-15.125,-11.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.818849,1,1,25,36,524,66586,1,349,PCell,1,199,6,-115.25,-123.0625,-115.25,-10.625,-14.5,-10.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.828431,1,1,25,36,524,66586,1,349,PCell,1,200,6,-115.25,-123.0,-115.25,-12.1875,-14.8125,-12.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.838780,1,1,25,36,524,66586,1,349,PCell,1,201,6,-115.1875,-122.9375,-115.1875,-10.0625,-14.25,-10.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.848779,1,1,25,36,524,66586,1,349,PCell,1,202,6,-115.3125,-123.125,-115.3125,-10.4375,-14.5,-10.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.858069,1,1,25,36,524,66586,1,349,PCell,1,203,6,-115.3125,-123.1875,-115.3125,-10.75,-14.625,-10.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.868800,1,1,25,36,524,66586,1,349,PCell,1,204,6,-115.4375,-123.25,-115.4375,-13.625,-17.4375,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.878804,1,1,25,36,524,66586,1,349,PCell,1,205,6,-115.6875,-123.375,-115.6875,-11.125,-14.9375,-11.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.888755,1,1,25,36,524,66586,1,349,PCell,1,206,6,-115.9375,-123.4375,-115.9375,-12.625,-16.0,-12.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.898794,1,1,25,36,524,66586,1,349,PCell,1,207,6,-116.0,-123.4375,-116.0,-11.125,-14.8125,-11.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.908437,1,1,25,36,524,66586,1,349,PCell,1,208,6,-116.0625,-123.4375,-116.0625,-11.0,-14.8125,-11.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.918794,1,1,25,36,524,66586,1,349,PCell,1,209,6,-116.0625,-123.375,-116.0625,-13.125,-16.4375,-13.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:11:01.928772,1,1,25,36,524,66586,1,349,PCell,1,210,6,-116.0625,-123.375,-116.0625,-15.75,-17.4375,-15.75
