log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLC PDCP Q Full Count,RLCDL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:47.246890,1,1,66,3,1064,4,0,0,,33,AM,0,5,300,13,26,0,0,0,0,0,0,0,0,0,0,6,288,0,5,0,0,0,0,0,5,300,13,26,0,0,0,0,0,0,0,0,0,0,6,288,0,5,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,1134,997499,139,278,0,0,1,806,0,0,0,0,0,0,1023,994205,0,135,0,0,1,12,0,1134,997499,139,278,0,0,1,806,0,0,0,0,0,0,1023,994205,0,135,0,0,1,12,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:28.916903,1,1,66,3,1064,4,0,0,,33,AM,0,3,208,6,12,0,0,0,0,0,0,0,0,0,0,4,200,0,3,0,0,0,0,0,3,208,6,12,0,0,0,0,0,0,0,0,0,0,4,200,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,278,140380,54,108,0,0,0,0,0,0,0,0,0,0,269,139660,0,58,0,0,0,1,0,278,140380,54,108,0,0,0,0,0,0,0,0,0,0,269,139660,0,58,0,0,0,1,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:49.554473,1,1,66,3,1064,4,0,0,,33,AM,0,5,300,13,26,0,0,0,0,0,0,0,0,0,0,6,288,0,5,0,0,0,0,0,5,300,13,26,0,0,0,0,0,0,0,0,0,0,6,288,0,5,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,1134,997499,139,278,0,0,1,806,0,0,0,0,0,0,1023,994205,0,135,0,0,1,12,0,1134,997499,139,278,0,0,1,806,0,0,0,0,0,0,1023,994205,0,135,0,0,1,12,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:50.134094,1,1,66,3,1064,4,0,0,,33,AM,0,6,309,13,26,0,0,0,0,0,0,0,0,0,0,7,295,0,6,0,0,0,0,0,6,309,13,26,0,0,0,0,0,0,0,0,0,0,7,295,0,6,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,1134,997499,139,278,0,0,1,806,0,0,0,0,0,0,1023,994205,0,135,0,0,1,12,0,1134,997499,139,278,0,0,1,806,0,0,0,0,0,0,1023,994205,0,135,0,0,1,12,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:57.426702,1,1,66,3,1064,4,0,0,,33,AM,0,3,174,5,10,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,3,174,5,10,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,9,1086,7,14,0,0,0,0,0,0,0,0,0,0,6,1068,0,6,0,0,0,0,0,9,1086,7,14,0,0,0,0,0,0,0,0,0,0,6,1068,0,6,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:25.016896,1,1,66,3,1064,4,0,0,,33,AM,0,2,174,4,8,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,2,174,4,8,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,278,140380,54,108,0,0,0,0,0,0,0,0,0,0,269,139660,0,58,0,0,0,1,0,278,140380,54,108,0,0,0,0,0,0,0,0,0,0,269,139660,0,58,0,0,0,1,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:10:23.601902,1,1,66,3,1064,4,0,0,,33,AM,0,2,174,4,8,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,2,174,4,8,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,260,137620,45,90,0,0,0,0,0,0,0,0,0,0,252,136941,0,48,0,0,0,1,0,260,137620,45,90,0,0,0,0,0,0,0,0,0,0,252,136941,0,48,0,0,0,1,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:11:06.976687,1,1,66,3,1064,4,0,0,,33,AM,0,4,208,9,18,0,0,0,0,0,0,0,0,0,0,4,200,0,3,0,0,0,0,0,4,208,9,18,0,0,0,0,0,0,0,0,0,0,4,200,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,34,14798,18,36,0,0,0,0,0,0,0,0,0,0,29,14717,0,17,0,0,0,0,0,34,14798,18,36,0,0,0,0,0,0,0,0,0,0,29,14717,0,17,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:11:02.914440,1,1,66,3,1064,4,0,0,,33,AM,0,3,174,6,12,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,3,174,6,12,0,0,0,0,0,0,0,0,0,0,3,168,0,2,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,22,3534,14,28,0,0,0,0,0,0,0,0,0,0,19,3485,0,14,0,0,0,0,0,22,3534,14,28,0,0,0,0,0,0,0,0,0,0,19,3485,0,14,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 20:11:08.424076,1,1,66,3,1064,4,0,0,,33,AM,0,6,236,10,20,0,0,0,0,0,0,0,0,0,0,6,224,0,5,0,0,0,0,0,6,236,10,20,0,0,0,0,0,0,0,0,0,0,6,224,0,5,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,34,14798,18,36,0,0,0,0,0,0,0,0,0,0,29,14717,0,17,0,0,0,0,0,34,14798,18,36,0,0,0,0,0,0,0,0,0,0,29,14717,0,17,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0
