log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
56,LTE_RRC_OTA_Packet,2021-11-29 20:10:47.198101,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:47.210703,20,14,48,0,349,66586,12585,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 20:10:38.250645,20,14,48,0,349,66586,14633,5,0,15,
58,LTE_RRC_OTA_Packet,2021-11-29 20:10:28.641901,20,14,48,1,349,66586,64800,7,0,27,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:28.650033,20,14,48,1,349,66586,0,9,0,2,
39,LTE_RRC_OTA_Packet,2021-11-29 20:10:28.971680,20,14,48,1,349,66586,0,9,0,8,
56,LTE_RRC_OTA_Packet,2021-11-29 20:10:36.958028,20,14,48,1,349,66586,0,9,0,25,
39,LTE_RRC_OTA_Packet,2021-11-29 20:11:04.796657,20,14,48,1,349,66586,0,9,0,8,
46,LTE_RRC_OTA_Packet,2021-11-29 20:10:48.490692,20,14,48,0,349,66586,14633,5,0,15,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:50.081952,20,14,48,1,349,66586,49952,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:21.610828,20,14,48,0,349,66586,4393,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:11:02.630633,20,14,48,0,349,66586,4489,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:31.722954,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 20:11:08.330474,20,14,48,0,349,66586,13609,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 20:11:08.387004,20,14,48,1,349,66586,62853,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:52.970586,20,14,48,0,349,66586,5417,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:53.670561,20,14,48,0,349,66586,6537,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:29.930653,20,14,48,0,349,66586,1321,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:45.930633,20,14,48,0,349,66586,10537,5,0,7,
57,LTE_RRC_OTA_Packet,2021-11-29 20:10:26.718150,20,14,48,1,349,66586,0,9,0,26,
43,LTE_RRC_OTA_Packet,2021-11-29 20:11:07.263018,20,14,48,1,349,66586,61057,7,0,12,
33,LTE_RRC_OTA_Packet,2021-11-29 20:11:07.270926,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:50.410748,20,14,48,0,349,66586,1321,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.696905,20,14,48,0,349,66586,3369,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.785015,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.831991,20,14,48,0,349,66586,3600,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.835001,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.875862,20,14,48,1,349,66586,36436,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.875862,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.876849,20,14,48,1,349,66586,52821,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.882666,20,14,48,1,349,66586,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.904187,20,14,48,2,349,66586,52866,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.905036,20,14,48,1,349,66586,0,9,0,3,
35,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.915783,20,14,48,1,349,66586,0,9,0,4,
39,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.927012,20,14,48,1,349,66586,52901,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 20:10:51.931502,20,14,48,1,349,66586,0,9,0,2,
