log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:47.862584,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,269,40
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:47.962937,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,0,0,768,412
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:25.906966,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,4,0,0,764,256
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:26.006966,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,269,38
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:20.780143,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,79,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:20.905150,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,133,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:21.030839,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:21.205096,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:21.455828,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:21.784012,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:51.800811,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,0,0,1981,1424
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:51.900810,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,1,0,419,334
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:49.070057,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,2,2,0,9178,8780
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:42:05.888992,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,0,0,3280,2603
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:42:05.988993,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,1,1,0,2792,2309
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:42:06.088990,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,274,16
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:59.816869,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,1,0,934,785
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:41:59.916868,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,161,86
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:42:00.053923,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
