log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Num Rx Ant,Deplexing Mode,Neighbor Cells,Cell ID,CP Type,Enabled Tx Antennas,TTL Enabled,FTL Enabled,Cell ID,CP Type,Enabled Tx Antennas,TTL Enabled,FTL Enabled,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:32.340809,1,2,,26,2,44,977,2,2,FDD,,390,Normal,2,False,False,118,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,390,0,-126.6875,-20.9375,-95.25,118,0,-124.0625,-18.0625,-95.1875
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:32.376879,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,False,False,27,4,64,39874,1,TDD,PCell,,352,0,-124.8125,-13.75,-103.3125,,,,,,,,,,
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:32.446859,1,2,,26,2,28,2100,1,2,FDD,,349,Normal,2,False,False,27,4,64,2100,1,FDD,PCell,,349,0,-118.5625,-12.3125,-98.5,,,,,,,,,,
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:32.500069,1,2,,26,2,44,68661,2,2,FDD,,145,Normal,2,False,False,117,Normal,2,False,False,27,4,116,68661,2,FDD,PCell,,145,0,-117.875,-14.75,-95.375,117,0,-121.75,-16.5,-95.4375
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:33.610801,1,2,,26,2,44,977,2,2,FDD,,118,Normal,2,False,False,390,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,118,0,-123.1875,-17.0,-97.125,390,0,-126.8125,-19.625,-96.875
108,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:33.625051,1,2,,26,2,28,39874,1,2,TDD,,352,Normal,2,False,False,27,4,64,39874,1,TDD,PCell,,352,0,-123.625,-12.5,-102.0625,,,,,,,,,,
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:34.890803,1,2,,26,2,44,977,2,2,FDD,,118,Normal,2,False,False,390,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,118,0,-124.1875,-16.625,-94.6875,390,0,-125.4375,-19.5,-94.5625
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:36.170796,1,2,,26,2,44,977,2,2,FDD,,118,Normal,2,False,False,390,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,118,0,-123.25,-18.625,-93.0,390,0,-123.6875,-21.4375,-93.0
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:37.450791,1,2,,26,2,44,977,2,2,FDD,,118,Normal,2,False,False,390,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,118,0,-122.375,-18.25,-95.0625,390,0,-126.0625,-20.5,-95.0
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:38.730779,1,2,,26,2,44,977,2,2,FDD,,118,Normal,2,False,False,390,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,118,0,-123.375,-17.375,-93.875,390,0,-124.5625,-19.5625,-93.9375
176,LTE_PHY_Idle_Neighbor_Cell_Meas,2021-11-29 20:41:40.010781,1,2,,26,2,44,977,2,2,FDD,,118,Normal,2,False,False,390,Normal,2,False,False,27,4,116,977,2,FDD,PCell,,118,0,-126.3125,-21.0,-91.8125,390,0,-122.1875,-21.125,-92.0
