log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:31.741573,123,202,921,0,13196,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x000f000000000000,0x0000000000000000,0x000f000000000000,0x0000000000000000,0,Transmit diversity,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:33.607638,123,202,82,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0001000100010001,0x0000000000000000,0x0001000100010001,0x0000000000000000,0,Transmit diversity,0,56,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:34.887627,123,202,210,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0001000100010001,0x0000000000000000,0x0001000100010001,0x0000000000000000,0,Transmit diversity,0,56,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:40.007648,123,202,722,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0001000100010001,0x0000000000000000,0x0001000100010001,0x0000000000000000,0,Transmit diversity,0,56,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:41.287629,123,202,850,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0003000300030003,0x0000000000000000,0x0003000300030003,0x0000000000000000,0,Transmit diversity,0,120,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:46.407633,123,202,338,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0001000100010001,0x0000000000000000,0x0001000100010001,0x0000000000000000,0,Transmit diversity,0,56,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.690475,123,202,466,9,65534,4 antennas,P-RNTI,2 antennas,Rank 1,WideBand,0x0001000100010001,0x0000000000000000,0x0001000100010001,0x0000000000000000,0,Transmit diversity,0,56,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.827597,123,202,481,6,2,4 antennas,RA-RNTI,2 antennas,Rank 1,WideBand,0x0003000300030003,0x0000000000000000,0x0003000300030003,0x0000000000000000,0,Transmit diversity,0,56,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.838369,123,202,482,7,31405,4 antennas,Temporary-C-RNTI,2 antennas,Rank 1,WideBand,0x00070007000f000f,0x0000000000000000,0x000f000f00070007,0x0000000000000000,0,Transmit diversity,0,376,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.853309,123,202,484,2,31405,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000000000f,0x0000000000000000,0x000000000000000f,0x0000000000000000,0,Transmit diversity,0,88,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.873302,123,202,486,2,31405,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,0,Transmit diversity,0,1128,16QAM,1.99609375,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.874362,123,202,486,3,31405,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000f00000000,0x0000000000000000,0x0000000f00000000,0x0000000000000000,0,Transmit diversity,0,88,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.906413,123,202,489,5,31405,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000f0000000000,0x0000000000000000,0x00000f0000000000,0x0000000000000000,0,Transmit diversity,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.911481,123,202,490,0,31405,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000000000000f0,0x0000000000000000,0x00000000000000f0,0x0000000000000000,7,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:47.922937,123,202,491,2,31405,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000000000000f0,0x0000000000000000,0x00000000000000f0,0x0000000000000000,13,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.816570,123,202,328,5,13196,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.840539,123,202,330,9,13196,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,13,Closed-loop spatial multiplexing,0,680,16QAM,1.99609375,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.866546,123,202,333,5,13196,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000000000000f000,0x0000000000000000,0x000000000000f000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.875422,123,202,334,4,13196,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ff0000000000,0x0000000000000000,0x0000ff0000000000,0x0000000000000000,14,Closed-loop spatial multiplexing,0,1096,QPSK,1.99609375,552,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.879451,123,202,334,8,13196,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000000000000f000,0x0000000000000000,0x000000000000f000,0x0000000000000000,14,Closed-loop spatial multiplexing,0,88,QPSK,1.99609375,680,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.882702,123,202,335,1,13196,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000000000000f000,0x0000000000000000,0x000000000000f000,0x0000000000000000,14,Closed-loop spatial multiplexing,0,88,QPSK,1.99609375,680,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.884486,123,202,335,3,13196,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000000000000ff00,0x0000000000000000,0x000000000000ff00,0x0000000000000000,14,Closed-loop spatial multiplexing,0,208,QPSK,1.99609375,1608,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:41:25.916573,123,202,338,5,13196,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
