log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:31.742680,1,1,25,36,524,977,1,202,PCell,1,920,9,-119.875,-122.0625,-119.875,-14.875,-14.0,-14.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:32.322882,1,1,25,36,524,977,1,202,PCell,1,978,9,-118.25,-125.25,-118.25,-12.8125,-15.5,-12.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:33.607638,1,1,25,36,524,977,1,202,PCell,1,82,9,-115.4375,-121.75,-115.4375,-13.375,-14.125,-13.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:34.887627,1,1,25,36,524,977,1,202,PCell,1,210,9,-112.25,-121.75,-112.25,-15.8125,-16.8125,-15.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:36.167692,1,1,25,36,524,977,1,202,PCell,1,338,9,-115.4375,-122.75,-115.4375,-17.1875,-16.5,-17.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:37.447691,1,1,25,36,524,977,1,202,PCell,1,466,9,-114.8125,-122.0625,-114.8125,-15.1875,-15.25,-15.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:38.727668,1,1,25,36,524,977,1,202,PCell,1,594,9,-115.5,-122.3125,-115.5,-17.75,-17.625,-17.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:40.007648,1,1,25,36,524,977,1,202,PCell,1,722,9,-114.5625,-122.6875,-114.5625,-16.1875,-17.4375,-16.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:41.287629,1,1,25,36,524,977,1,202,PCell,1,850,9,-114.4375,-121.8125,-114.4375,-15.1875,-15.4375,-15.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:42.567647,1,1,25,36,524,977,1,202,PCell,1,978,9,-110.0,-129.1875,-110.0,-16.625,-18.6875,-16.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:43.847649,1,1,25,36,524,977,1,202,PCell,1,82,9,-112.5,-126.5625,-112.5,-14.125,-16.1875,-14.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:41:45.127664,1,1,25,36,524,977,1,202,PCell,1,210,9,-111.125,-127.5,-111.125,-15.875,-17.5,-15.875
