log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
33,LTE_RRC_OTA_Packet,2021-11-29 20:41:31.743155,20,14,48,1,202,977,63888,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:33.608035,20,14,48,0,202,977,1321,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:34.887627,20,14,48,0,202,977,3369,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:40.007648,20,14,48,0,202,977,11561,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 20:41:41.287629,20,14,48,0,202,977,13609,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:46.407633,20,14,48,0,202,977,5417,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.690475,20,14,48,0,202,977,7465,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.799443,20,14,48,0,202,977,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.840025,20,14,48,0,202,977,7719,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.843024,20,14,48,1,202,977,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.874362,20,14,48,1,202,977,40546,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.875272,20,14,48,1,202,977,0,9,0,2,
158,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.875816,20,14,48,1,202,977,56931,7,0,127,
33,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.882533,20,14,48,1,202,977,0,9,0,2,
42,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.882936,20,14,48,1,202,977,0,9,0,11,
33,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.907980,20,14,48,2,202,977,56981,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 20:41:47.907980,20,14,48,1,202,977,0,9,0,3,
56,LTE_RRC_OTA_Packet,2021-11-29 20:41:25.970852,20,14,48,1,202,977,0,9,0,25,
101,LTE_RRC_OTA_Packet,2021-11-29 20:41:49.120062,20,14,48,1,202,977,58919,7,0,70,
33,LTE_RRC_OTA_Packet,2021-11-29 20:41:49.128135,20,14,48,1,202,977,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:59.971457,20,14,48,0,202,977,10745,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:27.911608,20,14,48,0,202,977,8601,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:29.191651,20,14,48,0,202,977,10649,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 20:41:30.470823,20,14,48,0,202,977,12697,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:17.671668,20,14,48,0,202,977,8601,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:41:18.951604,20,14,48,0,202,977,10649,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:42:14.050878,20,14,48,0,202,977,505,5,0,7,
56,LTE_RRC_OTA_Packet,2021-11-29 20:41:58.145547,20,14,48,1,202,977,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 20:42:05.090809,20,14,48,0,202,977,2553,5,0,7,
