log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:21.426656,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,76,48
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:21.543777,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:21.643788,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:24:03.490596,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,69,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:24:03.619526,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:24:03.719527,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,69,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:24:04.729541,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:18.919557,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,0,0,174,103
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:19.050590,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:19.150641,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:25.022878,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,1,0,1087,1003
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:25.122034,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,684,611
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:45.729588,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,1,0,295,207
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:46.075508,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,558,481
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:46.175490,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,2,0,0,327,288
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:23:46.511585,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 20:22:45.012710,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,294,88
